freq : 1033.33 MHz
SWR : 10.21
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -48.00        0.00           1.50 
5  0  -14.00        0.04           22.54 
10  0  -8.13        0.15           18.76 
15  0  -4.68        0.34           12.83 
20  0  -2.15        0.61           6.48 
25  0  -0.14        0.97           -1.39 
30  0  1.45        1.40           -8.54 
35  0  2.53        1.79           -15.35 
40  0  2.86        1.93           -20.51 
45  0  2.18        1.65           -25.68 
50  0  0.02        1.00           -31.98 
55  0  -4.60        0.35           -43.41 
60  0  -13.39        0.05           -84.78 
65  0  -10.07        0.10           173.28 
70  0  -12.09        0.06           166.90 
75  0  -22.67        0.01           49.51 
80  0  -5.99        0.25           -3.90 
85  0  -0.73        0.85           -8.76 
90  0  0.73        1.18           -9.83 
95  0  -0.74        0.84           -8.72 
100  0  -6.02        0.25           -3.76 
105  0  -22.72        0.01           51.54 
110  0  -11.99        0.06           166.87 
115  0  -9.97        0.10           173.39 
120  0  -13.39        0.05           -85.93 
125  0  -4.64        0.34           -43.79 
130  0  -0.02        1.00           -32.18 
135  0  2.15        1.64           -25.82 
140  0  2.82        1.91           -20.61 
145  0  2.48        1.77           -15.43 
150  0  1.39        1.38           -8.59 
155  0  -0.21        0.95           -1.39 
160  0  -2.23        0.60           6.55 
165  0  -4.80        0.33           13.00 
170  0  -8.30        0.15           19.13 
175  0  -14.33        0.04           23.40 
180  0  -48.00        0.00           178.50 
0  5  -48.00        0.00           1.50 
5  5  -14.00        0.04           22.54 
10  5  -8.13        0.15           18.76 
15  5  -4.68        0.34           12.83 
20  5  -2.15        0.61           6.48 
25  5  -0.14        0.97           -1.39 
30  5  1.45        1.40           -8.54 
35  5  2.53        1.79           -15.35 
40  5  2.86        1.93           -20.51 
45  5  2.18        1.65           -25.68 
50  5  0.02        1.00           -31.98 
55  5  -4.60        0.35           -43.41 
60  5  -13.39        0.05           -84.78 
65  5  -10.07        0.10           173.28 
70  5  -12.09        0.06           166.90 
75  5  -22.67        0.01           49.51 
80  5  -5.99        0.25           -3.90 
85  5  -0.73        0.85           -8.76 
90  5  0.73        1.18           -9.83 
95  5  -0.74        0.84           -8.72 
100  5  -6.02        0.25           -3.76 
105  5  -22.72        0.01           51.54 
110  5  -11.99        0.06           166.87 
115  5  -9.97        0.10           173.39 
120  5  -13.39        0.05           -85.93 
125  5  -4.64        0.34           -43.79 
130  5  -0.02        1.00           -32.18 
135  5  2.15        1.64           -25.82 
140  5  2.82        1.91           -20.61 
145  5  2.48        1.77           -15.43 
150  5  1.39        1.38           -8.59 
155  5  -0.21        0.95           -1.39 
160  5  -2.23        0.60           6.55 
165  5  -4.80        0.33           13.00 
170  5  -8.30        0.15           19.13 
175  5  -14.33        0.04           23.40 
180  5  -48.00        0.00           178.50 
0  10  -48.00        0.00           1.50 
5  10  -14.00        0.04           22.54 
10  10  -8.13        0.15           18.76 
15  10  -4.68        0.34           12.83 
20  10  -2.15        0.61           6.48 
25  10  -0.14        0.97           -1.39 
30  10  1.45        1.40           -8.54 
35  10  2.53        1.79           -15.35 
40  10  2.86        1.93           -20.51 
45  10  2.18        1.65           -25.68 
50  10  0.02        1.00           -31.98 
55  10  -4.60        0.35           -43.41 
60  10  -13.39        0.05           -84.78 
65  10  -10.07        0.10           173.28 
70  10  -12.09        0.06           166.90 
75  10  -22.67        0.01           49.51 
80  10  -5.99        0.25           -3.90 
85  10  -0.73        0.85           -8.76 
90  10  0.73        1.18           -9.83 
95  10  -0.74        0.84           -8.72 
100  10  -6.02        0.25           -3.76 
105  10  -22.72        0.01           51.54 
110  10  -11.99        0.06           166.87 
115  10  -9.97        0.10           173.39 
120  10  -13.39        0.05           -85.93 
125  10  -4.64        0.34           -43.79 
130  10  -0.02        1.00           -32.18 
135  10  2.15        1.64           -25.82 
140  10  2.82        1.91           -20.61 
145  10  2.48        1.77           -15.43 
150  10  1.39        1.38           -8.59 
155  10  -0.21        0.95           -1.39 
160  10  -2.23        0.60           6.55 
165  10  -4.80        0.33           13.00 
170  10  -8.30        0.15           19.13 
175  10  -14.33        0.04           23.40 
180  10  -48.00        0.00           178.50 
0  15  -48.00        0.00           1.50 
5  15  -14.00        0.04           22.54 
10  15  -8.13        0.15           18.76 
15  15  -4.68        0.34           12.83 
20  15  -2.15        0.61           6.48 
25  15  -0.14        0.97           -1.39 
30  15  1.45        1.40           -8.54 
35  15  2.53        1.79           -15.35 
40  15  2.86        1.93           -20.51 
45  15  2.18        1.65           -25.68 
50  15  0.02        1.00           -31.98 
55  15  -4.60        0.35           -43.41 
60  15  -13.39        0.05           -84.78 
65  15  -10.07        0.10           173.28 
70  15  -12.09        0.06           166.90 
75  15  -22.67        0.01           49.51 
80  15  -5.99        0.25           -3.90 
85  15  -0.73        0.85           -8.76 
90  15  0.73        1.18           -9.83 
95  15  -0.74        0.84           -8.72 
100  15  -6.02        0.25           -3.76 
105  15  -22.72        0.01           51.54 
110  15  -11.99        0.06           166.87 
115  15  -9.97        0.10           173.39 
120  15  -13.39        0.05           -85.93 
125  15  -4.64        0.34           -43.79 
130  15  -0.02        1.00           -32.18 
135  15  2.15        1.64           -25.82 
140  15  2.82        1.91           -20.61 
145  15  2.48        1.77           -15.43 
150  15  1.39        1.38           -8.59 
155  15  -0.21        0.95           -1.39 
160  15  -2.23        0.60           6.55 
165  15  -4.80        0.33           13.00 
170  15  -8.30        0.15           19.13 
175  15  -14.33        0.04           23.40 
180  15  -48.00        0.00           178.50 
0  20  -48.00        0.00           1.50 
5  20  -14.00        0.04           22.54 
10  20  -8.13        0.15           18.76 
15  20  -4.68        0.34           12.83 
20  20  -2.15        0.61           6.48 
25  20  -0.14        0.97           -1.39 
30  20  1.45        1.40           -8.54 
35  20  2.53        1.79           -15.35 
40  20  2.86        1.93           -20.51 
45  20  2.18        1.65           -25.68 
50  20  0.02        1.00           -31.98 
55  20  -4.60        0.35           -43.41 
60  20  -13.39        0.05           -84.78 
65  20  -10.07        0.10           173.28 
70  20  -12.09        0.06           166.90 
75  20  -22.67        0.01           49.51 
80  20  -5.99        0.25           -3.90 
85  20  -0.73        0.85           -8.76 
90  20  0.73        1.18           -9.83 
95  20  -0.74        0.84           -8.72 
100  20  -6.02        0.25           -3.76 
105  20  -22.72        0.01           51.54 
110  20  -11.99        0.06           166.87 
115  20  -9.97        0.10           173.39 
120  20  -13.39        0.05           -85.93 
125  20  -4.64        0.34           -43.79 
130  20  -0.02        1.00           -32.18 
135  20  2.15        1.64           -25.82 
140  20  2.82        1.91           -20.61 
145  20  2.48        1.77           -15.43 
150  20  1.39        1.38           -8.59 
155  20  -0.21        0.95           -1.39 
160  20  -2.23        0.60           6.55 
165  20  -4.80        0.33           13.00 
170  20  -8.30        0.15           19.13 
175  20  -14.33        0.04           23.40 
180  20  -48.00        0.00           178.50 
0  25  -48.00        0.00           1.50 
5  25  -14.00        0.04           22.54 
10  25  -8.13        0.15           18.76 
15  25  -4.68        0.34           12.83 
20  25  -2.15        0.61           6.48 
25  25  -0.14        0.97           -1.39 
30  25  1.45        1.40           -8.54 
35  25  2.53        1.79           -15.35 
40  25  2.86        1.93           -20.51 
45  25  2.18        1.65           -25.68 
50  25  0.02        1.00           -31.98 
55  25  -4.60        0.35           -43.41 
60  25  -13.39        0.05           -84.78 
65  25  -10.07        0.10           173.28 
70  25  -12.09        0.06           166.90 
75  25  -22.67        0.01           49.51 
80  25  -5.99        0.25           -3.90 
85  25  -0.73        0.85           -8.76 
90  25  0.73        1.18           -9.83 
95  25  -0.74        0.84           -8.72 
100  25  -6.02        0.25           -3.76 
105  25  -22.72        0.01           51.54 
110  25  -11.99        0.06           166.87 
115  25  -9.97        0.10           173.39 
120  25  -13.39        0.05           -85.93 
125  25  -4.64        0.34           -43.79 
130  25  -0.02        1.00           -32.18 
135  25  2.15        1.64           -25.82 
140  25  2.82        1.91           -20.61 
145  25  2.48        1.77           -15.43 
150  25  1.39        1.38           -8.59 
155  25  -0.21        0.95           -1.39 
160  25  -2.23        0.60           6.55 
165  25  -4.80        0.33           13.00 
170  25  -8.30        0.15           19.13 
175  25  -14.33        0.04           23.40 
180  25  -48.00        0.00           178.50 
0  30  -48.00        0.00           1.50 
5  30  -14.00        0.04           22.54 
10  30  -8.13        0.15           18.76 
15  30  -4.68        0.34           12.83 
20  30  -2.15        0.61           6.48 
25  30  -0.14        0.97           -1.39 
30  30  1.45        1.40           -8.54 
35  30  2.53        1.79           -15.35 
40  30  2.86        1.93           -20.51 
45  30  2.18        1.65           -25.68 
50  30  0.02        1.00           -31.98 
55  30  -4.60        0.35           -43.41 
60  30  -13.39        0.05           -84.78 
65  30  -10.07        0.10           173.28 
70  30  -12.09        0.06           166.90 
75  30  -22.67        0.01           49.51 
80  30  -5.99        0.25           -3.90 
85  30  -0.73        0.85           -8.76 
90  30  0.73        1.18           -9.83 
95  30  -0.74        0.84           -8.72 
100  30  -6.02        0.25           -3.76 
105  30  -22.72        0.01           51.54 
110  30  -11.99        0.06           166.87 
115  30  -9.97        0.10           173.39 
120  30  -13.39        0.05           -85.93 
125  30  -4.64        0.34           -43.79 
130  30  -0.02        1.00           -32.18 
135  30  2.15        1.64           -25.82 
140  30  2.82        1.91           -20.61 
145  30  2.48        1.77           -15.43 
150  30  1.39        1.38           -8.59 
155  30  -0.21        0.95           -1.39 
160  30  -2.23        0.60           6.55 
165  30  -4.80        0.33           13.00 
170  30  -8.30        0.15           19.13 
175  30  -14.33        0.04           23.40 
180  30  -48.00        0.00           178.50 
0  35  -48.00        0.00           1.50 
5  35  -14.00        0.04           22.54 
10  35  -8.13        0.15           18.76 
15  35  -4.68        0.34           12.83 
20  35  -2.15        0.61           6.48 
25  35  -0.14        0.97           -1.39 
30  35  1.45        1.40           -8.54 
35  35  2.53        1.79           -15.35 
40  35  2.86        1.93           -20.51 
45  35  2.18        1.65           -25.68 
50  35  0.02        1.00           -31.98 
55  35  -4.60        0.35           -43.41 
60  35  -13.39        0.05           -84.78 
65  35  -10.07        0.10           173.28 
70  35  -12.09        0.06           166.90 
75  35  -22.67        0.01           49.51 
80  35  -5.99        0.25           -3.90 
85  35  -0.73        0.85           -8.76 
90  35  0.73        1.18           -9.83 
95  35  -0.74        0.84           -8.72 
100  35  -6.02        0.25           -3.76 
105  35  -22.72        0.01           51.54 
110  35  -11.99        0.06           166.87 
115  35  -9.97        0.10           173.39 
120  35  -13.39        0.05           -85.93 
125  35  -4.64        0.34           -43.79 
130  35  -0.02        1.00           -32.18 
135  35  2.15        1.64           -25.82 
140  35  2.82        1.91           -20.61 
145  35  2.48        1.77           -15.43 
150  35  1.39        1.38           -8.59 
155  35  -0.21        0.95           -1.39 
160  35  -2.23        0.60           6.55 
165  35  -4.80        0.33           13.00 
170  35  -8.30        0.15           19.13 
175  35  -14.33        0.04           23.40 
180  35  -48.00        0.00           178.50 
0  40  -48.00        0.00           1.50 
5  40  -14.00        0.04           22.54 
10  40  -8.13        0.15           18.76 
15  40  -4.68        0.34           12.83 
20  40  -2.15        0.61           6.48 
25  40  -0.14        0.97           -1.39 
30  40  1.45        1.40           -8.54 
35  40  2.53        1.79           -15.35 
40  40  2.86        1.93           -20.51 
45  40  2.18        1.65           -25.68 
50  40  0.02        1.00           -31.98 
55  40  -4.60        0.35           -43.41 
60  40  -13.39        0.05           -84.78 
65  40  -10.07        0.10           173.28 
70  40  -12.09        0.06           166.90 
75  40  -22.67        0.01           49.51 
80  40  -5.99        0.25           -3.90 
85  40  -0.73        0.85           -8.76 
90  40  0.73        1.18           -9.83 
95  40  -0.74        0.84           -8.72 
100  40  -6.02        0.25           -3.76 
105  40  -22.72        0.01           51.54 
110  40  -11.99        0.06           166.87 
115  40  -9.97        0.10           173.39 
120  40  -13.39        0.05           -85.93 
125  40  -4.64        0.34           -43.79 
130  40  -0.02        1.00           -32.18 
135  40  2.15        1.64           -25.82 
140  40  2.82        1.91           -20.61 
145  40  2.48        1.77           -15.43 
150  40  1.39        1.38           -8.59 
155  40  -0.21        0.95           -1.39 
160  40  -2.23        0.60           6.55 
165  40  -4.80        0.33           13.00 
170  40  -8.30        0.15           19.13 
175  40  -14.33        0.04           23.40 
180  40  -48.00        0.00           178.50 
0  45  -48.00        0.00           1.50 
5  45  -14.00        0.04           22.54 
10  45  -8.13        0.15           18.76 
15  45  -4.68        0.34           12.83 
20  45  -2.15        0.61           6.48 
25  45  -0.14        0.97           -1.39 
30  45  1.45        1.40           -8.54 
35  45  2.53        1.79           -15.35 
40  45  2.86        1.93           -20.51 
45  45  2.18        1.65           -25.68 
50  45  0.02        1.00           -31.98 
55  45  -4.60        0.35           -43.41 
60  45  -13.39        0.05           -84.78 
65  45  -10.07        0.10           173.28 
70  45  -12.09        0.06           166.90 
75  45  -22.67        0.01           49.51 
80  45  -5.99        0.25           -3.90 
85  45  -0.73        0.85           -8.76 
90  45  0.73        1.18           -9.83 
95  45  -0.74        0.84           -8.72 
100  45  -6.02        0.25           -3.76 
105  45  -22.72        0.01           51.54 
110  45  -11.99        0.06           166.87 
115  45  -9.97        0.10           173.39 
120  45  -13.39        0.05           -85.93 
125  45  -4.64        0.34           -43.79 
130  45  -0.02        1.00           -32.18 
135  45  2.15        1.64           -25.82 
140  45  2.82        1.91           -20.61 
145  45  2.48        1.77           -15.43 
150  45  1.39        1.38           -8.59 
155  45  -0.21        0.95           -1.39 
160  45  -2.23        0.60           6.55 
165  45  -4.80        0.33           13.00 
170  45  -8.30        0.15           19.13 
175  45  -14.33        0.04           23.40 
180  45  -48.00        0.00           178.50 
0  50  -48.00        0.00           1.50 
5  50  -14.00        0.04           22.54 
10  50  -8.13        0.15           18.76 
15  50  -4.68        0.34           12.83 
20  50  -2.15        0.61           6.48 
25  50  -0.14        0.97           -1.39 
30  50  1.45        1.40           -8.54 
35  50  2.53        1.79           -15.35 
40  50  2.86        1.93           -20.51 
45  50  2.18        1.65           -25.68 
50  50  0.02        1.00           -31.98 
55  50  -4.60        0.35           -43.41 
60  50  -13.39        0.05           -84.78 
65  50  -10.07        0.10           173.28 
70  50  -12.09        0.06           166.90 
75  50  -22.67        0.01           49.51 
80  50  -5.99        0.25           -3.90 
85  50  -0.73        0.85           -8.76 
90  50  0.73        1.18           -9.83 
95  50  -0.74        0.84           -8.72 
100  50  -6.02        0.25           -3.76 
105  50  -22.72        0.01           51.54 
110  50  -11.99        0.06           166.87 
115  50  -9.97        0.10           173.39 
120  50  -13.39        0.05           -85.93 
125  50  -4.64        0.34           -43.79 
130  50  -0.02        1.00           -32.18 
135  50  2.15        1.64           -25.82 
140  50  2.82        1.91           -20.61 
145  50  2.48        1.77           -15.43 
150  50  1.39        1.38           -8.59 
155  50  -0.21        0.95           -1.39 
160  50  -2.23        0.60           6.55 
165  50  -4.80        0.33           13.00 
170  50  -8.30        0.15           19.13 
175  50  -14.33        0.04           23.40 
180  50  -48.00        0.00           178.50 
0  55  -48.00        0.00           1.50 
5  55  -14.00        0.04           22.54 
10  55  -8.13        0.15           18.76 
15  55  -4.68        0.34           12.83 
20  55  -2.15        0.61           6.48 
25  55  -0.14        0.97           -1.39 
30  55  1.45        1.40           -8.54 
35  55  2.53        1.79           -15.35 
40  55  2.86        1.93           -20.51 
45  55  2.18        1.65           -25.68 
50  55  0.02        1.00           -31.98 
55  55  -4.60        0.35           -43.41 
60  55  -13.39        0.05           -84.78 
65  55  -10.07        0.10           173.28 
70  55  -12.09        0.06           166.90 
75  55  -22.67        0.01           49.51 
80  55  -5.99        0.25           -3.90 
85  55  -0.73        0.85           -8.76 
90  55  0.73        1.18           -9.83 
95  55  -0.74        0.84           -8.72 
100  55  -6.02        0.25           -3.76 
105  55  -22.72        0.01           51.54 
110  55  -11.99        0.06           166.87 
115  55  -9.97        0.10           173.39 
120  55  -13.39        0.05           -85.93 
125  55  -4.64        0.34           -43.79 
130  55  -0.02        1.00           -32.18 
135  55  2.15        1.64           -25.82 
140  55  2.82        1.91           -20.61 
145  55  2.48        1.77           -15.43 
150  55  1.39        1.38           -8.59 
155  55  -0.21        0.95           -1.39 
160  55  -2.23        0.60           6.55 
165  55  -4.80        0.33           13.00 
170  55  -8.30        0.15           19.13 
