freq : 1000.00 MHz
SWR : 9.38
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -48.93        0.00           -1.35 
5  0  -12.70        0.05           38.14 
10  0  -6.79        0.21           36.14 
15  0  -3.39        0.46           32.65 
20  0  -1.00        0.79           28.88 
25  0  0.73        1.18           24.57 
30  0  1.93        1.56           19.74 
35  0  2.63        1.83           15.28 
40  0  2.77        1.89           10.94 
45  0  2.22        1.67           5.74 
50  0  0.97        1.25           -0.12 
55  0  -0.91        0.81           -6.43 
60  0  -3.71        0.43           -10.33 
65  0  -5.07        0.31           -18.74 
70  0  -6.02        0.25           -7.08 
75  0  -4.57        0.35           8.83 
80  0  -2.08        0.62           18.76 
85  0  -0.25        0.94           22.93 
90  0  0.39        1.09           24.04 
95  0  -0.25        0.94           22.99 
100  0  -2.10        0.62           18.88 
105  0  -4.60        0.35           8.96 
110  0  -6.07        0.25           -7.04 
115  0  -5.12        0.31           -18.82 
120  0  -3.75        0.42           -10.40 
125  0  -0.94        0.81           -6.49 
130  0  0.94        1.24           -0.15 
135  0  2.19        1.66           5.75 
140  0  2.73        1.87           10.97 
145  0  2.59        1.82           15.35 
150  0  1.88        1.54           19.85 
155  0  0.69        1.17           24.73 
160  0  -1.06        0.78           29.12 
165  0  -3.47        0.45           32.99 
170  0  -6.90        0.20           36.70 
175  0  -12.91        0.05           39.30 
180  0  -48.93        0.00           178.65 
0  5  -48.93        0.00           -1.35 
5  5  -12.70        0.05           38.14 
10  5  -6.79        0.21           36.14 
15  5  -3.39        0.46           32.65 
20  5  -1.00        0.79           28.88 
25  5  0.73        1.18           24.57 
30  5  1.93        1.56           19.74 
35  5  2.63        1.83           15.28 
40  5  2.77        1.89           10.94 
45  5  2.22        1.67           5.74 
50  5  0.97        1.25           -0.12 
55  5  -0.91        0.81           -6.43 
60  5  -3.71        0.43           -10.33 
65  5  -5.07        0.31           -18.74 
70  5  -6.02        0.25           -7.08 
75  5  -4.57        0.35           8.83 
80  5  -2.08        0.62           18.76 
85  5  -0.25        0.94           22.93 
90  5  0.39        1.09           24.04 
95  5  -0.25        0.94           22.99 
100  5  -2.10        0.62           18.88 
105  5  -4.60        0.35           8.96 
110  5  -6.07        0.25           -7.04 
115  5  -5.12        0.31           -18.82 
120  5  -3.75        0.42           -10.40 
125  5  -0.94        0.81           -6.49 
130  5  0.94        1.24           -0.15 
135  5  2.19        1.66           5.75 
140  5  2.73        1.87           10.97 
145  5  2.59        1.82           15.35 
150  5  1.88        1.54           19.85 
155  5  0.69        1.17           24.73 
160  5  -1.06        0.78           29.12 
165  5  -3.47        0.45           32.99 
170  5  -6.90        0.20           36.70 
175  5  -12.91        0.05           39.30 
180  5  -48.93        0.00           178.65 
0  10  -48.93        0.00           -1.35 
5  10  -12.70        0.05           38.14 
10  10  -6.79        0.21           36.14 
15  10  -3.39        0.46           32.65 
20  10  -1.00        0.79           28.88 
25  10  0.73        1.18           24.57 
30  10  1.93        1.56           19.74 
35  10  2.63        1.83           15.28 
40  10  2.77        1.89           10.94 
