freq : 800.00 MHz
SWR : 6.00
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -44.95        0.00           4.47 
5  0  -15.25        0.03           121.75 
10  0  -9.12        0.12           121.56 
15  0  -5.09        0.31           122.57 
20  0  -1.79        0.66           124.77 
25  0  0.23        1.05           123.82 
30  0  0.91        1.23           118.07 
35  0  1.43        1.39           111.87 
40  0  1.55        1.43           103.52 
45  0  1.52        1.42           94.33 
50  0  1.35        1.36           84.28 
55  0  1.09        1.29           75.87 
60  0  0.61        1.15           70.53 
65  0  -0.23        0.95           69.89 
70  0  -1.40        0.72           76.03 
75  0  -2.41        0.57           89.92 
80  0  -2.54        0.56           107.06 
85  0  -2.04        0.63           119.31 
90  0  -1.75        0.67           123.43 
95  0  -2.03        0.63           119.40 
100  0  -2.54        0.56           107.25 
105  0  -2.42        0.57           90.17 
110  0  -1.42        0.72           76.31 
115  0  -0.25        0.94           70.18 
120  0  0.60        1.15           70.84 
125  0  1.08        1.28           76.22 
130  0  1.35        1.36           84.67 
135  0  1.53        1.42           94.73 
140  0  1.57        1.44           103.94 
145  0  1.46        1.40           112.30 
150  0  0.95        1.24           118.52 
155  0  0.27        1.06           124.30 
160  0  -1.73        0.67           125.40 
165  0  -5.00        0.32           123.55 
170  0  -8.99        0.13           123.15 
175  0  -14.98        0.03           124.97 
180  0  -44.95        0.00           175.53 
0  5  -44.95        0.00           4.47 
5  5  -15.25        0.03           121.75 
10  5  -9.12        0.12           121.56 
15  5  -5.09        0.31           122.57 
20  5  -1.79        0.66           124.77 
25  5  0.23        1.05           123.82 
30  5  0.91        1.23           118.07 
35  5  1.43        1.39           111.87 
40  5  1.55        1.43           103.52 
45  5  1.52        1.42           94.33 
50  5  1.35        1.36           84.28 
55  5  1.09        1.29           75.87 
60  5  0.61        1.15           70.53 
65  5  -0.23        0.95           69.89 
70  5  -1.40        0.72           76.03 
75  5  -2.41        0.57           89.92 
80  5  -2.54        0.56           107.06 
85  5  -2.04        0.63           119.31 
90  5  -1.75        0.67           123.43 
95  5  -2.03        0.63           119.40 
100  5  -2.54        0.56           107.25 
105  5  -2.42        0.57           90.17 
110  5  -1.42        0.72           76.31 
115  5  -0.25        0.94           70.18 
120  5  0.60        1.15           70.84 
125  5  1.08        1.28           76.22 
130  5  1.35        1.36           84.67 
135  5  1.53        1.42           94.73 
140  5  1.57        1.44           103.94 
145  5  1.46        1.40           112.30 
150  5  0.95        1.24           118.52 
155  5  0.27        1.06           124.30 
160  5  -1.73        0.67           125.40 
165  5  -5.00        0.32           123.55 
170  5  -8.99        0.13           123.15 
175  5  -14.98        0.03           124.97 
180  5  -44.95        0.00           175.53 
0  10  -44.95        0.00           4.47 
5  10  -15.25        0.03           121.75 
10  10  -9.12        0.12           121.56 
15  10  -5.09        0.31           122.57 
20  10  -1.79        0.66           124.77 
25  10  0.23        1.05           123.82 
30  10  0.91        1.23           118.07 
35  10  1.43        1.39           111.87 
40  10  1.55        1.43           103.52 
45  10  1.52        1.42           94.33 
50  10  1.35        1.36           84.28 
55  10  1.09        1.29           75.87 
60  10  0.61        1.15           70.53 
65  10  -0.23        0.95           69.89 
70  10  -1.40        0.72           76.03 
75  10  -2.41        0.57           89.92 
80  10  -2.54        0.56           107.06 
85  10  -2.04        0.63           119.31 
90  10  -1.75        0.67           123.43 
95  10  -2.03        0.63           119.40 
100  10  -2.54        0.56           107.25 
105  10  -2.42        0.57           90.17 
110  10  -1.42        0.72           76.31 
115  10  -0.25        0.94           70.18 
120  10  0.60        1.15           70.84 
125  10  1.08        1.28           76.22 
130  10  1.35        1.36           84.67 
135  10  1.53        1.42           94.73 
140  10  1.57        1.44           103.94 
145  10  1.46        1.40           112.30 
150  10  0.95        1.24           118.52 
155  10  0.27        1.06           124.30 
160  10  -1.73        0.67           125.40 
165  10  -5.00        0.32           123.55 
170  10  -8.99        0.13           123.15 
175  10  -14.98        0.03           124.97 
180  10  -44.95        0.00           175.53 
0  15  -44.95        0.00           4.47 
5  15  -15.25        0.03           121.75 
10  15  -9.12        0.12           121.56 
15  15  -5.09        0.31           122.57 
20  15  -1.79        0.66           124.77 
25  15  0.23        1.05           123.82 
30  15  0.91        1.23           118.07 
35  15  1.43        1.39           111.87 
40  15  1.55        1.43           103.52 
45  15  1.52        1.42           94.33 
50  15  1.35        1.36           84.28 
55  15  1.09        1.29           75.87 
60  15  0.61        1.15           70.53 
65  15  -0.23        0.95           69.89 
70  15  -1.40        0.72           76.03 
75  15  -2.41        0.57           89.92 
80  15  -2.54        0.56           107.06 
85  15  -2.04        0.63           119.31 
90  15  -1.75        0.67           123.43 
95  15  -2.03        0.63           119.40 
100  15  -2.54        0.56           107.25 
105  15  -2.42        0.57           90.17 
110  15  -1.42        0.72           76.31 
115  15  -0.25        0.94           70.18 
120  15  0.60        1.15           70.84 
125  15  1.08        1.28           76.22 
130  15  1.35        1.36           84.67 
135  15  1.53        1.42           94.73 
140  15  1.57        1.44           103.94 
145  15  1.46        1.40           112.30 
150  15  0.95        1.24           118.52 
155  15  0.27        1.06           124.30 
160  15  -1.73        0.67           125.40 
165  15  -5.00        0.32           123.55 
170  15  -8.99        0.13           123.15 
175  15  -14.98        0.03           124.97 
180  15  -44.95        0.00           175.53 
0  20  -44.95        0.00           4.47 
5  20  -15.25        0.03           121.75 
10  20  -9.12        0.12           121.56 
15  20  -5.09        0.31           122.57 
20  20  -1.79        0.66           124.77 
25  20  0.23        1.05           123.82 
30  20  0.91        1.23           118.07 
35  20  1.43        1.39           111.87 
40  20  1.55        1.43           103.52 
45  20  1.52        1.42           94.33 
50  20  1.35        1.36           84.28 
55  20  1.09        1.29           75.87 
60  20  0.61        1.15           70.53 
65  20  -0.23        0.95           69.89 
70  20  -1.40        0.72           76.03 
75  20  -2.41        0.57           89.92 
80  20  -2.54        0.56           107.06 
85  20  -2.04        0.63           119.31 
90  20  -1.75        0.67           123.43 
95  20  -2.03        0.63           119.40 
100  20  -2.54        0.56           107.25 
105  20  -2.42        0.57           90.17 
110  20  -1.42        0.72           76.31 
115  20  -0.25        0.94           70.18 
120  20  0.60        1.15           70.84 
125  20  1.08        1.28           76.22 
130  20  1.35        1.36           84.67 
135  20  1.53        1.42           94.73 
140  20  1.57        1.44           103.94 
145  20  1.46        1.40           112.30 
150  20  0.95        1.24           118.52 
155  20  0.27        1.06           124.30 
160  20  -1.73        0.67           125.40 
165  20  -5.00        0.32           123.55 
170  20  -8.99        0.13           123.15 
175  20  -14.98        0.03           124.97 
180  20  -44.95        0.00           175.53 
0  25  -44.95        0.00           4.47 
5  25  -15.25        0.03           121.75 
10  25  -9.12        0.12           121.56 
15  25  -5.09        0.31           122.57 
20  25  -1.79        0.66           124.77 
25  25  0.23        1.05           123.82 
30  25  0.91        1.23           118.07 
35  25  1.43        1.39           111.87 
40  25  1.55        1.43           103.52 
45  25  1.52        1.42           94.33 
50  25  1.35        1.36           84.28 
55  25  1.09        1.29           75.87 
60  25  0.61        1.15           70.53 
65  25  -0.23        0.95           69.89 
70  25  -1.40        0.72           76.03 
75  25  -2.41        0.57           89.92 
80  25  -2.54        0.56           107.06 
85  25  -2.04        0.63           119.31 
90  25  -1.75        0.67           123.43 
95  25  -2.03        0.63           119.40 
100  25  -2.54        0.56           107.25 
105  25  -2.42        0.57           90.17 
110  25  -1.42        0.72           76.31 
115  25  -0.25        0.94           70.18 
120  25  0.60        1.15           70.84 
125  25  1.08        1.28           76.22 
130  25  1.35        1.36           84.67 
135  25  1.53        1.42           94.73 
140  25  1.57        1.44           103.94 
145  25  1.46        1.40           112.30 
