freq : 116.66 MHz
SWR : 6.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -89.91        0.00           -0.92 
5  0  -20.48        0.01           58.50 
10  0  -14.48        0.04           58.48 
15  0  -11.00        0.08           58.43 
20  0  -8.55        0.14           58.36 
25  0  -6.67        0.22           58.27 
30  0  -5.17        0.30           58.17 
35  0  -3.94        0.40           58.06 
40  0  -2.90        0.51           57.96 
45  0  -2.03        0.63           57.86 
50  0  -1.29        0.74           57.78 
55  0  -0.66        0.86           57.71 
60  0  -0.14        0.97           57.65 
65  0  0.29        1.07           57.60 
70  0  0.64        1.16           57.55 
75  0  0.91        1.23           57.51 
80  0  1.09        1.29           57.47 
85  0  1.21        1.32           57.44 
90  0  1.24        1.33           57.43 
95  0  1.21        1.32           57.44 
100  0  1.09        1.29           57.47 
105  0  0.91        1.23           57.51 
110  0  0.64        1.16           57.55 
115  0  0.29        1.07           57.60 
120  0  -0.14        0.97           57.65 
125  0  -0.66        0.86           57.71 
130  0  -1.29        0.74           57.78 
135  0  -2.03        0.63           57.86 
140  0  -2.90        0.51           57.96 
145  0  -3.94        0.40           58.07 
150  0  -5.17        0.30           58.17 
155  0  -6.67        0.22           58.27 
160  0  -8.55        0.14           58.36 
165  0  -11.00        0.08           58.44 
170  0  -14.49        0.04           58.50 
175  0  -20.49        0.01           58.54 
180  0  -89.91        0.00           179.08 
0  5  -89.91        0.00           -0.92 
5  5  -20.48        0.01           58.50 
10  5  -14.48        0.04           58.48 
15  5  -11.00        0.08           58.43 
20  5  -8.55        0.14           58.36 
25  5  -6.67        0.22           58.27 
30  5  -5.17        0.30           58.17 
35  5  -3.94        0.40           58.06 
40  5  -2.90        0.51           57.96 
45  5  -2.03        0.63           57.86 
50  5  -1.29        0.74           57.78 
55  5  -0.66        0.86           57.71 
60  5  -0.14        0.97           57.65 
65  5  0.29        1.07           57.60 
70  5  0.64        1.16           57.55 
75  5  0.91        1.23           57.51 
80  5  1.09        1.29           57.47 
85  5  1.21        1.32           57.44 
90  5  1.24        1.33           57.43 
95  5  1.21        1.32           57.44 
100  5  1.09        1.29           57.47 
105  5  0.91        1.23           57.51 
110  5  0.64        1.16           57.55 
115  5  0.29        1.07           57.60 
