freq : 216.66 MHz
SWR : 2.42
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -74.17        0.00           -1.07 
5  0  -21.82        0.01           -30.51 
10  0  -15.77        0.03           -30.78 
15  0  -12.20        0.06           -31.16 
20  0  -9.64        0.11           -31.65 
25  0  -7.63        0.17           -32.24 
30  0  -5.98        0.25           -32.89 
35  0  -4.57        0.35           -33.57 
40  0  -3.36        0.46           -34.24 
45  0  -2.30        0.59           -34.90 
50  0  -1.37        0.73           -35.54 
55  0  -0.56        0.88           -36.13 
60  0  0.13        1.03           -36.67 
65  0  0.71        1.18           -37.14 
70  0  1.18        1.31           -37.53 
75  0  1.55        1.43           -37.83 
80  0  1.82        1.52           -38.05 
85  0  1.97        1.57           -38.19 
90  0  2.02        1.59           -38.24 
95  0  1.97        1.57           -38.19 
100  0  1.81        1.52           -38.06 
105  0  1.55        1.43           -37.83 
110  0  1.18        1.31           -37.53 
115  0  0.71        1.18           -37.14 
120  0  0.13        1.03           -36.68 
125  0  -0.56        0.88           -36.14 
130  0  -1.37        0.73           -35.55 
135  0  -2.30        0.59           -34.91 
140  0  -3.36        0.46           -34.26 
145  0  -4.58        0.35           -33.58 
150  0  -5.98        0.25           -32.91 
155  0  -7.64        0.17           -32.27 
160  0  -9.65        0.11           -31.69 
165  0  -12.22        0.06           -31.20 
170  0  -15.79        0.03           -30.84 
175  0  -21.85        0.01           -30.65 
180  0  -74.17        0.00           178.93 
0  5  -74.17        0.00           -1.07 
5  5  -21.82        0.01           -30.51 
10  5  -15.77        0.03           -30.78 
15  5  -12.20        0.06           -31.16 
20  5  -9.64        0.11           -31.65 
25  5  -7.63        0.17           -32.24 
30  5  -5.98        0.25           -32.89 
35  5  -4.57        0.35           -33.57 
40  5  -3.36        0.46           -34.24 
45  5  -2.30        0.59           -34.90 
50  5  -1.37        0.73           -35.54 
55  5  -0.56        0.88           -36.13 
60  5  0.13        1.03           -36.67 
65  5  0.71        1.18           -37.14 
70  5  1.18        1.31           -37.53 
75  5  1.55        1.43           -37.83 
80  5  1.82        1.52           -38.05 
85  5  1.97        1.57           -38.19 
90  5  2.02        1.59           -38.24 
95  5  1.97        1.57           -38.19 
100  5  1.81        1.52           -38.06 
105  5  1.55        1.43           -37.83 
