freq : 683.33 MHz
SWR : 5.54
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -49.53        0.00           -0.75 
5  0  -16.40        0.02           144.28 
10  0  -10.32        0.09           142.64 
15  0  -6.82        0.21           139.59 
20  0  -4.36        0.37           135.53 
25  0  -2.47        0.57           130.83 
30  0  -0.95        0.80           125.77 
35  0  0.29        1.07           120.68 
40  0  1.26        1.34           115.88 
45  0  1.94        1.56           111.52 
50  0  2.30        1.70           107.70 
55  0  2.28        1.69           104.40 
60  0  1.82        1.52           101.58 
65  0  0.89        1.23           99.09 
70  0  -0.56        0.88           96.78 
75  0  -2.49        0.56           94.45 
80  0  -4.70        0.34           91.96 
85  0  -6.66        0.22           89.56 
90  0  -7.48        0.18           88.44 
95  0  -6.66        0.22           89.56 
100  0  -4.70        0.34           91.97 
105  0  -2.49        0.56           94.49 
110  0  -0.56        0.88           96.84 
115  0  0.89        1.23           99.19 
120  0  1.83        1.52           101.70 
125  0  2.28        1.69           104.56 
130  0  2.31        1.70           107.89 
135  0  1.96        1.57           111.74 
140  0  1.28        1.34           116.14 
145  0  0.32        1.08           120.97 
150  0  -0.91        0.81           126.10 
155  0  -2.42        0.57           131.20 
160  0  -4.29        0.37           135.96 
165  0  -6.72        0.21           140.12 
170  0  -10.17        0.10           143.38 
175  0  -16.08        0.02           145.67 
180  0  -49.53        0.00           179.25 
0  5  -49.53        0.00           -0.75 
5  5  -16.40        0.02           144.28 
10  5  -10.32        0.09           142.64 
15  5  -6.82        0.21           139.59 
20  5  -4.36        0.37           135.53 
25  5  -2.47        0.57           130.83 
30  5  -0.95        0.80           125.77 
35  5  0.29        1.07           120.68 
40  5  1.26        1.34           115.88 
45  5  1.94        1.56           111.52 
50  5  2.30        1.70           107.70 
55  5  2.28        1.69           104.40 
60  5  1.82        1.52           101.58 
65  5  0.89        1.23           99.09 
70  5  -0.56        0.88           96.78 
75  5  -2.49        0.56           94.45 
80  5  -4.70        0.34           91.96 
85  5  -6.66        0.22           89.56 
90  5  -7.48        0.18           88.44 
95  5  -6.66        0.22           89.56 
100  5  -4.70        0.34           91.97 
105  5  -2.49        0.56           94.49 
110  5  -0.56        0.88           96.84 
115  5  0.89        1.23           99.19 
120  5  1.83        1.52           101.70 
125  5  2.28        1.69           104.56 
130  5  2.31        1.70           107.89 
135  5  1.96        1.57           111.74 
140  5  1.28        1.34           116.14 
145  5  0.32        1.08           120.97 
150  5  -0.91        0.81           126.10 
155  5  -2.42        0.57           131.20 
160  5  -4.29        0.37           135.96 
165  5  -6.72        0.21           140.12 
170  5  -10.17        0.10           143.38 
175  5  -16.08        0.02           145.67 
180  5  -49.53        0.00           179.25 
0  10  -49.53        0.00           -0.75 
5  10  -16.40        0.02           144.28 
10  10  -10.32        0.09           142.64 
15  10  -6.82        0.21           139.59 
20  10  -4.36        0.37           135.53 
25  10  -2.47        0.57           130.83 
30  10  -0.95        0.80           125.77 
35  10  0.29        1.07           120.68 
40  10  1.26        1.34           115.88 
45  10  1.94        1.56           111.52 
50  10  2.30        1.70           107.70 
55  10  2.28        1.69           104.40 
60  10  1.82        1.52           101.58 
65  10  0.89        1.23           99.09 
70  10  -0.56        0.88           96.78 
75  10  -2.49        0.56           94.45 
80  10  -4.70        0.34           91.96 
85  10  -6.66        0.22           89.56 
90  10  -7.48        0.18           88.44 
95  10  -6.66        0.22           89.56 
100  10  -4.70        0.34           91.97 
105  10  -2.49        0.56           94.49 
110  10  -0.56        0.88           96.84 
115  10  0.89        1.23           99.19 
120  10  1.83        1.52           101.70 
125  10  2.28        1.69           104.56 
130  10  2.31        1.70           107.89 
135  10  1.96        1.57           111.74 
140  10  1.28        1.34           116.14 
145  10  0.32        1.08           120.97 
150  10  -0.91        0.81           126.10 
155  10  -2.42        0.57           131.20 
160  10  -4.29        0.37           135.96 
165  10  -6.72        0.21           140.12 
170  10  -10.17        0.10           143.38 
175  10  -16.08        0.02           145.67 
180  10  -49.53        0.00           179.25 
0  15  -49.53        0.00           -0.75 
5  15  -16.40        0.02           144.28 
10  15  -10.32        0.09           142.64 
15  15  -6.82        0.21           139.59 
20  15  -4.36        0.37           135.53 
25  15  -2.47        0.57           130.83 
30  15  -0.95        0.80           125.77 
35  15  0.29        1.07           120.68 
40  15  1.26        1.34           115.88 
45  15  1.94        1.56           111.52 
50  15  2.30        1.70           107.70 
55  15  2.28        1.69           104.40 
60  15  1.82        1.52           101.58 
65  15  0.89        1.23           99.09 
70  15  -0.56        0.88           96.78 
75  15  -2.49        0.56           94.45 
80  15  -4.70        0.34           91.96 
85  15  -6.66        0.22           89.56 
90  15  -7.48        0.18           88.44 
95  15  -6.66        0.22           89.56 
100  15  -4.70        0.34           91.97 
105  15  -2.49        0.56           94.49 
110  15  -0.56        0.88           96.84 
115  15  0.89        1.23           99.19 
120  15  1.83        1.52           101.70 
125  15  2.28        1.69           104.56 
130  15  2.31        1.70           107.89 
135  15  1.96        1.57           111.74 
140  15  1.28        1.34           116.14 
145  15  0.32        1.08           120.97 
150  15  -0.91        0.81           126.10 
155  15  -2.42        0.57           131.20 
160  15  -4.29        0.37           135.96 
165  15  -6.72        0.21           140.12 
170  15  -10.17        0.10           143.38 
175  15  -16.08        0.02           145.67 
180  15  -49.53        0.00           179.25 
0  20  -49.53        0.00           -0.75 
5  20  -16.40        0.02           144.28 
10  20  -10.32        0.09           142.64 
15  20  -6.82        0.21           139.59 
20  20  -4.36        0.37           135.53 
25  20  -2.47        0.57           130.83 
30  20  -0.95        0.80           125.77 
35  20  0.29        1.07           120.68 
40  20  1.26        1.34           115.88 
45  20  1.94        1.56           111.52 
50  20  2.30        1.70           107.70 
55  20  2.28        1.69           104.40 
60  20  1.82        1.52           101.58 
65  20  0.89        1.23           99.09 
70  20  -0.56        0.88           96.78 
75  20  -2.49        0.56           94.45 
80  20  -4.70        0.34           91.96 
85  20  -6.66        0.22           89.56 
90  20  -7.48        0.18           88.44 
95  20  -6.66        0.22           89.56 
100  20  -4.70        0.34           91.97 
105  20  -2.49        0.56           94.49 
110  20  -0.56        0.88           96.84 
115  20  0.89        1.23           99.19 
120  20  1.83        1.52           101.70 
125  20  2.28        1.69           104.56 
130  20  2.31        1.70           107.89 
135  20  1.96        1.57           111.74 
140  20  1.28        1.34           116.14 
145  20  0.32        1.08           120.97 
150  20  -0.91        0.81           126.10 
155  20  -2.42        0.57           131.20 
160  20  -4.29        0.37           135.96 
165  20  -6.72        0.21           140.12 
170  20  -10.17        0.10           143.38 
175  20  -16.08        0.02           145.67 
180  20  -49.53        0.00           179.25 
0  25  -49.53        0.00           -0.75 
5  25  -16.40        0.02           144.28 
10  25  -10.32        0.09           142.64 
15  25  -6.82        0.21           139.59 
20  25  -4.36        0.37           135.53 
25  25  -2.47        0.57           130.83 
30  25  -0.95        0.80           125.77 
35  25  0.29        1.07           120.68 
40  25  1.26        1.34           115.88 
45  25  1.94        1.56           111.52 
50  25  2.30        1.70           107.70 
55  25  2.28        1.69           104.40 
60  25  1.82        1.52           101.58 
65  25  0.89        1.23           99.09 
70  25  -0.56        0.88           96.78 
75  25  -2.49        0.56           94.45 
80  25  -4.70        0.34           91.96 
85  25  -6.66        0.22           89.56 
90  25  -7.48        0.18           88.44 
95  25  -6.66        0.22           89.56 
100  25  -4.70        0.34           91.97 
105  25  -2.49        0.56           94.49 
110  25  -0.56        0.88           96.84 
115  25  0.89        1.23           99.19 
120  25  1.83        1.52           101.70 
125  25  2.28        1.69           104.56 
130  25  2.31        1.70           107.89 
135  25  1.96        1.57           111.74 
140  25  1.28        1.34           116.14 
145  25  0.32        1.08           120.97 
150  25  -0.91        0.81           126.10 
155  25  -2.42        0.57           131.20 
160  25  -4.29        0.37           135.96 
165  25  -6.72        0.21           140.12 
170  25  -10.17        0.10           143.38 
175  25  -16.08        0.02           145.67 
180  25  -49.53        0.00           179.25 
0  30  -49.53        0.00           -0.75 
5  30  -16.40        0.02           144.28 
10  30  -10.32        0.09           142.64 
15  30  -6.82        0.21           139.59 
20  30  -4.36        0.37           135.53 
25  30  -2.47        0.57           130.83 
30  30  -0.95        0.80           125.77 
35  30  0.29        1.07           120.68 
40  30  1.26        1.34           115.88 
45  30  1.94        1.56           111.52 
50  30  2.30        1.70           107.70 
55  30  2.28        1.69           104.40 
60  30  1.82        1.52           101.58 
65  30  0.89        1.23           99.09 
70  30  -0.56        0.88           96.78 
75  30  -2.49        0.56           94.45 
80  30  -4.70        0.34           91.96 
85  30  -6.66        0.22           89.56 
90  30  -7.48        0.18           88.44 
95  30  -6.66        0.22           89.56 
100  30  -4.70        0.34           91.97 
105  30  -2.49        0.56           94.49 
110  30  -0.56        0.88           96.84 
115  30  0.89        1.23           99.19 
120  30  1.83        1.52           101.70 
125  30  2.28        1.69           104.56 
130  30  2.31        1.70           107.89 
135  30  1.96        1.57           111.74 
140  30  1.28        1.34           116.14 
145  30  0.32        1.08           120.97 
150  30  -0.91        0.81           126.10 
155  30  -2.42        0.57           131.20 
160  30  -4.29        0.37           135.96 
165  30  -6.72        0.21           140.12 
170  30  -10.17        0.10           143.38 
175  30  -16.08        0.02           145.67 
180  30  -49.53        0.00           179.25 
0  35  -49.53        0.00           -0.75 
5  35  -16.40        0.02           144.28 
10  35  -10.32        0.09           142.64 
15  35  -6.82        0.21           139.59 
20  35  -4.36        0.37           135.53 
25  35  -2.47        0.57           130.83 
30  35  -0.95        0.80           125.77 
35  35  0.29        1.07           120.68 
40  35  1.26        1.34           115.88 
45  35  1.94        1.56           111.52 
50  35  2.30        1.70           107.70 
55  35  2.28        1.69           104.40 
60  35  1.82        1.52           101.58 
65  35  0.89        1.23           99.09 
70  35  -0.56        0.88           96.78 
75  35  -2.49        0.56           94.45 
80  35  -4.70        0.34           91.96 
85  35  -6.66        0.22           89.56 
90  35  -7.48        0.18           88.44 
95  35  -6.66        0.22           89.56 
100  35  -4.70        0.34           91.97 
105  35  -2.49        0.56           94.49 
110  35  -0.56        0.88           96.84 
115  35  0.89        1.23           99.19 
120  35  1.83        1.52           101.70 
125  35  2.28        1.69           104.56 
130  35  2.31        1.70           107.89 
135  35  1.96        1.57           111.74 
140  35  1.28        1.34           116.14 
145  35  0.32        1.08           120.97 
150  35  -0.91        0.81           126.10 
155  35  -2.42        0.57           131.20 
160  35  -4.29        0.37           135.96 
165  35  -6.72        0.21           140.12 
170  35  -10.17        0.10           143.38 
175  35  -16.08        0.02           145.67 
180  35  -49.53        0.00           179.25 
0  40  -49.53        0.00           -0.75 
5  40  -16.40        0.02           144.28 
10  40  -10.32        0.09           142.64 
15  40  -6.82        0.21           139.59 
20  40  -4.36        0.37           135.53 
25  40  -2.47        0.57           130.83 
30  40  -0.95        0.80           125.77 
35  40  0.29        1.07           120.68 
40  40  1.26        1.34           115.88 
45  40  1.94        1.56           111.52 
50  40  2.30        1.70           107.70 
55  40  2.28        1.69           104.40 
60  40  1.82        1.52           101.58 
65  40  0.89        1.23           99.09 
70  40  -0.56        0.88           96.78 
75  40  -2.49        0.56           94.45 
80  40  -4.70        0.34           91.96 
85  40  -6.66        0.22           89.56 
90  40  -7.48        0.18           88.44 
95  40  -6.66        0.22           89.56 
100  40  -4.70        0.34           91.97 
105  40  -2.49        0.56           94.49 
110  40  -0.56        0.88           96.84 
115  40  0.89        1.23           99.19 
120  40  1.83        1.52           101.70 
125  40  2.28        1.69           104.56 
130  40  2.31        1.70           107.89 
135  40  1.96        1.57           111.74 
140  40  1.28        1.34           116.14 
145  40  0.32        1.08           120.97 
150  40  -0.91        0.81           126.10 
155  40  -2.42        0.57           131.20 
160  40  -4.29        0.37           135.96 
165  40  -6.72        0.21           140.12 
170  40  -10.17        0.10           143.38 
175  40  -16.08        0.02           145.67 
180  40  -49.53        0.00           179.25 
0  45  -49.53        0.00           -0.75 
5  45  -16.40        0.02           144.28 
10  45  -10.32        0.09           142.64 
15  45  -6.82        0.21           139.59 
20  45  -4.36        0.37           135.53 
25  45  -2.47        0.57           130.83 
30  45  -0.95        0.80           125.77 
35  45  0.29        1.07           120.68 
40  45  1.26        1.34           115.88 
45  45  1.94        1.56           111.52 
50  45  2.30        1.70           107.70 
55  45  2.28        1.69           104.40 
60  45  1.82        1.52           101.58 
65  45  0.89        1.23           99.09 
70  45  -0.56        0.88           96.78 
75  45  -2.49        0.56           94.45 
80  45  -4.70        0.34           91.96 
85  45  -6.66        0.22           89.56 
90  45  -7.48        0.18           88.44 
95  45  -6.66        0.22           89.56 
100  45  -4.70        0.34           91.97 
105  45  -2.49        0.56           94.49 
110  45  -0.56        0.88           96.84 
115  45  0.89        1.23           99.19 
120  45  1.83        1.52           101.70 
125  45  2.28        1.69           104.56 
130  45  2.31        1.70           107.89 
135  45  1.96        1.57           111.74 
140  45  1.28        1.34           116.14 
145  45  0.32        1.08           120.97 
150  45  -0.91        0.81           126.10 
155  45  -2.42        0.57           131.20 
160  45  -4.29        0.37           135.96 
165  45  -6.72        0.21           140.12 
170  45  -10.17        0.10           143.38 
175  45  -16.08        0.02           145.67 
180  45  -49.53        0.00           179.25 
0  50  -49.53        0.00           -0.75 
5  50  -16.40        0.02           144.28 
10  50  -10.32        0.09           142.64 
15  50  -6.82        0.21           139.59 
20  50  -4.36        0.37           135.53 
25  50  -2.47        0.57           130.83 
30  50  -0.95        0.80           125.77 
35  50  0.29        1.07           120.68 
40  50  1.26        1.34           115.88 
45  50  1.94        1.56           111.52 
50  50  2.30        1.70           107.70 
55  50  2.28        1.69           104.40 
60  50  1.82        1.52           101.58 
65  50  0.89        1.23           99.09 
70  50  -0.56        0.88           96.78 
75  50  -2.49        0.56           94.45 
80  50  -4.70        0.34           91.96 
85  50  -6.66        0.22           89.56 
90  50  -7.48        0.18           88.44 
95  50  -6.66        0.22           89.56 
100  50  -4.70        0.34           91.97 
105  50  -2.49        0.56           94.49 
110  50  -0.56        0.88           96.84 
115  50  0.89        1.23           99.19 
120  50  1.83        1.52           101.70 
125  50  2.28        1.69           104.56 
130  50  2.31        1.70           107.89 
135  50  1.96        1.57           111.74 
140  50  1.28        1.34           116.14 
145  50  0.32        1.08           120.97 
150  50  -0.91        0.81           126.10 
155  50  -2.42        0.57           131.20 
160  50  -4.29        0.37           135.96 
165  50  -6.72        0.21           140.12 
170  50  -10.17        0.10           143.38 
175  50  -16.08        0.02           145.67 
180  50  -49.53        0.00           179.25 
0  55  -49.53        0.00           -0.75 
5  55  -16.40        0.02           144.28 
10  55  -10.32        0.09           142.64 
15  55  -6.82        0.21           139.59 
20  55  -4.36        0.37           135.53 
25  55  -2.47        0.57           130.83 
30  55  -0.95        0.80           125.77 
35  55  0.29        1.07           120.68 
40  55  1.26        1.34           115.88 
45  55  1.94        1.56           111.52 
50  55  2.30        1.70           107.70 
55  55  2.28        1.69           104.40 
60  55  1.82        1.52           101.58 
65  55  0.89        1.23           99.09 
70  55  -0.56        0.88           96.78 
75  55  -2.49        0.56           94.45 
80  55  -4.70        0.34           91.96 
85  55  -6.66        0.22           89.56 
90  55  -7.48        0.18           88.44 
95  55  -6.66        0.22           89.56 
100  55  -4.70        0.34           91.97 
105  55  -2.49        0.56           94.49 
110  55  -0.56        0.88           96.84 
115  55  0.89        1.23           99.19 
120  55  1.83        1.52           101.70 
125  55  2.28        1.69           104.56 
130  55  2.31        1.70           107.89 
135  55  1.96        1.57           111.74 
140  55  1.28        1.34           116.14 
145  55  0.32        1.08           120.97 
150  55  -0.91        0.81           126.10 
155  55  -2.42        0.57           131.20 
160  55  -4.29        0.37           135.96 
165  55  -6.72        0.21           140.12 
170  55  -10.17        0.10           143.38 
175  55  -16.08        0.02           145.67 
180  55  -49.53        0.00           179.25 
0  60  -49.53        0.00           -0.75 
5  60  -16.40        0.02           144.28 
10  60  -10.32        0.09           142.64 
15  60  -6.82        0.21           139.59 
20  60  -4.36        0.37           135.53 
25  60  -2.47        0.57           130.83 
30  60  -0.95        0.80           125.77 
35  60  0.29        1.07           120.68 
40  60  1.26        1.34           115.88 
45  60  1.94        1.56           111.52 
50  60  2.30        1.70           107.70 
55  60  2.28        1.69           104.40 
60  60  1.82        1.52           101.58 
65  60  0.89        1.23           99.09 
70  60  -0.56        0.88           96.78 
75  60  -2.49        0.56           94.45 
80  60  -4.70        0.34           91.96 
85  60  -6.66        0.22           89.56 
90  60  -7.48        0.18           88.44 
95  60  -6.66        0.22           89.56 
100  60  -4.70        0.34           91.97 
105  60  -2.49        0.56           94.49 
110  60  -0.56        0.88           96.84 
115  60  0.89        1.23           99.19 
120  60  1.83        1.52           101.70 
125  60  2.28        1.69           104.56 
130  60  2.31        1.70           107.89 
135  60  1.96        1.57           111.74 
