freq : 283.33 MHz
SWR : 3.84
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -66.03        0.00           3.55 
5  0  -23.48        0.00           -68.04 
10  0  -17.41        0.02           -69.14 
15  0  -13.78        0.04           -70.63 
20  0  -11.15        0.08           -72.55 
25  0  -9.03        0.13           -74.79 
30  0  -7.25        0.19           -77.25 
35  0  -5.69        0.27           -79.79 
40  0  -4.29        0.37           -82.33 
45  0  -3.04        0.50           -84.77 
50  0  -1.92        0.64           -87.07 
55  0  -0.92        0.81           -89.16 
60  0  -0.04        0.99           -90.98 
65  0  0.71        1.18           -92.52 
70  0  1.33        1.36           -93.80 
75  0  1.82        1.52           -94.79 
80  0  2.17        1.65           -95.48 
85  0  2.38        1.73           -95.90 
90  0  2.45        1.76           -96.05 
95  0  2.38        1.73           -95.90 
100  0  2.17        1.65           -95.49 
105  0  1.82        1.52           -94.79 
110  0  1.33        1.36           -93.81 
115  0  0.71        1.18           -92.54 
120  0  -0.04        0.99           -91.00 
125  0  -0.91        0.81           -89.18 
130  0  -1.91        0.64           -87.11 
135  0  -3.04        0.50           -84.82 
140  0  -4.29        0.37           -82.39 
145  0  -5.69        0.27           -79.87 
150  0  -7.25        0.19           -77.35 
155  0  -9.04        0.12           -74.93 
160  0  -11.15        0.08           -72.73 
165  0  -13.79        0.04           -70.89 
170  0  -17.42        0.02           -69.53 
175  0  -23.52        0.00           -68.85 
180  0  -66.03        0.00           176.45 
0  5  -66.03        0.00           3.55 
5  5  -23.48        0.00           -68.04 
10  5  -17.41        0.02           -69.14 
15  5  -13.78        0.04           -70.63 
20  5  -11.15        0.08           -72.55 
25  5  -9.03        0.13           -74.79 
30  5  -7.25        0.19           -77.25 
35  5  -5.69        0.27           -79.79 
40  5  -4.29        0.37           -82.33 
45  5  -3.04        0.50           -84.77 
50  5  -1.92        0.64           -87.07 
55  5  -0.92        0.81           -89.16 
60  5  -0.04        0.99           -90.98 
65  5  0.71        1.18           -92.52 
70  5  1.33        1.36           -93.80 
75  5  1.82        1.52           -94.79 
80  5  2.17        1.65           -95.48 
85  5  2.38        1.73           -95.90 
90  5  2.45        1.76           -96.05 
95  5  2.38        1.73           -95.90 
100  5  2.17        1.65           -95.49 
105  5  1.82        1.52           -94.79 
110  5  1.33        1.36           -93.81 
115  5  0.71        1.18           -92.54 
120  5  -0.04        0.99           -91.00 
125  5  -0.91        0.81           -89.18 
130  5  -1.91        0.64           -87.11 
135  5  -3.04        0.50           -84.82 
140  5  -4.29        0.37           -82.39 
145  5  -5.69        0.27           -79.87 
150  5  -7.25        0.19           -77.35 
155  5  -9.04        0.12           -74.93 
160  5  -11.15        0.08           -72.73 
165  5  -13.79        0.04           -70.89 
170  5  -17.42        0.02           -69.53 
175  5  -23.52        0.00           -68.85 
180  5  -66.03        0.00           176.45 
0  10  -66.03        0.00           3.55 
5  10  -23.48        0.00           -68.04 
10  10  -17.41        0.02           -69.14 
15  10  -13.78        0.04           -70.63 
20  10  -11.15        0.08           -72.55 
25  10  -9.03        0.13           -74.79 
30  10  -7.25        0.19           -77.25 
35  10  -5.69        0.27           -79.79 
40  10  -4.29        0.37           -82.33 
45  10  -3.04        0.50           -84.77 
50  10  -1.92        0.64           -87.07 
55  10  -0.92        0.81           -89.16 
60  10  -0.04        0.99           -90.98 
65  10  0.71        1.18           -92.52 
70  10  1.33        1.36           -93.80 
75  10  1.82        1.52           -94.79 
80  10  2.17        1.65           -95.48 
85  10  2.38        1.73           -95.90 
90  10  2.45        1.76           -96.05 
95  10  2.38        1.73           -95.90 
100  10  2.17        1.65           -95.49 
105  10  1.82        1.52           -94.79 
110  10  1.33        1.36           -93.81 
115  10  0.71        1.18           -92.54 
120  10  -0.04        0.99           -91.00 
125  10  -0.91        0.81           -89.18 
130  10  -1.91        0.64           -87.11 
135  10  -3.04        0.50           -84.82 
140  10  -4.29        0.37           -82.39 
145  10  -5.69        0.27           -79.87 
150  10  -7.25        0.19           -77.35 
155  10  -9.04        0.12           -74.93 
160  10  -11.15        0.08           -72.73 
165  10  -13.79        0.04           -70.89 
170  10  -17.42        0.02           -69.53 
175  10  -23.52        0.00           -68.85 
180  10  -66.03        0.00           176.45 
0  15  -66.03        0.00           3.55 
5  15  -23.48        0.00           -68.04 
10  15  -17.41        0.02           -69.14 
15  15  -13.78        0.04           -70.63 
20  15  -11.15        0.08           -72.55 
25  15  -9.03        0.13           -74.79 
30  15  -7.25        0.19           -77.25 
35  15  -5.69        0.27           -79.79 
40  15  -4.29        0.37           -82.33 
45  15  -3.04        0.50           -84.77 
50  15  -1.92        0.64           -87.07 
55  15  -0.92        0.81           -89.16 
60  15  -0.04        0.99           -90.98 
65  15  0.71        1.18           -92.52 
70  15  1.33        1.36           -93.80 
75  15  1.82        1.52           -94.79 
80  15  2.17        1.65           -95.48 
85  15  2.38        1.73           -95.90 
90  15  2.45        1.76           -96.05 
95  15  2.38        1.73           -95.90 
100  15  2.17        1.65           -95.49 
105  15  1.82        1.52           -94.79 
110  15  1.33        1.36           -93.81 
115  15  0.71        1.18           -92.54 
120  15  -0.04        0.99           -91.00 
125  15  -0.91        0.81           -89.18 
130  15  -1.91        0.64           -87.11 
135  15  -3.04        0.50           -84.82 
140  15  -4.29        0.37           -82.39 
145  15  -5.69        0.27           -79.87 
150  15  -7.25        0.19           -77.35 
155  15  -9.04        0.12           -74.93 
160  15  -11.15        0.08           -72.73 
165  15  -13.79        0.04           -70.89 
170  15  -17.42        0.02           -69.53 
175  15  -23.52        0.00           -68.85 
180  15  -66.03        0.00           176.45 
0  20  -66.03        0.00           3.55 
5  20  -23.48        0.00           -68.04 
10  20  -17.41        0.02           -69.14 
15  20  -13.78        0.04           -70.63 
20  20  -11.15        0.08           -72.55 
25  20  -9.03        0.13           -74.79 
30  20  -7.25        0.19           -77.25 
35  20  -5.69        0.27           -79.79 
40  20  -4.29        0.37           -82.33 
45  20  -3.04        0.50           -84.77 
50  20  -1.92        0.64           -87.07 
55  20  -0.92        0.81           -89.16 
60  20  -0.04        0.99           -90.98 
65  20  0.71        1.18           -92.52 
70  20  1.33        1.36           -93.80 
75  20  1.82        1.52           -94.79 
80  20  2.17        1.65           -95.48 
