freq : 516.66 MHz
SWR : 3.52
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -58.63        0.00           3.47 
5  0  -14.13        0.04           112.84 
10  0  -8.16        0.15           113.60 
15  0  -4.73        0.34           114.64 
20  0  -2.40        0.58           115.99 
25  0  -0.72        0.85           117.61 
30  0  0.51        1.12           119.52 
35  0  1.36        1.37           121.78 
40  0  1.87        1.54           124.46 
45  0  2.05        1.60           127.64 
50  0  1.90        1.55           131.59 
55  0  1.42        1.39           136.63 
60  0  0.64        1.16           143.24 
65  0  -0.36        0.92           152.03 
70  0  -1.38        0.73           163.26 
75  0  -2.15        0.61           176.12 
80  0  -2.50        0.56           171.92 
85  0  -2.54        0.56           163.71 
90  0  -2.51        0.56           160.85 
95  0  -2.53        0.56           163.72 
100  0  -2.49        0.56           171.93 
105  0  -2.14        0.61           176.12 
110  0  -1.37        0.73           163.28 
115  0  -0.35        0.92           152.06 
120  0  0.65        1.16           143.29 
125  0  1.43        1.39           136.68 
130  0  1.91        1.55           131.65 
135  0  2.06        1.61           127.70 
140  0  1.88        1.54           124.53 
145  0  1.37        1.37           121.86 
150  0  0.52        1.13           119.62 
155  0  -0.71        0.85           117.73 
160  0  -2.39        0.58           116.14 
165  0  -4.72        0.34           114.84 
170  0  -8.13        0.15           113.90 
175  0  -14.09        0.04           113.45 
180  0  -58.63        0.00           176.53 
0  5  -58.63        0.00           3.47 
5  5  -14.13        0.04           112.84 
10  5  -8.16        0.15           113.60 
15  5  -4.73        0.34           114.64 
20  5  -2.40        0.58           115.99 
25  5  -0.72        0.85           117.61 
30  5  0.51        1.12           119.52 
35  5  1.36        1.37           121.78 
40  5  1.87        1.54           124.46 
45  5  2.05        1.60           127.64 
50  5  1.90        1.55           131.59 
55  5  1.42        1.39           136.63 
60  5  0.64        1.16           143.24 
65  5  -0.36        0.92           152.03 
70  5  -1.38        0.73           163.26 
75  5  -2.15        0.61           176.12 
80  5  -2.50        0.56           171.92 
85  5  -2.54        0.56           163.71 
90  5  -2.51        0.56           160.85 
95  5  -2.53        0.56           163.72 
100  5  -2.49        0.56           171.93 
105  5  -2.14        0.61           176.12 
110  5  -1.37        0.73           163.28 
115  5  -0.35        0.92           152.06 
120  5  0.65        1.16           143.29 
125  5  1.43        1.39           136.68 
130  5  1.91        1.55           131.65 
135  5  2.06        1.61           127.70 
140  5  1.88        1.54           124.53 
145  5  1.37        1.37           121.86 
150  5  0.52        1.13           119.62 
155  5  -0.71        0.85           117.73 
160  5  -2.39        0.58           116.14 
165  5  -4.72        0.34           114.84 
170  5  -8.13        0.15           113.90 
175  5  -14.09        0.04           113.45 
180  5  -58.63        0.00           176.53 
0  10  -58.63        0.00           3.47 
5  10  -14.13        0.04           112.84 
10  10  -8.16        0.15           113.60 
15  10  -4.73        0.34           114.64 
20  10  -2.40        0.58           115.99 
25  10  -0.72        0.85           117.61 
30  10  0.51        1.12           119.52 
35  10  1.36        1.37           121.78 
40  10  1.87        1.54           124.46 
45  10  2.05        1.60           127.64 
50  10  1.90        1.55           131.59 
55  10  1.42        1.39           136.63 
60  10  0.64        1.16           143.24 
65  10  -0.36        0.92           152.03 
70  10  -1.38        0.73           163.26 
75  10  -2.15        0.61           176.12 
80  10  -2.50        0.56           171.92 
85  10  -2.54        0.56           163.71 
90  10  -2.51        0.56           160.85 
95  10  -2.53        0.56           163.72 
100  10  -2.49        0.56           171.93 
105  10  -2.14        0.61           176.12 
110  10  -1.37        0.73           163.28 
115  10  -0.35        0.92           152.06 
120  10  0.65        1.16           143.29 
125  10  1.43        1.39           136.68 
130  10  1.91        1.55           131.65 
135  10  2.06        1.61           127.70 
140  10  1.88        1.54           124.53 
145  10  1.37        1.37           121.86 
150  10  0.52        1.13           119.62 
155  10  -0.71        0.85           117.73 
160  10  -2.39        0.58           116.14 
165  10  -4.72        0.34           114.84 
170  10  -8.13        0.15           113.90 
175  10  -14.09        0.04           113.45 
180  10  -58.63        0.00           176.53 
0  15  -58.63        0.00           3.47 
5  15  -14.13        0.04           112.84 
10  15  -8.16        0.15           113.60 
15  15  -4.73        0.34           114.64 
20  15  -2.40        0.58           115.99 
25  15  -0.72        0.85           117.61 
30  15  0.51        1.12           119.52 
35  15  1.36        1.37           121.78 
40  15  1.87        1.54           124.46 
45  15  2.05        1.60           127.64 
50  15  1.90        1.55           131.59 
55  15  1.42        1.39           136.63 
60  15  0.64        1.16           143.24 
65  15  -0.36        0.92           152.03 
70  15  -1.38        0.73           163.26 
75  15  -2.15        0.61           176.12 
80  15  -2.50        0.56           171.92 
85  15  -2.54        0.56           163.71 
90  15  -2.51        0.56           160.85 
95  15  -2.53        0.56           163.72 
100  15  -2.49        0.56           171.93 
105  15  -2.14        0.61           176.12 
110  15  -1.37        0.73           163.28 
115  15  -0.35        0.92           152.06 
120  15  0.65        1.16           143.29 
125  15  1.43        1.39           136.68 
130  15  1.91        1.55           131.65 
135  15  2.06        1.61           127.70 
140  15  1.88        1.54           124.53 
145  15  1.37        1.37           121.86 
150  15  0.52        1.13           119.62 
155  15  -0.71        0.85           117.73 
160  15  -2.39        0.58           116.14 
165  15  -4.72        0.34           114.84 
170  15  -8.13        0.15           113.90 
175  15  -14.09        0.04           113.45 
180  15  -58.63        0.00           176.53 
0  20  -58.63        0.00           3.47 
5  20  -14.13        0.04           112.84 
10  20  -8.16        0.15           113.60 
15  20  -4.73        0.34           114.64 
20  20  -2.40        0.58           115.99 
25  20  -0.72        0.85           117.61 
30  20  0.51        1.12           119.52 
35  20  1.36        1.37           121.78 
40  20  1.87        1.54           124.46 
45  20  2.05        1.60           127.64 
50  20  1.90        1.55           131.59 
55  20  1.42        1.39           136.63 
60  20  0.64        1.16           143.24 
65  20  -0.36        0.92           152.03 
70  20  -1.38        0.73           163.26 
75  20  -2.15        0.61           176.12 
80  20  -2.50        0.56           171.92 
85  20  -2.54        0.56           163.71 
90  20  -2.51        0.56           160.85 
95  20  -2.53        0.56           163.72 
100  20  -2.49        0.56           171.93 
105  20  -2.14        0.61           176.12 
110  20  -1.37        0.73           163.28 
115  20  -0.35        0.92           152.06 
120  20  0.65        1.16           143.29 
125  20  1.43        1.39           136.68 
130  20  1.91        1.55           131.65 
135  20  2.06        1.61           127.70 
140  20  1.88        1.54           124.53 
145  20  1.37        1.37           121.86 
150  20  0.52        1.13           119.62 
155  20  -0.71        0.85           117.73 
160  20  -2.39        0.58           116.14 
165  20  -4.72        0.34           114.84 
170  20  -8.13        0.15           113.90 
175  20  -14.09        0.04           113.45 
180  20  -58.63        0.00           176.53 
0  25  -58.63        0.00           3.47 
5  25  -14.13        0.04           112.84 
10  25  -8.16        0.15           113.60 
15  25  -4.73        0.34           114.64 
20  25  -2.40        0.58           115.99 
25  25  -0.72        0.85           117.61 
30  25  0.51        1.12           119.52 
35  25  1.36        1.37           121.78 
40  25  1.87        1.54           124.46 
45  25  2.05        1.60           127.64 
50  25  1.90        1.55           131.59 
55  25  1.42        1.39           136.63 
60  25  0.64        1.16           143.24 
65  25  -0.36        0.92           152.03 
70  25  -1.38        0.73           163.26 
75  25  -2.15        0.61           176.12 
80  25  -2.50        0.56           171.92 
85  25  -2.54        0.56           163.71 
90  25  -2.51        0.56           160.85 
95  25  -2.53        0.56           163.72 
100  25  -2.49        0.56           171.93 
105  25  -2.14        0.61           176.12 
110  25  -1.37        0.73           163.28 
115  25  -0.35        0.92           152.06 
120  25  0.65        1.16           143.29 
125  25  1.43        1.39           136.68 
130  25  1.91        1.55           131.65 
135  25  2.06        1.61           127.70 
140  25  1.88        1.54           124.53 
145  25  1.37        1.37           121.86 
150  25  0.52        1.13           119.62 
155  25  -0.71        0.85           117.73 
160  25  -2.39        0.58           116.14 
165  25  -4.72        0.34           114.84 
170  25  -8.13        0.15           113.90 
175  25  -14.09        0.04           113.45 
180  25  -58.63        0.00           176.53 
0  30  -58.63        0.00           3.47 
5  30  -14.13        0.04           112.84 
10  30  -8.16        0.15           113.60 
15  30  -4.73        0.34           114.64 
20  30  -2.40        0.58           115.99 
25  30  -0.72        0.85           117.61 
30  30  0.51        1.12           119.52 
35  30  1.36        1.37           121.78 
40  30  1.87        1.54           124.46 
45  30  2.05        1.60           127.64 
50  30  1.90        1.55           131.59 
55  30  1.42        1.39           136.63 
60  30  0.64        1.16           143.24 
65  30  -0.36        0.92           152.03 
70  30  -1.38        0.73           163.26 
75  30  -2.15        0.61           176.12 
80  30  -2.50        0.56           171.92 
85  30  -2.54        0.56           163.71 
90  30  -2.51        0.56           160.85 
95  30  -2.53        0.56           163.72 
100  30  -2.49        0.56           171.93 
105  30  -2.14        0.61           176.12 
110  30  -1.37        0.73           163.28 
115  30  -0.35        0.92           152.06 
120  30  0.65        1.16           143.29 
125  30  1.43        1.39           136.68 
130  30  1.91        1.55           131.65 
135  30  2.06        1.61           127.70 
140  30  1.88        1.54           124.53 
145  30  1.37        1.37           121.86 
150  30  0.52        1.13           119.62 
155  30  -0.71        0.85           117.73 
160  30  -2.39        0.58           116.14 
165  30  -4.72        0.34           114.84 
170  30  -8.13        0.15           113.90 
175  30  -14.09        0.04           113.45 
180  30  -58.63        0.00           176.53 
0  35  -58.63        0.00           3.47 
5  35  -14.13        0.04           112.84 
10  35  -8.16        0.15           113.60 
15  35  -4.73        0.34           114.64 
20  35  -2.40        0.58           115.99 
25  35  -0.72        0.85           117.61 
30  35  0.51        1.12           119.52 
35  35  1.36        1.37           121.78 
40  35  1.87        1.54           124.46 
45  35  2.05        1.60           127.64 
50  35  1.90        1.55           131.59 
55  35  1.42        1.39           136.63 
60  35  0.64        1.16           143.24 
65  35  -0.36        0.92           152.03 
70  35  -1.38        0.73           163.26 
75  35  -2.15        0.61           176.12 
80  35  -2.50        0.56           171.92 
85  35  -2.54        0.56           163.71 
90  35  -2.51        0.56           160.85 
95  35  -2.53        0.56           163.72 
100  35  -2.49        0.56           171.93 
105  35  -2.14        0.61           176.12 
110  35  -1.37        0.73           163.28 
115  35  -0.35        0.92           152.06 
120  35  0.65        1.16           143.29 
125  35  1.43        1.39           136.68 
130  35  1.91        1.55           131.65 
135  35  2.06        1.61           127.70 
140  35  1.88        1.54           124.53 
145  35  1.37        1.37           121.86 
150  35  0.52        1.13           119.62 
155  35  -0.71        0.85           117.73 
160  35  -2.39        0.58           116.14 
165  35  -4.72        0.34           114.84 
170  35  -8.13        0.15           113.90 
175  35  -14.09        0.04           113.45 
180  35  -58.63        0.00           176.53 
0  40  -58.63        0.00           3.47 
5  40  -14.13        0.04           112.84 
10  40  -8.16        0.15           113.60 
15  40  -4.73        0.34           114.64 
20  40  -2.40        0.58           115.99 
25  40  -0.72        0.85           117.61 
30  40  0.51        1.12           119.52 
35  40  1.36        1.37           121.78 
40  40  1.87        1.54           124.46 
45  40  2.05        1.60           127.64 
50  40  1.90        1.55           131.59 
55  40  1.42        1.39           136.63 
60  40  0.64        1.16           143.24 
65  40  -0.36        0.92           152.03 
70  40  -1.38        0.73           163.26 
75  40  -2.15        0.61           176.12 
80  40  -2.50        0.56           171.92 
85  40  -2.54        0.56           163.71 
90  40  -2.51        0.56           160.85 
95  40  -2.53        0.56           163.72 
100  40  -2.49        0.56           171.93 
105  40  -2.14        0.61           176.12 
110  40  -1.37        0.73           163.28 
115  40  -0.35        0.92           152.06 
120  40  0.65        1.16           143.29 
125  40  1.43        1.39           136.68 
130  40  1.91        1.55           131.65 
135  40  2.06        1.61           127.70 
140  40  1.88        1.54           124.53 
145  40  1.37        1.37           121.86 
150  40  0.52        1.13           119.62 
155  40  -0.71        0.85           117.73 
160  40  -2.39        0.58           116.14 
165  40  -4.72        0.34           114.84 
170  40  -8.13        0.15           113.90 
175  40  -14.09        0.04           113.45 
180  40  -58.63        0.00           176.53 
0  45  -58.63        0.00           3.47 
5  45  -14.13        0.04           112.84 
10  45  -8.16        0.15           113.60 
15  45  -4.73        0.34           114.64 
