freq : 400.00 MHz
SWR : 4.34
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -57.17        0.00           3.79 
5  0  -18.43        0.01           -40.18 
10  0  -12.58        0.06           -41.39 
15  0  -9.28        0.12           -43.13 
20  0  -7.09        0.20           -45.59 
25  0  -5.55        0.28           -48.87 
30  0  -4.44        0.36           -53.07 
35  0  -3.62        0.43           -58.37 
40  0  -3.00        0.50           -64.91 
45  0  -2.47        0.57           -72.70 
50  0  -1.94        0.64           -81.48 
55  0  -1.33        0.74           -90.74 
60  0  -0.62        0.87           -99.77 
65  0  0.15        1.04           107.84 
70  0  0.92        1.24           114.53 
75  0  1.60        1.45           119.66 
80  0  2.13        1.63           123.22 
85  0  2.46        1.76           125.32 
90  0  2.57        1.81           126.01 
95  0  2.46        1.76           125.33 
100  0  2.13        1.63           123.24 
105  0  1.60        1.45           119.69 
110  0  0.92        1.24           114.58 
115  0  0.16        1.04           107.91 
120  0  -0.62        0.87           -99.86 
125  0  -1.33        0.74           -90.86 
130  0  -1.94        0.64           -81.62 
135  0  -2.47        0.57           -72.86 
140  0  -3.00        0.50           -65.09 
145  0  -3.63        0.43           -58.55 
150  0  -4.46        0.36           -53.27 
155  0  -5.57        0.28           -49.09 
160  0  -7.13        0.19           -45.86 
165  0  -9.33        0.12           -43.47 
170  0  -12.65        0.05           -41.86 
175  0  -18.58        0.01           -41.11 
180  0  -57.17        0.00           176.21 
0  5  -57.17        0.00           3.79 
5  5  -18.43        0.01           -40.18 
10  5  -12.58        0.06           -41.39 
15  5  -9.28        0.12           -43.13 
20  5  -7.09        0.20           -45.59 
25  5  -5.55        0.28           -48.87 
30  5  -4.44        0.36           -53.07 
35  5  -3.62        0.43           -58.37 
40  5  -3.00        0.50           -64.91 
45  5  -2.47        0.57           -72.70 
50  5  -1.94        0.64           -81.48 
55  5  -1.33        0.74           -90.74 
60  5  -0.62        0.87           -99.77 
65  5  0.15        1.04           107.84 
70  5  0.92        1.24           114.53 
75  5  1.60        1.45           119.66 
80  5  2.13        1.63           123.22 
85  5  2.46        1.76           125.32 
90  5  2.57        1.81           126.01 
95  5  2.46        1.76           125.33 
100  5  2.13        1.63           123.24 
105  5  1.60        1.45           119.69 
110  5  0.92        1.24           114.58 
115  5  0.16        1.04           107.91 
