freq : 150.00 MHz
SWR : 1.50
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -78.58        0.00           -1.42 
5  0  -20.62        0.01           11.58 
10  0  -14.61        0.03           11.53 
15  0  -11.11        0.08           11.44 
20  0  -8.63        0.14           11.31 
25  0  -6.73        0.21           11.16 
30  0  -5.20        0.30           10.99 
35  0  -3.92        0.41           10.82 
40  0  -2.85        0.52           10.64 
45  0  -1.93        0.64           10.48 
50  0  -1.15        0.77           10.34 
55  0  -0.48        0.90           10.20 
60  0  0.09        1.02           10.08 
65  0  0.55        1.14           9.96 
70  0  0.93        1.24           9.85 
75  0  1.22        1.32           9.77 
80  0  1.43        1.39           9.72 
85  0  1.55        1.43           9.70 
90  0  1.59        1.44           9.69 
95  0  1.55        1.43           9.70 
100  0  1.43        1.39           9.72 
105  0  1.22        1.32           9.77 
110  0  0.93        1.24           9.86 
115  0  0.55        1.14           9.96 
120  0  0.08        1.02           10.08 
125  0  -0.48        0.90           10.21 
130  0  -1.15        0.77           10.34 
135  0  -1.93        0.64           10.49 
140  0  -2.85        0.52           10.65 
145  0  -3.92        0.41           10.82 
150  0  -5.20        0.30           11.00 
155  0  -6.73        0.21           11.17 
160  0  -8.64        0.14           11.32 
165  0  -11.12        0.08           11.45 
170  0  -14.63        0.03           11.55 
175  0  -20.64        0.01           11.62 
180  0  -78.58        0.00           178.58 
0  5  -78.58        0.00           -1.42 
5  5  -20.62        0.01           11.58 
10  5  -14.61        0.03           11.53 
15  5  -11.11        0.08           11.44 
20  5  -8.63        0.14           11.31 
25  5  -6.73        0.21           11.16 
30  5  -5.20        0.30           10.99 
35  5  -3.92        0.41           10.82 
40  5  -2.85        0.52           10.64 
45  5  -1.93        0.64           10.48 
50  5  -1.15        0.77           10.34 
55  5  -0.48        0.90           10.20 
60  5  0.09        1.02           10.08 
65  5  0.55        1.14           9.96 
70  5  0.93        1.24           9.85 
75  5  1.22        1.32           9.77 
80  5  1.43        1.39           9.72 
85  5  1.55        1.43           9.70 
90  5  1.59        1.44           9.69 
95  5  1.55        1.43           9.70 
100  5  1.43        1.39           9.72 
105  5  1.22        1.32           9.77 
110  5  0.93        1.24           9.86 
115  5  0.55        1.14           9.96 
120  5  0.08        1.02           10.08 
125  5  -0.48        0.90           10.21 
130  5  -1.15        0.77           10.34 
135  5  -1.93        0.64           10.49 
140  5  -2.85        0.52           10.65 
145  5  -3.92        0.41           10.82 
150  5  -5.20        0.30           11.00 
155  5  -6.73        0.21           11.17 
160  5  -8.64        0.14           11.32 
165  5  -11.12        0.08           11.45 
170  5  -14.63        0.03           11.55 
175  5  -20.64        0.01           11.62 
180  5  -78.58        0.00           178.58 
0  10  -78.58        0.00           -1.42 
5  10  -20.62        0.01           11.58 
10  10  -14.61        0.03           11.53 
15  10  -11.11        0.08           11.44 
20  10  -8.63        0.14           11.31 
25  10  -6.73        0.21           11.16 
30  10  -5.20        0.30           10.99 
35  10  -3.92        0.41           10.82 
40  10  -2.85        0.52           10.64 
45  10  -1.93        0.64           10.48 
50  10  -1.15        0.77           10.34 
55  10  -0.48        0.90           10.20 
60  10  0.09        1.02           10.08 
65  10  0.55        1.14           9.96 
70  10  0.93        1.24           9.85 
75  10  1.22        1.32           9.77 
80  10  1.43        1.39           9.72 
85  10  1.55        1.43           9.70 
90  10  1.59        1.44           9.69 
95  10  1.55        1.43           9.70 
100  10  1.43        1.39           9.72 
105  10  1.22        1.32           9.77 
110  10  0.93        1.24           9.86 
115  10  0.55        1.14           9.96 
120  10  0.08        1.02           10.08 
125  10  -0.48        0.90           10.21 
130  10  -1.15        0.77           10.34 
135  10  -1.93        0.64           10.49 
140  10  -2.85        0.52           10.65 
145  10  -3.92        0.41           10.82 
150  10  -5.20        0.30           11.00 
155  10  -6.73        0.21           11.17 
160  10  -8.64        0.14           11.32 
165  10  -11.12        0.08           11.45 
170  10  -14.63        0.03           11.55 
175  10  -20.64        0.01           11.62 
180  10  -78.58        0.00           178.58 
0  15  -78.58        0.00           -1.42 
5  15  -20.62        0.01           11.58 
10  15  -14.61        0.03           11.53 
15  15  -11.11        0.08           11.44 
20  15  -8.63        0.14           11.31 
25  15  -6.73        0.21           11.16 
30  15  -5.20        0.30           10.99 
35  15  -3.92        0.41           10.82 
40  15  -2.85        0.52           10.64 
45  15  -1.93        0.64           10.48 
50  15  -1.15        0.77           10.34 
55  15  -0.48        0.90           10.20 
60  15  0.09        1.02           10.08 
65  15  0.55        1.14           9.96 
70  15  0.93        1.24           9.85 
75  15  1.22        1.32           9.77 
80  15  1.43        1.39           9.72 
85  15  1.55        1.43           9.70 
90  15  1.59        1.44           9.69 
95  15  1.55        1.43           9.70 
100  15  1.43        1.39           9.72 
105  15  1.22        1.32           9.77 
110  15  0.93        1.24           9.86 
115  15  0.55        1.14           9.96 
120  15  0.08        1.02           10.08 
125  15  -0.48        0.90           10.21 
130  15  -1.15        0.77           10.34 
135  15  -1.93        0.64           10.49 
140  15  -2.85        0.52           10.65 
145  15  -3.92        0.41           10.82 
150  15  -5.20        0.30           11.00 
155  15  -6.73        0.21           11.17 
160  15  -8.64        0.14           11.32 
165  15  -11.12        0.08           11.45 
170  15  -14.63        0.03           11.55 
175  15  -20.64        0.01           11.62 
180  15  -78.58        0.00           178.58 
0  20  -78.58        0.00           -1.42 
5  20  -20.62        0.01           11.58 
10  20  -14.61        0.03           11.53 
15  20  -11.11        0.08           11.44 
20  20  -8.63        0.14           11.31 
25  20  -6.73        0.21           11.16 
30  20  -5.20        0.30           10.99 
35  20  -3.92        0.41           10.82 
40  20  -2.85        0.52           10.64 
45  20  -1.93        0.64           10.48 
50  20  -1.15        0.77           10.34 
55  20  -0.48        0.90           10.20 
60  20  0.09        1.02           10.08 
65  20  0.55        1.14           9.96 
70  20  0.93        1.24           9.85 
75  20  1.22        1.32           9.77 
80  20  1.43        1.39           9.72 
85  20  1.55        1.43           9.70 
90  20  1.59        1.44           9.69 
95  20  1.55        1.43           9.70 
100  20  1.43        1.39           9.72 
105  20  1.22        1.32           9.77 
110  20  0.93        1.24           9.86 
115  20  0.55        1.14           9.96 
120  20  0.08        1.02           10.08 
125  20  -0.48        0.90           10.21 
130  20  -1.15        0.77           10.34 
135  20  -1.93        0.64           10.49 
140  20  -2.85        0.52           10.65 
145  20  -3.92        0.41           10.82 
150  20  -5.20        0.30           11.00 
155  20  -6.73        0.21           11.17 
160  20  -8.64        0.14           11.32 
165  20  -11.12        0.08           11.45 
170  20  -14.63        0.03           11.55 
175  20  -20.64        0.01           11.62 
180  20  -78.58        0.00           178.58 
0  25  -78.58        0.00           -1.42 
5  25  -20.62        0.01           11.58 
10  25  -14.61        0.03           11.53 
15  25  -11.11        0.08           11.44 
20  25  -8.63        0.14           11.31 
25  25  -6.73        0.21           11.16 
30  25  -5.20        0.30           10.99 
35  25  -3.92        0.41           10.82 
40  25  -2.85        0.52           10.64 
45  25  -1.93        0.64           10.48 
50  25  -1.15        0.77           10.34 
55  25  -0.48        0.90           10.20 
60  25  0.09        1.02           10.08 
65  25  0.55        1.14           9.96 
70  25  0.93        1.24           9.85 
75  25  1.22        1.32           9.77 
80  25  1.43        1.39           9.72 
85  25  1.55        1.43           9.70 
90  25  1.59        1.44           9.69 
95  25  1.55        1.43           9.70 
100  25  1.43        1.39           9.72 
105  25  1.22        1.32           9.77 
110  25  0.93        1.24           9.86 
115  25  0.55        1.14           9.96 
120  25  0.08        1.02           10.08 
125  25  -0.48        0.90           10.21 
130  25  -1.15        0.77           10.34 
135  25  -1.93        0.64           10.49 
140  25  -2.85        0.52           10.65 
145  25  -3.92        0.41           10.82 
150  25  -5.20        0.30           11.00 
155  25  -6.73        0.21           11.17 
160  25  -8.64        0.14           11.32 
165  25  -11.12        0.08           11.45 
170  25  -14.63        0.03           11.55 
175  25  -20.64        0.01           11.62 
180  25  -78.58        0.00           178.58 
0  30  -78.58        0.00           -1.42 
5  30  -20.62        0.01           11.58 
10  30  -14.61        0.03           11.53 
15  30  -11.11        0.08           11.44 
20  30  -8.63        0.14           11.31 
25  30  -6.73        0.21           11.16 
30  30  -5.20        0.30           10.99 
35  30  -3.92        0.41           10.82 
40  30  -2.85        0.52           10.64 
45  30  -1.93        0.64           10.48 
50  30  -1.15        0.77           10.34 
55  30  -0.48        0.90           10.20 
60  30  0.09        1.02           10.08 
65  30  0.55        1.14           9.96 
70  30  0.93        1.24           9.85 
75  30  1.22        1.32           9.77 
80  30  1.43        1.39           9.72 
85  30  1.55        1.43           9.70 
90  30  1.59        1.44           9.69 
95  30  1.55        1.43           9.70 
100  30  1.43        1.39           9.72 
105  30  1.22        1.32           9.77 
110  30  0.93        1.24           9.86 
115  30  0.55        1.14           9.96 
120  30  0.08        1.02           10.08 
125  30  -0.48        0.90           10.21 
130  30  -1.15        0.77           10.34 
135  30  -1.93        0.64           10.49 
140  30  -2.85        0.52           10.65 
145  30  -3.92        0.41           10.82 
150  30  -5.20        0.30           11.00 
155  30  -6.73        0.21           11.17 
160  30  -8.64        0.14           11.32 
165  30  -11.12        0.08           11.45 
170  30  -14.63        0.03           11.55 
175  30  -20.64        0.01           11.62 
180  30  -78.58        0.00           178.58 
0  35  -78.58        0.00           -1.42 
5  35  -20.62        0.01           11.58 
10  35  -14.61        0.03           11.53 
15  35  -11.11        0.08           11.44 
20  35  -8.63        0.14           11.31 
25  35  -6.73        0.21           11.16 
30  35  -5.20        0.30           10.99 
35  35  -3.92        0.41           10.82 
40  35  -2.85        0.52           10.64 
45  35  -1.93        0.64           10.48 
50  35  -1.15        0.77           10.34 
55  35  -0.48        0.90           10.20 
60  35  0.09        1.02           10.08 
65  35  0.55        1.14           9.96 
70  35  0.93        1.24           9.85 
75  35  1.22        1.32           9.77 
80  35  1.43        1.39           9.72 
85  35  1.55        1.43           9.70 
90  35  1.59        1.44           9.69 
95  35  1.55        1.43           9.70 
100  35  1.43        1.39           9.72 
105  35  1.22        1.32           9.77 
110  35  0.93        1.24           9.86 
115  35  0.55        1.14           9.96 
120  35  0.08        1.02           10.08 
125  35  -0.48        0.90           10.21 
130  35  -1.15        0.77           10.34 
135  35  -1.93        0.64           10.49 
140  35  -2.85        0.52           10.65 
145  35  -3.92        0.41           10.82 
150  35  -5.20        0.30           11.00 
155  35  -6.73        0.21           11.17 
160  35  -8.64        0.14           11.32 
165  35  -11.12        0.08           11.45 
170  35  -14.63        0.03           11.55 
175  35  -20.64        0.01           11.62 
180  35  -78.58        0.00           178.58 
0  40  -78.58        0.00           -1.42 
5  40  -20.62        0.01           11.58 
10  40  -14.61        0.03           11.53 
15  40  -11.11        0.08           11.44 
20  40  -8.63        0.14           11.31 
25  40  -6.73        0.21           11.16 
30  40  -5.20        0.30           10.99 
35  40  -3.92        0.41           10.82 
40  40  -2.85        0.52           10.64 
45  40  -1.93        0.64           10.48 
50  40  -1.15        0.77           10.34 
55  40  -0.48        0.90           10.20 
60  40  0.09        1.02           10.08 
65  40  0.55        1.14           9.96 
70  40  0.93        1.24           9.85 
75  40  1.22        1.32           9.77 
80  40  1.43        1.39           9.72 
85  40  1.55        1.43           9.70 
90  40  1.59        1.44           9.69 
95  40  1.55        1.43           9.70 
100  40  1.43        1.39           9.72 
105  40  1.22        1.32           9.77 
110  40  0.93        1.24           9.86 
115  40  0.55        1.14           9.96 
120  40  0.08        1.02           10.08 
125  40  -0.48        0.90           10.21 
130  40  -1.15        0.77           10.34 
135  40  -1.93        0.64           10.49 
140  40  -2.85        0.52           10.65 
145  40  -3.92        0.41           10.82 
150  40  -5.20        0.30           11.00 
155  40  -6.73        0.21           11.17 
160  40  -8.64        0.14           11.32 
165  40  -11.12        0.08           11.45 
170  40  -14.63        0.03           11.55 
175  40  -20.64        0.01           11.62 
180  40  -78.58        0.00           178.58 
0  45  -78.58        0.00           -1.42 
5  45  -20.62        0.01           11.58 
10  45  -14.61        0.03           11.53 
15  45  -11.11        0.08           11.44 
20  45  -8.63        0.14           11.31 
25  45  -6.73        0.21           11.16 
30  45  -5.20        0.30           10.99 
35  45  -3.92        0.41           10.82 
40  45  -2.85        0.52           10.64 
45  45  -1.93        0.64           10.48 
50  45  -1.15        0.77           10.34 
55  45  -0.48        0.90           10.20 
60  45  0.09        1.02           10.08 
65  45  0.55        1.14           9.96 
70  45  0.93        1.24           9.85 
75  45  1.22        1.32           9.77 
80  45  1.43        1.39           9.72 
85  45  1.55        1.43           9.70 
90  45  1.59        1.44           9.69 
95  45  1.55        1.43           9.70 
100  45  1.43        1.39           9.72 
105  45  1.22        1.32           9.77 
110  45  0.93        1.24           9.86 
115  45  0.55        1.14           9.96 
120  45  0.08        1.02           10.08 
125  45  -0.48        0.90           10.21 
130  45  -1.15        0.77           10.34 
135  45  -1.93        0.64           10.49 
140  45  -2.85        0.52           10.65 
145  45  -3.92        0.41           10.82 
150  45  -5.20        0.30           11.00 
155  45  -6.73        0.21           11.17 
160  45  -8.64        0.14           11.32 
165  45  -11.12        0.08           11.45 
170  45  -14.63        0.03           11.55 
175  45  -20.64        0.01           11.62 
180  45  -78.58        0.00           178.58 
0  50  -78.58        0.00           -1.42 
5  50  -20.62        0.01           11.58 
10  50  -14.61        0.03           11.53 
15  50  -11.11        0.08           11.44 
20  50  -8.63        0.14           11.31 
25  50  -6.73        0.21           11.16 
30  50  -5.20        0.30           10.99 
35  50  -3.92        0.41           10.82 
40  50  -2.85        0.52           10.64 
45  50  -1.93        0.64           10.48 
50  50  -1.15        0.77           10.34 
55  50  -0.48        0.90           10.20 
60  50  0.09        1.02           10.08 
65  50  0.55        1.14           9.96 
70  50  0.93        1.24           9.85 
75  50  1.22        1.32           9.77 
80  50  1.43        1.39           9.72 
85  50  1.55        1.43           9.70 
90  50  1.59        1.44           9.69 
95  50  1.55        1.43           9.70 
100  50  1.43        1.39           9.72 
105  50  1.22        1.32           9.77 
110  50  0.93        1.24           9.86 
115  50  0.55        1.14           9.96 
120  50  0.08        1.02           10.08 
125  50  -0.48        0.90           10.21 
130  50  -1.15        0.77           10.34 
135  50  -1.93        0.64           10.49 
140  50  -2.85        0.52           10.65 
145  50  -3.92        0.41           10.82 
150  50  -5.20        0.30           11.00 
155  50  -6.73        0.21           11.17 
160  50  -8.64        0.14           11.32 
165  50  -11.12        0.08           11.45 
170  50  -14.63        0.03           11.55 
175  50  -20.64        0.01           11.62 
180  50  -78.58        0.00           178.58 
0  55  -78.58        0.00           -1.42 
5  55  -20.62        0.01           11.58 
10  55  -14.61        0.03           11.53 
15  55  -11.11        0.08           11.44 
20  55  -8.63        0.14           11.31 
25  55  -6.73        0.21           11.16 
30  55  -5.20        0.30           10.99 
35  55  -3.92        0.41           10.82 
40  55  -2.85        0.52           10.64 
45  55  -1.93        0.64           10.48 
50  55  -1.15        0.77           10.34 
55  55  -0.48        0.90           10.20 
60  55  0.09        1.02           10.08 
65  55  0.55        1.14           9.96 
70  55  0.93        1.24           9.85 
75  55  1.22        1.32           9.77 
80  55  1.43        1.39           9.72 
85  55  1.55        1.43           9.70 
90  55  1.59        1.44           9.69 
95  55  1.55        1.43           9.70 
100  55  1.43        1.39           9.72 
105  55  1.22        1.32           9.77 
110  55  0.93        1.24           9.86 
115  55  0.55        1.14           9.96 
120  55  0.08        1.02           10.08 
125  55  -0.48        0.90           10.21 
130  55  -1.15        0.77           10.34 
135  55  -1.93        0.64           10.49 
140  55  -2.85        0.52           10.65 
145  55  -3.92        0.41           10.82 
150  55  -5.20        0.30           11.00 
155  55  -6.73        0.21           11.17 
160  55  -8.64        0.14           11.32 
165  55  -11.12        0.08           11.45 
170  55  -14.63        0.03           11.55 
175  55  -20.64        0.01           11.62 
180  55  -78.58        0.00           178.58 
0  60  -78.58        0.00           -1.42 
5  60  -20.62        0.01           11.58 
10  60  -14.61        0.03           11.53 
