freq : 83.33 MHz
SWR : 97.99
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -80.83        0.00           -0.41 
5  0  -21.10        0.01           168.18 
10  0  -15.10        0.03           168.17 
15  0  -11.62        0.07           168.14 
20  0  -9.19        0.12           168.09 
25  0  -7.34        0.18           168.04 
30  0  -5.86        0.26           167.97 
35  0  -4.65        0.34           167.91 
40  0  -3.64        0.43           167.83 
45  0  -2.79        0.53           167.76 
50  0  -2.08        0.62           167.70 
55  0  -1.48        0.71           167.64 
60  0  -0.98        0.80           167.59 
65  0  -0.57        0.88           167.55 
70  0  -0.25        0.94           167.53 
75  0  0.00        1.00           167.51 
80  0  0.18        1.04           167.50 
85  0  0.29        1.07           167.50 
90  0  0.32        1.08           167.50 
95  0  0.29        1.07           167.50 
100  0  0.18        1.04           167.50 
105  0  0.01        1.00           167.51 
110  0  -0.25        0.94           167.53 
115  0  -0.57        0.88           167.55 
120  0  -0.98        0.80           167.59 
125  0  -1.48        0.71           167.64 
130  0  -2.08        0.62           167.70 
135  0  -2.79        0.53           167.77 
140  0  -3.64        0.43           167.84 
145  0  -4.65        0.34           167.91 
150  0  -5.86        0.26           167.98 
155  0  -7.33        0.18           168.04 
160  0  -9.19        0.12           168.10 
165  0  -11.62        0.07           168.15 
170  0  -15.09        0.03           168.18 
175  0  -21.08        0.01           168.21 
180  0  -80.83        0.00           179.59 
0  5  -80.83        0.00           -0.41 
5  5  -21.10        0.01           168.18 
10  5  -15.10        0.03           168.17 
15  5  -11.62        0.07           168.14 
20  5  -9.19        0.12           168.09 
25  5  -7.34        0.18           168.04 
30  5  -5.86        0.26           167.97 
35  5  -4.65        0.34           167.91 
40  5  -3.64        0.43           167.83 
45  5  -2.79        0.53           167.76 
50  5  -2.08        0.62           167.70 
55  5  -1.48        0.71           167.64 
60  5  -0.98        0.80           167.59 
65  5  -0.57        0.88           167.55 
70  5  -0.25        0.94           167.53 
75  5  0.00        1.00           167.51 
80  5  0.18        1.04           167.50 
85  5  0.29        1.07           167.50 
90  5  0.32        1.08           167.50 
95  5  0.29        1.07           167.50 
100  5  0.18        1.04           167.50 
105  5  0.01        1.00           167.51 
110  5  -0.25        0.94           167.53 
115  5  -0.57        0.88           167.55 
120  5  -0.98        0.80           167.59 
125  5  -1.48        0.71           167.64 
130  5  -2.08        0.62           167.70 
135  5  -2.79        0.53           167.77 
140  5  -3.64        0.43           167.84 
145  5  -4.65        0.34           167.91 
150  5  -5.86        0.26           167.98 
155  5  -7.33        0.18           168.04 
160  5  -9.19        0.12           168.10 
165  5  -11.62        0.07           168.15 
170  5  -15.09        0.03           168.18 
175  5  -21.08        0.01           168.21 
180  5  -80.83        0.00           179.59 
0  10  -80.83        0.00           -0.41 
5  10  -21.10        0.01           168.18 
10  10  -15.10        0.03           168.17 
15  10  -11.62        0.07           168.14 
20  10  -9.19        0.12           168.09 
25  10  -7.34        0.18           168.04 
30  10  -5.86        0.26           167.97 
35  10  -4.65        0.34           167.91 
40  10  -3.64        0.43           167.83 
45  10  -2.79        0.53           167.76 
50  10  -2.08        0.62           167.70 
55  10  -1.48        0.71           167.64 
60  10  -0.98        0.80           167.59 
65  10  -0.57        0.88           167.55 
70  10  -0.25        0.94           167.53 
75  10  0.00        1.00           167.51 
80  10  0.18        1.04           167.50 
85  10  0.29        1.07           167.50 
90  10  0.32        1.08           167.50 
95  10  0.29        1.07           167.50 
100  10  0.18        1.04           167.50 
105  10  0.01        1.00           167.51 
110  10  -0.25        0.94           167.53 
115  10  -0.57        0.88           167.55 
120  10  -0.98        0.80           167.59 
125  10  -1.48        0.71           167.64 
130  10  -2.08        0.62           167.70 
135  10  -2.79        0.53           167.77 
140  10  -3.64        0.43           167.84 
145  10  -4.65        0.34           167.91 
150  10  -5.86        0.26           167.98 
155  10  -7.33        0.18           168.04 
160  10  -9.19        0.12           168.10 
165  10  -11.62        0.07           168.15 
170  10  -15.09        0.03           168.18 
175  10  -21.08        0.01           168.21 
180  10  -80.83        0.00           179.59 
0  15  -80.83        0.00           -0.41 
5  15  -21.10        0.01           168.18 
10  15  -15.10        0.03           168.17 
15  15  -11.62        0.07           168.14 
20  15  -9.19        0.12           168.09 
25  15  -7.34        0.18           168.04 
30  15  -5.86        0.26           167.97 
35  15  -4.65        0.34           167.91 
40  15  -3.64        0.43           167.83 
45  15  -2.79        0.53           167.76 
50  15  -2.08        0.62           167.70 
55  15  -1.48        0.71           167.64 
60  15  -0.98        0.80           167.59 
65  15  -0.57        0.88           167.55 
70  15  -0.25        0.94           167.53 
75  15  0.00        1.00           167.51 
80  15  0.18        1.04           167.50 
85  15  0.29        1.07           167.50 
90  15  0.32        1.08           167.50 
95  15  0.29        1.07           167.50 
100  15  0.18        1.04           167.50 
105  15  0.01        1.00           167.51 
110  15  -0.25        0.94           167.53 
115  15  -0.57        0.88           167.55 
120  15  -0.98        0.80           167.59 
125  15  -1.48        0.71           167.64 
130  15  -2.08        0.62           167.70 
135  15  -2.79        0.53           167.77 
140  15  -3.64        0.43           167.84 
145  15  -4.65        0.34           167.91 
150  15  -5.86        0.26           167.98 
155  15  -7.33        0.18           168.04 
160  15  -9.19        0.12           168.10 
165  15  -11.62        0.07           168.15 
170  15  -15.09        0.03           168.18 
175  15  -21.08        0.01           168.21 
180  15  -80.83        0.00           179.59 
0  20  -80.83        0.00           -0.41 
5  20  -21.10        0.01           168.18 
10  20  -15.10        0.03           168.17 
15  20  -11.62        0.07           168.14 
20  20  -9.19        0.12           168.09 
25  20  -7.34        0.18           168.04 
30  20  -5.86        0.26           167.97 
35  20  -4.65        0.34           167.91 
40  20  -3.64        0.43           167.83 
45  20  -2.79        0.53           167.76 
50  20  -2.08        0.62           167.70 
55  20  -1.48        0.71           167.64 
60  20  -0.98        0.80           167.59 
65  20  -0.57        0.88           167.55 
70  20  -0.25        0.94           167.53 
75  20  0.00        1.00           167.51 
80  20  0.18        1.04           167.50 
85  20  0.29        1.07           167.50 
90  20  0.32        1.08           167.50 
95  20  0.29        1.07           167.50 
100  20  0.18        1.04           167.50 
105  20  0.01        1.00           167.51 
110  20  -0.25        0.94           167.53 
115  20  -0.57        0.88           167.55 
120  20  -0.98        0.80           167.59 
125  20  -1.48        0.71           167.64 
130  20  -2.08        0.62           167.70 
135  20  -2.79        0.53           167.77 
140  20  -3.64        0.43           167.84 
145  20  -4.65        0.34           167.91 
150  20  -5.86        0.26           167.98 
155  20  -7.33        0.18           168.04 
160  20  -9.19        0.12           168.10 
165  20  -11.62        0.07           168.15 
170  20  -15.09        0.03           168.18 
175  20  -21.08        0.01           168.21 
180  20  -80.83        0.00           179.59 
0  25  -80.83        0.00           -0.41 
5  25  -21.10        0.01           168.18 
10  25  -15.10        0.03           168.17 
15  25  -11.62        0.07           168.14 
20  25  -9.19        0.12           168.09 
25  25  -7.34        0.18           168.04 
30  25  -5.86        0.26           167.97 
35  25  -4.65        0.34           167.91 
40  25  -3.64        0.43           167.83 
45  25  -2.79        0.53           167.76 
50  25  -2.08        0.62           167.70 
55  25  -1.48        0.71           167.64 
60  25  -0.98        0.80           167.59 
65  25  -0.57        0.88           167.55 
70  25  -0.25        0.94           167.53 
75  25  0.00        1.00           167.51 
80  25  0.18        1.04           167.50 
85  25  0.29        1.07           167.50 
90  25  0.32        1.08           167.50 
95  25  0.29        1.07           167.50 
100  25  0.18        1.04           167.50 
105  25  0.01        1.00           167.51 
110  25  -0.25        0.94           167.53 
115  25  -0.57        0.88           167.55 
120  25  -0.98        0.80           167.59 
125  25  -1.48        0.71           167.64 
130  25  -2.08        0.62           167.70 
135  25  -2.79        0.53           167.77 
140  25  -3.64        0.43           167.84 
145  25  -4.65        0.34           167.91 
150  25  -5.86        0.26           167.98 
155  25  -7.33        0.18           168.04 
160  25  -9.19        0.12           168.10 
165  25  -11.62        0.07           168.15 
170  25  -15.09        0.03           168.18 
175  25  -21.08        0.01           168.21 
180  25  -80.83        0.00           179.59 
0  30  -80.83        0.00           -0.41 
5  30  -21.10        0.01           168.18 
10  30  -15.10        0.03           168.17 
15  30  -11.62        0.07           168.14 
20  30  -9.19        0.12           168.09 
25  30  -7.34        0.18           168.04 
30  30  -5.86        0.26           167.97 
35  30  -4.65        0.34           167.91 
40  30  -3.64        0.43           167.83 
45  30  -2.79        0.53           167.76 
50  30  -2.08        0.62           167.70 
55  30  -1.48        0.71           167.64 
60  30  -0.98        0.80           167.59 
65  30  -0.57        0.88           167.55 
70  30  -0.25        0.94           167.53 
75  30  0.00        1.00           167.51 
80  30  0.18        1.04           167.50 
85  30  0.29        1.07           167.50 
90  30  0.32        1.08           167.50 
95  30  0.29        1.07           167.50 
100  30  0.18        1.04           167.50 
105  30  0.01        1.00           167.51 
110  30  -0.25        0.94           167.53 
115  30  -0.57        0.88           167.55 
120  30  -0.98        0.80           167.59 
125  30  -1.48        0.71           167.64 
130  30  -2.08        0.62           167.70 
135  30  -2.79        0.53           167.77 
140  30  -3.64        0.43           167.84 
145  30  -4.65        0.34           167.91 
150  30  -5.86        0.26           167.98 
155  30  -7.33        0.18           168.04 
160  30  -9.19        0.12           168.10 
165  30  -11.62        0.07           168.15 
170  30  -15.09        0.03           168.18 
175  30  -21.08        0.01           168.21 
180  30  -80.83        0.00           179.59 
0  35  -80.83        0.00           -0.41 
5  35  -21.10        0.01           168.18 
10  35  -15.10        0.03           168.17 
15  35  -11.62        0.07           168.14 
20  35  -9.19        0.12           168.09 
25  35  -7.34        0.18           168.04 
30  35  -5.86        0.26           167.97 
35  35  -4.65        0.34           167.91 
40  35  -3.64        0.43           167.83 
45  35  -2.79        0.53           167.76 
50  35  -2.08        0.62           167.70 
55  35  -1.48        0.71           167.64 
60  35  -0.98        0.80           167.59 
65  35  -0.57        0.88           167.55 
70  35  -0.25        0.94           167.53 
75  35  0.00        1.00           167.51 
80  35  0.18        1.04           167.50 
85  35  0.29        1.07           167.50 
90  35  0.32        1.08           167.50 
95  35  0.29        1.07           167.50 
100  35  0.18        1.04           167.50 
105  35  0.01        1.00           167.51 
110  35  -0.25        0.94           167.53 
115  35  -0.57        0.88           167.55 
120  35  -0.98        0.80           167.59 
125  35  -1.48        0.71           167.64 
130  35  -2.08        0.62           167.70 
135  35  -2.79        0.53           167.77 
140  35  -3.64        0.43           167.84 
145  35  -4.65        0.34           167.91 
150  35  -5.86        0.26           167.98 
155  35  -7.33        0.18           168.04 
160  35  -9.19        0.12           168.10 
165  35  -11.62        0.07           168.15 
170  35  -15.09        0.03           168.18 
175  35  -21.08        0.01           168.21 
180  35  -80.83        0.00           179.59 
0  40  -80.83        0.00           -0.41 
5  40  -21.10        0.01           168.18 
10  40  -15.10        0.03           168.17 
15  40  -11.62        0.07           168.14 
20  40  -9.19        0.12           168.09 
25  40  -7.34        0.18           168.04 
30  40  -5.86        0.26           167.97 
35  40  -4.65        0.34           167.91 
40  40  -3.64        0.43           167.83 
45  40  -2.79        0.53           167.76 
50  40  -2.08        0.62           167.70 
55  40  -1.48        0.71           167.64 
60  40  -0.98        0.80           167.59 
65  40  -0.57        0.88           167.55 
70  40  -0.25        0.94           167.53 
75  40  0.00        1.00           167.51 
80  40  0.18        1.04           167.50 
85  40  0.29        1.07           167.50 
90  40  0.32        1.08           167.50 
95  40  0.29        1.07           167.50 
100  40  0.18        1.04           167.50 
105  40  0.01        1.00           167.51 
110  40  -0.25        0.94           167.53 
115  40  -0.57        0.88           167.55 
120  40  -0.98        0.80           167.59 
125  40  -1.48        0.71           167.64 
130  40  -2.08        0.62           167.70 
135  40  -2.79        0.53           167.77 
140  40  -3.64        0.43           167.84 
145  40  -4.65        0.34           167.91 
150  40  -5.86        0.26           167.98 
155  40  -7.33        0.18           168.04 
160  40  -9.19        0.12           168.10 
165  40  -11.62        0.07           168.15 
170  40  -15.09        0.03           168.18 
175  40  -21.08        0.01           168.21 
180  40  -80.83        0.00           179.59 
0  45  -80.83        0.00           -0.41 
5  45  -21.10        0.01           168.18 
10  45  -15.10        0.03           168.17 
15  45  -11.62        0.07           168.14 
20  45  -9.19        0.12           168.09 
25  45  -7.34        0.18           168.04 
30  45  -5.86        0.26           167.97 
35  45  -4.65        0.34           167.91 
40  45  -3.64        0.43           167.83 
45  45  -2.79        0.53           167.76 
50  45  -2.08        0.62           167.70 
55  45  -1.48        0.71           167.64 
60  45  -0.98        0.80           167.59 
65  45  -0.57        0.88           167.55 
70  45  -0.25        0.94           167.53 
75  45  0.00        1.00           167.51 
80  45  0.18        1.04           167.50 
85  45  0.29        1.07           167.50 
90  45  0.32        1.08           167.50 
95  45  0.29        1.07           167.50 
100  45  0.18        1.04           167.50 
105  45  0.01        1.00           167.51 
110  45  -0.25        0.94           167.53 
115  45  -0.57        0.88           167.55 
120  45  -0.98        0.80           167.59 
125  45  -1.48        0.71           167.64 
130  45  -2.08        0.62           167.70 
135  45  -2.79        0.53           167.77 
140  45  -3.64        0.43           167.84 
145  45  -4.65        0.34           167.91 
150  45  -5.86        0.26           167.98 
155  45  -7.33        0.18           168.04 
160  45  -9.19        0.12           168.10 
165  45  -11.62        0.07           168.15 
170  45  -15.09        0.03           168.18 
175  45  -21.08        0.01           168.21 
180  45  -80.83        0.00           179.59 
0  50  -80.83        0.00           -0.41 
5  50  -21.10        0.01           168.18 
10  50  -15.10        0.03           168.17 
15  50  -11.62        0.07           168.14 
20  50  -9.19        0.12           168.09 
25  50  -7.34        0.18           168.04 
30  50  -5.86        0.26           167.97 
35  50  -4.65        0.34           167.91 
40  50  -3.64        0.43           167.83 
45  50  -2.79        0.53           167.76 
50  50  -2.08        0.62           167.70 
55  50  -1.48        0.71           167.64 
60  50  -0.98        0.80           167.59 
65  50  -0.57        0.88           167.55 
70  50  -0.25        0.94           167.53 
75  50  0.00        1.00           167.51 
80  50  0.18        1.04           167.50 
85  50  0.29        1.07           167.50 
90  50  0.32        1.08           167.50 
95  50  0.29        1.07           167.50 
100  50  0.18        1.04           167.50 
105  50  0.01        1.00           167.51 
110  50  -0.25        0.94           167.53 
115  50  -0.57        0.88           167.55 
120  50  -0.98        0.80           167.59 
125  50  -1.48        0.71           167.64 
130  50  -2.08        0.62           167.70 
135  50  -2.79        0.53           167.77 
140  50  -3.64        0.43           167.84 
145  50  -4.65        0.34           167.91 
150  50  -5.86        0.26           167.98 
155  50  -7.33        0.18           168.04 
160  50  -9.19        0.12           168.10 
165  50  -11.62        0.07           168.15 
170  50  -15.09        0.03           168.18 
175  50  -21.08        0.01           168.21 
180  50  -80.83        0.00           179.59 
0  55  -80.83        0.00           -0.41 
5  55  -21.10        0.01           168.18 
10  55  -15.10        0.03           168.17 
15  55  -11.62        0.07           168.14 
20  55  -9.19        0.12           168.09 
25  55  -7.34        0.18           168.04 
30  55  -5.86        0.26           167.97 
35  55  -4.65        0.34           167.91 
40  55  -3.64        0.43           167.83 
45  55  -2.79        0.53           167.76 
50  55  -2.08        0.62           167.70 
55  55  -1.48        0.71           167.64 
60  55  -0.98        0.80           167.59 
65  55  -0.57        0.88           167.55 
70  55  -0.25        0.94           167.53 
75  55  0.00        1.00           167.51 
80  55  0.18        1.04           167.50 
85  55  0.29        1.07           167.50 
90  55  0.32        1.08           167.50 
95  55  0.29        1.07           167.50 
100  55  0.18        1.04           167.50 
105  55  0.01        1.00           167.51 
110  55  -0.25        0.94           167.53 
115  55  -0.57        0.88           167.55 
120  55  -0.98        0.80           167.59 
125  55  -1.48        0.71           167.64 
130  55  -2.08        0.62           167.70 
135  55  -2.79        0.53           167.77 
140  55  -3.64        0.43           167.84 
145  55  -4.65        0.34           167.91 
150  55  -5.86        0.26           167.98 
155  55  -7.33        0.18           168.04 
160  55  -9.19        0.12           168.10 
165  55  -11.62        0.07           168.15 
170  55  -15.09        0.03           168.18 
175  55  -21.08        0.01           168.21 
180  55  -80.83        0.00           179.59 
0  60  -80.83        0.00           -0.41 
5  60  -21.10        0.01           168.18 
10  60  -15.10        0.03           168.17 
15  60  -11.62        0.07           168.14 
20  60  -9.19        0.12           168.09 
25  60  -7.34        0.18           168.04 
30  60  -5.86        0.26           167.97 
35  60  -4.65        0.34           167.91 
40  60  -3.64        0.43           167.83 
45  60  -2.79        0.53           167.76 
50  60  -2.08        0.62           167.70 
55  60  -1.48        0.71           167.64 
60  60  -0.98        0.80           167.59 
65  60  -0.57        0.88           167.55 
70  60  -0.25        0.94           167.53 
75  60  0.00        1.00           167.51 
80  60  0.18        1.04           167.50 
85  60  0.29        1.07           167.50 
90  60  0.32        1.08           167.50 
95  60  0.29        1.07           167.50 
100  60  0.18        1.04           167.50 
105  60  0.01        1.00           167.51 
110  60  -0.25        0.94           167.53 
115  60  -0.57        0.88           167.55 
120  60  -0.98        0.80           167.59 
125  60  -1.48        0.71           167.64 
130  60  -2.08        0.62           167.70 
135  60  -2.79        0.53           167.77 
140  60  -3.64        0.43           167.84 
145  60  -4.65        0.34           167.91 
150  60  -5.86        0.26           167.98 
155  60  -7.33        0.18           168.04 
160  60  -9.19        0.12           168.10 
165  60  -11.62        0.07           168.15 
170  60  -15.09        0.03           168.18 
175  60  -21.08        0.01           168.21 
180  60  -80.83        0.00           179.59 
0  65  -80.83        0.00           -0.41 
5  65  -21.10        0.01           168.18 
10  65  -15.10        0.03           168.17 
15  65  -11.62        0.07           168.14 
20  65  -9.19        0.12           168.09 
25  65  -7.34        0.18           168.04 
30  65  -5.86        0.26           167.97 
35  65  -4.65        0.34           167.91 
40  65  -3.64        0.43           167.83 
45  65  -2.79        0.53           167.76 
50  65  -2.08        0.62           167.70 
55  65  -1.48        0.71           167.64 
60  65  -0.98        0.80           167.59 
65  65  -0.57        0.88           167.55 
70  65  -0.25        0.94           167.53 
75  65  0.00        1.00           167.51 
80  65  0.18        1.04           167.50 
85  65  0.29        1.07           167.50 
90  65  0.32        1.08           167.50 
95  65  0.29        1.07           167.50 
100  65  0.18        1.04           167.50 
105  65  0.01        1.00           167.51 
110  65  -0.25        0.94           167.53 
115  65  -0.57        0.88           167.55 
120  65  -0.98        0.80           167.59 
125  65  -1.48        0.71           167.64 
130  65  -2.08        0.62           167.70 
135  65  -2.79        0.53           167.77 
140  65  -3.64        0.43           167.84 
145  65  -4.65        0.34           167.91 
150  65  -5.86        0.26           167.98 
155  65  -7.33        0.18           168.04 
160  65  -9.19        0.12           168.10 
165  65  -11.62        0.07           168.15 
170  65  -15.09        0.03           168.18 
175  65  -21.08        0.01           168.21 
180  65  -80.83        0.00           179.59 
0  70  -80.83        0.00           -0.41 
5  70  -21.10        0.01           168.18 
10  70  -15.10        0.03           168.17 
15  70  -11.62        0.07           168.14 
20  70  -9.19        0.12           168.09 
25  70  -7.34        0.18           168.04 
30  70  -5.86        0.26           167.97 
35  70  -4.65        0.34           167.91 
40  70  -3.64        0.43           167.83 
45  70  -2.79        0.53           167.76 
50  70  -2.08        0.62           167.70 
55  70  -1.48        0.71           167.64 
60  70  -0.98        0.80           167.59 
65  70  -0.57        0.88           167.55 
70  70  -0.25        0.94           167.53 
75  70  0.00        1.00           167.51 
80  70  0.18        1.04           167.50 
85  70  0.29        1.07           167.50 
90  70  0.32        1.08           167.50 
95  70  0.29        1.07           167.50 
100  70  0.18        1.04           167.50 
105  70  0.01        1.00           167.51 
110  70  -0.25        0.94           167.53 
115  70  -0.57        0.88           167.55 
120  70  -0.98        0.80           167.59 
125  70  -1.48        0.71           167.64 
130  70  -2.08        0.62           167.70 
135  70  -2.79        0.53           167.77 
140  70  -3.64        0.43           167.84 
145  70  -4.65        0.34           167.91 
150  70  -5.86        0.26           167.98 
155  70  -7.33        0.18           168.04 
160  70  -9.19        0.12           168.10 
165  70  -11.62        0.07           168.15 
170  70  -15.09        0.03           168.18 
175  70  -21.08        0.01           168.21 
180  70  -80.83        0.00           179.59 
0  75  -80.83        0.00           -0.41 
5  75  -21.10        0.01           168.18 
10  75  -15.10        0.03           168.17 
15  75  -11.62        0.07           168.14 
20  75  -9.19        0.12           168.09 
25  75  -7.34        0.18           168.04 
30  75  -5.86        0.26           167.97 
35  75  -4.65        0.34           167.91 
40  75  -3.64        0.43           167.83 
45  75  -2.79        0.53           167.76 
50  75  -2.08        0.62           167.70 
55  75  -1.48        0.71           167.64 
60  75  -0.98        0.80           167.59 
65  75  -0.57        0.88           167.55 
70  75  -0.25        0.94           167.53 
75  75  0.00        1.00           167.51 
80  75  0.18        1.04           167.50 
85  75  0.29        1.07           167.50 
90  75  0.32        1.08           167.50 
95  75  0.29        1.07           167.50 
100  75  0.18        1.04           167.50 
105  75  0.01        1.00           167.51 
110  75  -0.25        0.94           167.53 
115  75  -0.57        0.88           167.55 
120  75  -0.98        0.80           167.59 
125  75  -1.48        0.71           167.64 
130  75  -2.08        0.62           167.70 
135  75  -2.79        0.53           167.77 
140  75  -3.64        0.43           167.84 
145  75  -4.65        0.34           167.91 
150  75  -5.86        0.26           167.98 
155  75  -7.33        0.18           168.04 
160  75  -9.19        0.12           168.10 
165  75  -11.62        0.07           168.15 
170  75  -15.09        0.03           168.18 
175  75  -21.08        0.01           168.21 
180  75  -80.83        0.00           179.59 
0  80  -80.83        0.00           -0.41 
5  80  -21.10        0.01           168.18 
10  80  -15.10        0.03           168.17 
15  80  -11.62        0.07           168.14 
20  80  -9.19        0.12           168.09 
25  80  -7.34        0.18           168.04 
30  80  -5.86        0.26           167.97 
35  80  -4.65        0.34           167.91 
40  80  -3.64        0.43           167.83 
45  80  -2.79        0.53           167.76 
50  80  -2.08        0.62           167.70 
55  80  -1.48        0.71           167.64 
60  80  -0.98        0.80           167.59 
65  80  -0.57        0.88           167.55 
70  80  -0.25        0.94           167.53 
75  80  0.00        1.00           167.51 
80  80  0.18        1.04           167.50 
85  80  0.29        1.07           167.50 
90  80  0.32        1.08           167.50 
95  80  0.29        1.07           167.50 
