freq : 366.66 MHz
SWR : 4.53
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -58.06        0.00           3.48 
5  0  -20.32        0.01           -39.83 
10  0  -14.45        0.04           -41.29 
15  0  -11.12        0.08           -43.41 
20  0  -8.88        0.13           -46.39 
25  0  -7.24        0.19           -50.30 
30  0  -5.99        0.25           -55.21 
35  0  -4.97        0.32           -61.14 
40  0  -4.07        0.39           -68.02 
45  0  -3.22        0.48           -75.65 
50  0  -2.36        0.58           -83.57 
55  0  -1.46        0.71           -91.26 
60  0  -0.54        0.88           -98.30 
65  0  0.34        1.08           104.34 
70  0  1.14        1.30           109.22 
75  0  1.80        1.51           112.94 
80  0  2.30        1.70           115.54 
85  0  2.61        1.82           117.06 
90  0  2.71        1.87           117.57 
95  0  2.61        1.82           117.07 
100  0  2.30        1.70           115.56 
105  0  1.80        1.51           112.98 
110  0  1.14        1.30           109.27 
115  0  0.34        1.08           104.40 
120  0  -0.54        0.88           -98.38 
125  0  -1.45        0.72           -91.38 
130  0  -2.36        0.58           -83.71 
135  0  -3.23        0.48           -75.81 
140  0  -4.08        0.39           -68.21 
145  0  -4.98        0.32           -61.34 
150  0  -6.01        0.25           -55.44 
155  0  -7.27        0.19           -50.56 
160  0  -8.91        0.13           -46.69 
165  0  -11.17        0.08           -43.79 
170  0  -14.53        0.04           -41.82 
175  0  -20.48        0.01           -40.87 
180  0  -58.06        0.00           176.52 
0  5  -58.06        0.00           3.48 
5  5  -20.32        0.01           -39.83 
10  5  -14.45        0.04           -41.29 
15  5  -11.12        0.08           -43.41 
20  5  -8.88        0.13           -46.39 
25  5  -7.24        0.19           -50.30 
30  5  -5.99        0.25           -55.21 
35  5  -4.97        0.32           -61.14 
40  5  -4.07        0.39           -68.02 
45  5  -3.22        0.48           -75.65 
50  5  -2.36        0.58           -83.57 
55  5  -1.46        0.71           -91.26 
60  5  -0.54        0.88           -98.30 
65  5  0.34        1.08           104.34 
70  5  1.14        1.30           109.22 
75  5  1.80        1.51           112.94 
80  5  2.30        1.70           115.54 
85  5  2.61        1.82           117.06 
90  5  2.71        1.87           117.57 
95  5  2.61        1.82           117.07 
100  5  2.30        1.70           115.56 
105  5  1.80        1.51           112.98 
110  5  1.14        1.30           109.27 
115  5  0.34        1.08           104.40 
120  5  -0.54        0.88           -98.38 
125  5  -1.45        0.72           -91.38 
130  5  -2.36        0.58           -83.71 
135  5  -3.23        0.48           -75.81 
140  5  -4.08        0.39           -68.21 
145  5  -4.98        0.32           -61.34 
150  5  -6.01        0.25           -55.44 
155  5  -7.27        0.19           -50.56 
160  5  -8.91        0.13           -46.69 
165  5  -11.17        0.08           -43.79 
170  5  -14.53        0.04           -41.82 
175  5  -20.48        0.01           -40.87 
180  5  -58.06        0.00           176.52 
0  10  -58.06        0.00           3.48 
5  10  -20.32        0.01           -39.83 
10  10  -14.45        0.04           -41.29 
15  10  -11.12        0.08           -43.41 
20  10  -8.88        0.13           -46.39 
25  10  -7.24        0.19           -50.30 
30  10  -5.99        0.25           -55.21 
35  10  -4.97        0.32           -61.14 
40  10  -4.07        0.39           -68.02 
45  10  -3.22        0.48           -75.65 
50  10  -2.36        0.58           -83.57 
55  10  -1.46        0.71           -91.26 
60  10  -0.54        0.88           -98.30 
65  10  0.34        1.08           104.34 
70  10  1.14        1.30           109.22 
75  10  1.80        1.51           112.94 
80  10  2.30        1.70           115.54 
85  10  2.61        1.82           117.06 
90  10  2.71        1.87           117.57 
95  10  2.61        1.82           117.07 
100  10  2.30        1.70           115.56 
105  10  1.80        1.51           112.98 
110  10  1.14        1.30           109.27 
115  10  0.34        1.08           104.40 
120  10  -0.54        0.88           -98.38 
125  10  -1.45        0.72           -91.38 
130  10  -2.36        0.58           -83.71 
135  10  -3.23        0.48           -75.81 
140  10  -4.08        0.39           -68.21 
145  10  -4.98        0.32           -61.34 
150  10  -6.01        0.25           -55.44 
155  10  -7.27        0.19           -50.56 
160  10  -8.91        0.13           -46.69 
165  10  -11.17        0.08           -43.79 
170  10  -14.53        0.04           -41.82 
175  10  -20.48        0.01           -40.87 
180  10  -58.06        0.00           176.52 
0  15  -58.06        0.00           3.48 
5  15  -20.32        0.01           -39.83 
10  15  -14.45        0.04           -41.29 
15  15  -11.12        0.08           -43.41 
20  15  -8.88        0.13           -46.39 
25  15  -7.24        0.19           -50.30 
30  15  -5.99        0.25           -55.21 
35  15  -4.97        0.32           -61.14 
40  15  -4.07        0.39           -68.02 
45  15  -3.22        0.48           -75.65 
50  15  -2.36        0.58           -83.57 
55  15  -1.46        0.71           -91.26 
60  15  -0.54        0.88           -98.30 
65  15  0.34        1.08           104.34 
70  15  1.14        1.30           109.22 
75  15  1.80        1.51           112.94 
80  15  2.30        1.70           115.54 
85  15  2.61        1.82           117.06 
90  15  2.71        1.87           117.57 
95  15  2.61        1.82           117.07 
100  15  2.30        1.70           115.56 
105  15  1.80        1.51           112.98 
110  15  1.14        1.30           109.27 
115  15  0.34        1.08           104.40 
120  15  -0.54        0.88           -98.38 
125  15  -1.45        0.72           -91.38 
130  15  -2.36        0.58           -83.71 
135  15  -3.23        0.48           -75.81 
140  15  -4.08        0.39           -68.21 
145  15  -4.98        0.32           -61.34 
150  15  -6.01        0.25           -55.44 
155  15  -7.27        0.19           -50.56 
160  15  -8.91        0.13           -46.69 
165  15  -11.17        0.08           -43.79 
170  15  -14.53        0.04           -41.82 
175  15  -20.48        0.01           -40.87 
180  15  -58.06        0.00           176.52 
0  20  -58.06        0.00           3.48 
5  20  -20.32        0.01           -39.83 
10  20  -14.45        0.04           -41.29 
15  20  -11.12        0.08           -43.41 
20  20  -8.88        0.13           -46.39 
25  20  -7.24        0.19           -50.30 
30  20  -5.99        0.25           -55.21 
35  20  -4.97        0.32           -61.14 
40  20  -4.07        0.39           -68.02 
45  20  -3.22        0.48           -75.65 
50  20  -2.36        0.58           -83.57 
55  20  -1.46        0.71           -91.26 
60  20  -0.54        0.88           -98.30 
65  20  0.34        1.08           104.34 
70  20  1.14        1.30           109.22 
75  20  1.80        1.51           112.94 
80  20  2.30        1.70           115.54 
85  20  2.61        1.82           117.06 
90  20  2.71        1.87           117.57 
95  20  2.61        1.82           117.07 
100  20  2.30        1.70           115.56 
105  20  1.80        1.51           112.98 
110  20  1.14        1.30           109.27 
115  20  0.34        1.08           104.40 
120  20  -0.54        0.88           -98.38 
125  20  -1.45        0.72           -91.38 
130  20  -2.36        0.58           -83.71 
135  20  -3.23        0.48           -75.81 
140  20  -4.08        0.39           -68.21 
145  20  -4.98        0.32           -61.34 
150  20  -6.01        0.25           -55.44 
155  20  -7.27        0.19           -50.56 
160  20  -8.91        0.13           -46.69 
165  20  -11.17        0.08           -43.79 
170  20  -14.53        0.04           -41.82 
175  20  -20.48        0.01           -40.87 
180  20  -58.06        0.00           176.52 
0  25  -58.06        0.00           3.48 
5  25  -20.32        0.01           -39.83 
10  25  -14.45        0.04           -41.29 
15  25  -11.12        0.08           -43.41 
20  25  -8.88        0.13           -46.39 
25  25  -7.24        0.19           -50.30 
30  25  -5.99        0.25           -55.21 
35  25  -4.97        0.32           -61.14 
40  25  -4.07        0.39           -68.02 
45  25  -3.22        0.48           -75.65 
50  25  -2.36        0.58           -83.57 
55  25  -1.46        0.71           -91.26 
60  25  -0.54        0.88           -98.30 
65  25  0.34        1.08           104.34 
70  25  1.14        1.30           109.22 
75  25  1.80        1.51           112.94 
80  25  2.30        1.70           115.54 
85  25  2.61        1.82           117.06 
90  25  2.71        1.87           117.57 
95  25  2.61        1.82           117.07 
100  25  2.30        1.70           115.56 
105  25  1.80        1.51           112.98 
110  25  1.14        1.30           109.27 
115  25  0.34        1.08           104.40 
120  25  -0.54        0.88           -98.38 
125  25  -1.45        0.72           -91.38 
130  25  -2.36        0.58           -83.71 
135  25  -3.23        0.48           -75.81 
140  25  -4.08        0.39           -68.21 
145  25  -4.98        0.32           -61.34 
150  25  -6.01        0.25           -55.44 
155  25  -7.27        0.19           -50.56 
160  25  -8.91        0.13           -46.69 
165  25  -11.17        0.08           -43.79 
170  25  -14.53        0.04           -41.82 
175  25  -20.48        0.01           -40.87 
180  25  -58.06        0.00           176.52 
0  30  -58.06        0.00           3.48 
5  30  -20.32        0.01           -39.83 
10  30  -14.45        0.04           -41.29 
15  30  -11.12        0.08           -43.41 
20  30  -8.88        0.13           -46.39 
25  30  -7.24        0.19           -50.30 
30  30  -5.99        0.25           -55.21 
35  30  -4.97        0.32           -61.14 
40  30  -4.07        0.39           -68.02 
45  30  -3.22        0.48           -75.65 
50  30  -2.36        0.58           -83.57 
55  30  -1.46        0.71           -91.26 
60  30  -0.54        0.88           -98.30 
65  30  0.34        1.08           104.34 
70  30  1.14        1.30           109.22 
75  30  1.80        1.51           112.94 
80  30  2.30        1.70           115.54 
85  30  2.61        1.82           117.06 
90  30  2.71        1.87           117.57 
95  30  2.61        1.82           117.07 
100  30  2.30        1.70           115.56 
105  30  1.80        1.51           112.98 
110  30  1.14        1.30           109.27 
115  30  0.34        1.08           104.40 
120  30  -0.54        0.88           -98.38 
125  30  -1.45        0.72           -91.38 
130  30  -2.36        0.58           -83.71 
135  30  -3.23        0.48           -75.81 
140  30  -4.08        0.39           -68.21 
145  30  -4.98        0.32           -61.34 
150  30  -6.01        0.25           -55.44 
155  30  -7.27        0.19           -50.56 
160  30  -8.91        0.13           -46.69 
165  30  -11.17        0.08           -43.79 
170  30  -14.53        0.04           -41.82 
175  30  -20.48        0.01           -40.87 
180  30  -58.06        0.00           176.52 
0  35  -58.06        0.00           3.48 
5  35  -20.32        0.01           -39.83 
10  35  -14.45        0.04           -41.29 
15  35  -11.12        0.08           -43.41 
20  35  -8.88        0.13           -46.39 
25  35  -7.24        0.19           -50.30 
30  35  -5.99        0.25           -55.21 
35  35  -4.97        0.32           -61.14 
40  35  -4.07        0.39           -68.02 
45  35  -3.22        0.48           -75.65 
50  35  -2.36        0.58           -83.57 
55  35  -1.46        0.71           -91.26 
60  35  -0.54        0.88           -98.30 
65  35  0.34        1.08           104.34 
70  35  1.14        1.30           109.22 
75  35  1.80        1.51           112.94 
80  35  2.30        1.70           115.54 
85  35  2.61        1.82           117.06 
90  35  2.71        1.87           117.57 
95  35  2.61        1.82           117.07 
100  35  2.30        1.70           115.56 
105  35  1.80        1.51           112.98 
110  35  1.14        1.30           109.27 
115  35  0.34        1.08           104.40 
120  35  -0.54        0.88           -98.38 
125  35  -1.45        0.72           -91.38 
130  35  -2.36        0.58           -83.71 
135  35  -3.23        0.48           -75.81 
140  35  -4.08        0.39           -68.21 
145  35  -4.98        0.32           -61.34 
150  35  -6.01        0.25           -55.44 
155  35  -7.27        0.19           -50.56 
160  35  -8.91        0.13           -46.69 
165  35  -11.17        0.08           -43.79 
170  35  -14.53        0.04           -41.82 
175  35  -20.48        0.01           -40.87 
180  35  -58.06        0.00           176.52 
0  40  -58.06        0.00           3.48 
5  40  -20.32        0.01           -39.83 
10  40  -14.45        0.04           -41.29 
15  40  -11.12        0.08           -43.41 
20  40  -8.88        0.13           -46.39 
25  40  -7.24        0.19           -50.30 
30  40  -5.99        0.25           -55.21 
35  40  -4.97        0.32           -61.14 
40  40  -4.07        0.39           -68.02 
45  40  -3.22        0.48           -75.65 
50  40  -2.36        0.58           -83.57 
55  40  -1.46        0.71           -91.26 
60  40  -0.54        0.88           -98.30 
65  40  0.34        1.08           104.34 
70  40  1.14        1.30           109.22 
75  40  1.80        1.51           112.94 
80  40  2.30        1.70           115.54 
85  40  2.61        1.82           117.06 
90  40  2.71        1.87           117.57 
95  40  2.61        1.82           117.07 
100  40  2.30        1.70           115.56 
105  40  1.80        1.51           112.98 
110  40  1.14        1.30           109.27 
115  40  0.34        1.08           104.40 
120  40  -0.54        0.88           -98.38 
125  40  -1.45        0.72           -91.38 
130  40  -2.36        0.58           -83.71 
135  40  -3.23        0.48           -75.81 
140  40  -4.08        0.39           -68.21 
145  40  -4.98        0.32           -61.34 
150  40  -6.01        0.25           -55.44 
155  40  -7.27        0.19           -50.56 
160  40  -8.91        0.13           -46.69 
165  40  -11.17        0.08           -43.79 
170  40  -14.53        0.04           -41.82 
175  40  -20.48        0.01           -40.87 
180  40  -58.06        0.00           176.52 
0  45  -58.06        0.00           3.48 
5  45  -20.32        0.01           -39.83 
10  45  -14.45        0.04           -41.29 
15  45  -11.12        0.08           -43.41 
20  45  -8.88        0.13           -46.39 
25  45  -7.24        0.19           -50.30 
30  45  -5.99        0.25           -55.21 
35  45  -4.97        0.32           -61.14 
40  45  -4.07        0.39           -68.02 
45  45  -3.22        0.48           -75.65 
50  45  -2.36        0.58           -83.57 
55  45  -1.46        0.71           -91.26 
60  45  -0.54        0.88           -98.30 
65  45  0.34        1.08           104.34 
70  45  1.14        1.30           109.22 
75  45  1.80        1.51           112.94 
80  45  2.30        1.70           115.54 
85  45  2.61        1.82           117.06 
90  45  2.71        1.87           117.57 
95  45  2.61        1.82           117.07 
100  45  2.30        1.70           115.56 
105  45  1.80        1.51           112.98 
110  45  1.14        1.30           109.27 
115  45  0.34        1.08           104.40 
120  45  -0.54        0.88           -98.38 
125  45  -1.45        0.72           -91.38 
130  45  -2.36        0.58           -83.71 
135  45  -3.23        0.48           -75.81 
140  45  -4.08        0.39           -68.21 
145  45  -4.98        0.32           -61.34 
150  45  -6.01        0.25           -55.44 
155  45  -7.27        0.19           -50.56 
160  45  -8.91        0.13           -46.69 
165  45  -11.17        0.08           -43.79 
170  45  -14.53        0.04           -41.82 
175  45  -20.48        0.01           -40.87 
180  45  -58.06        0.00           176.52 
0  50  -58.06        0.00           3.48 
