freq : 950.00 MHz
SWR : 7.95
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -46.33        0.00           -0.23 
5  0  -11.81        0.07           73.27 
10  0  -5.88        0.26           72.08 
15  0  -2.50        0.56           69.69 
20  0  -0.21        0.95           66.81 
25  0  1.38        1.37           63.25 
30  0  2.41        1.74           59.34 
35  0  2.91        1.95           55.24 
40  0  2.87        1.94           50.88 
45  0  2.24        1.67           45.68 
50  0  1.09        1.29           40.55 
55  0  -0.70        0.85           37.63 
60  0  -2.76        0.53           30.42 
65  0  -4.41        0.36           33.35 
70  0  -4.81        0.33           42.97 
75  0  -3.46        0.45           53.92 
80  0  -1.52        0.70           60.46 
85  0  -0.08        0.98           63.25 
90  0  0.43        1.10           64.02 
95  0  -0.09        0.98           63.34 
100  0  -1.53        0.70           60.64 
105  0  -3.48        0.45           54.19 
110  0  -4.85        0.33           43.28 
115  0  -4.45        0.36           33.59 
120  0  -2.80        0.52           30.62 
125  0  -0.73        0.85           37.82 
130  0  1.06        1.28           40.73 
135  0  2.21        1.66           45.87 
140  0  2.84        1.92           51.10 
145  0  2.89        1.95           55.49 
150  0  2.38        1.73           59.65 
155  0  1.35        1.36           63.64 
160  0  -0.24        0.95           67.30 
165  0  -2.54        0.56           70.37 
170  0  -5.93        0.26           73.11 
175  0  -11.89        0.06           75.35 
180  0  -46.33        0.00           179.77 
0  5  -46.33        0.00           -0.23 
5  5  -11.81        0.07           73.27 
10  5  -5.88        0.26           72.08 
15  5  -2.50        0.56           69.69 
20  5  -0.21        0.95           66.81 
25  5  1.38        1.37           63.25 
30  5  2.41        1.74           59.34 
35  5  2.91        1.95           55.24 
40  5  2.87        1.94           50.88 
45  5  2.24        1.67           45.68 
50  5  1.09        1.29           40.55 
55  5  -0.70        0.85           37.63 
60  5  -2.76        0.53           30.42 
65  5  -4.41        0.36           33.35 
70  5  -4.81        0.33           42.97 
75  5  -3.46        0.45           53.92 
80  5  -1.52        0.70           60.46 
85  5  -0.08        0.98           63.25 
90  5  0.43        1.10           64.02 
95  5  -0.09        0.98           63.34 
100  5  -1.53        0.70           60.64 
105  5  -3.48        0.45           54.19 
110  5  -4.85        0.33           43.28 
115  5  -4.45        0.36           33.59 
120  5  -2.80        0.52           30.62 
125  5  -0.73        0.85           37.82 
130  5  1.06        1.28           40.73 
135  5  2.21        1.66           45.87 
140  5  2.84        1.92           51.10 
145  5  2.89        1.95           55.49 
150  5  2.38        1.73           59.65 
155  5  1.35        1.36           63.64 
160  5  -0.24        0.95           67.30 
165  5  -2.54        0.56           70.37 
170  5  -5.93        0.26           73.11 
175  5  -11.89        0.06           75.35 
180  5  -46.33        0.00           179.77 
0  10  -46.33        0.00           -0.23 
5  10  -11.81        0.07           73.27 
10  10  -5.88        0.26           72.08 
15  10  -2.50        0.56           69.69 
20  10  -0.21        0.95           66.81 
25  10  1.38        1.37           63.25 
30  10  2.41        1.74           59.34 
35  10  2.91        1.95           55.24 
40  10  2.87        1.94           50.88 
45  10  2.24        1.67           45.68 
50  10  1.09        1.29           40.55 
55  10  -0.70        0.85           37.63 
60  10  -2.76        0.53           30.42 
65  10  -4.41        0.36           33.35 
70  10  -4.81        0.33           42.97 
75  10  -3.46        0.45           53.92 
80  10  -1.52        0.70           60.46 
85  10  -0.08        0.98           63.25 
90  10  0.43        1.10           64.02 
95  10  -0.09        0.98           63.34 
100  10  -1.53        0.70           60.64 
105  10  -3.48        0.45           54.19 
110  10  -4.85        0.33           43.28 
115  10  -4.45        0.36           33.59 
120  10  -2.80        0.52           30.62 
125  10  -0.73        0.85           37.82 
130  10  1.06        1.28           40.73 
135  10  2.21        1.66           45.87 
140  10  2.84        1.92           51.10 
145  10  2.89        1.95           55.49 
150  10  2.38        1.73           59.65 
155  10  1.35        1.36           63.64 
160  10  -0.24        0.95           67.30 
165  10  -2.54        0.56           70.37 
170  10  -5.93        0.26           73.11 
175  10  -11.89        0.06           75.35 
180  10  -46.33        0.00           179.77 
0  15  -46.33        0.00           -0.23 
5  15  -11.81        0.07           73.27 
10  15  -5.88        0.26           72.08 
15  15  -2.50        0.56           69.69 
20  15  -0.21        0.95           66.81 
25  15  1.38        1.37           63.25 
30  15  2.41        1.74           59.34 
35  15  2.91        1.95           55.24 
40  15  2.87        1.94           50.88 
45  15  2.24        1.67           45.68 
50  15  1.09        1.29           40.55 
55  15  -0.70        0.85           37.63 
60  15  -2.76        0.53           30.42 
65  15  -4.41        0.36           33.35 
70  15  -4.81        0.33           42.97 
75  15  -3.46        0.45           53.92 
80  15  -1.52        0.70           60.46 
85  15  -0.08        0.98           63.25 
90  15  0.43        1.10           64.02 
95  15  -0.09        0.98           63.34 
100  15  -1.53        0.70           60.64 
105  15  -3.48        0.45           54.19 
110  15  -4.85        0.33           43.28 
115  15  -4.45        0.36           33.59 
120  15  -2.80        0.52           30.62 
125  15  -0.73        0.85           37.82 
130  15  1.06        1.28           40.73 
135  15  2.21        1.66           45.87 
140  15  2.84        1.92           51.10 
145  15  2.89        1.95           55.49 
150  15  2.38        1.73           59.65 
155  15  1.35        1.36           63.64 
160  15  -0.24        0.95           67.30 
165  15  -2.54        0.56           70.37 
170  15  -5.93        0.26           73.11 
175  15  -11.89        0.06           75.35 
180  15  -46.33        0.00           179.77 
0  20  -46.33        0.00           -0.23 
5  20  -11.81        0.07           73.27 
10  20  -5.88        0.26           72.08 
15  20  -2.50        0.56           69.69 
20  20  -0.21        0.95           66.81 
25  20  1.38        1.37           63.25 
30  20  2.41        1.74           59.34 
35  20  2.91        1.95           55.24 
40  20  2.87        1.94           50.88 
45  20  2.24        1.67           45.68 
50  20  1.09        1.29           40.55 
55  20  -0.70        0.85           37.63 
60  20  -2.76        0.53           30.42 
65  20  -4.41        0.36           33.35 
70  20  -4.81        0.33           42.97 
75  20  -3.46        0.45           53.92 
80  20  -1.52        0.70           60.46 
85  20  -0.08        0.98           63.25 
90  20  0.43        1.10           64.02 
95  20  -0.09        0.98           63.34 
100  20  -1.53        0.70           60.64 
105  20  -3.48        0.45           54.19 
110  20  -4.85        0.33           43.28 
115  20  -4.45        0.36           33.59 
120  20  -2.80        0.52           30.62 
125  20  -0.73        0.85           37.82 
130  20  1.06        1.28           40.73 
135  20  2.21        1.66           45.87 
140  20  2.84        1.92           51.10 
145  20  2.89        1.95           55.49 
150  20  2.38        1.73           59.65 
155  20  1.35        1.36           63.64 
160  20  -0.24        0.95           67.30 
165  20  -2.54        0.56           70.37 
170  20  -5.93        0.26           73.11 
175  20  -11.89        0.06           75.35 
180  20  -46.33        0.00           179.77 
0  25  -46.33        0.00           -0.23 
5  25  -11.81        0.07           73.27 
10  25  -5.88        0.26           72.08 
15  25  -2.50        0.56           69.69 
20  25  -0.21        0.95           66.81 
25  25  1.38        1.37           63.25 
30  25  2.41        1.74           59.34 
35  25  2.91        1.95           55.24 
40  25  2.87        1.94           50.88 
45  25  2.24        1.67           45.68 
50  25  1.09        1.29           40.55 
55  25  -0.70        0.85           37.63 
60  25  -2.76        0.53           30.42 
65  25  -4.41        0.36           33.35 
70  25  -4.81        0.33           42.97 
75  25  -3.46        0.45           53.92 
80  25  -1.52        0.70           60.46 
85  25  -0.08        0.98           63.25 
90  25  0.43        1.10           64.02 
95  25  -0.09        0.98           63.34 
100  25  -1.53        0.70           60.64 
105  25  -3.48        0.45           54.19 
110  25  -4.85        0.33           43.28 
115  25  -4.45        0.36           33.59 
120  25  -2.80        0.52           30.62 
125  25  -0.73        0.85           37.82 
130  25  1.06        1.28           40.73 
135  25  2.21        1.66           45.87 
140  25  2.84        1.92           51.10 
145  25  2.89        1.95           55.49 
150  25  2.38        1.73           59.65 
155  25  1.35        1.36           63.64 
160  25  -0.24        0.95           67.30 
165  25  -2.54        0.56           70.37 
170  25  -5.93        0.26           73.11 
175  25  -11.89        0.06           75.35 
180  25  -46.33        0.00           179.77 
0  30  -46.33        0.00           -0.23 
5  30  -11.81        0.07           73.27 
10  30  -5.88        0.26           72.08 
15  30  -2.50        0.56           69.69 
20  30  -0.21        0.95           66.81 
25  30  1.38        1.37           63.25 
30  30  2.41        1.74           59.34 
35  30  2.91        1.95           55.24 
40  30  2.87        1.94           50.88 
45  30  2.24        1.67           45.68 
50  30  1.09        1.29           40.55 
55  30  -0.70        0.85           37.63 
60  30  -2.76        0.53           30.42 
65  30  -4.41        0.36           33.35 
70  30  -4.81        0.33           42.97 
75  30  -3.46        0.45           53.92 
80  30  -1.52        0.70           60.46 
85  30  -0.08        0.98           63.25 
90  30  0.43        1.10           64.02 
95  30  -0.09        0.98           63.34 
100  30  -1.53        0.70           60.64 
105  30  -3.48        0.45           54.19 
110  30  -4.85        0.33           43.28 
115  30  -4.45        0.36           33.59 
120  30  -2.80        0.52           30.62 
125  30  -0.73        0.85           37.82 
130  30  1.06        1.28           40.73 
135  30  2.21        1.66           45.87 
140  30  2.84        1.92           51.10 
145  30  2.89        1.95           55.49 
150  30  2.38        1.73           59.65 
155  30  1.35        1.36           63.64 
160  30  -0.24        0.95           67.30 
165  30  -2.54        0.56           70.37 
170  30  -5.93        0.26           73.11 
175  30  -11.89        0.06           75.35 
180  30  -46.33        0.00           179.77 
0  35  -46.33        0.00           -0.23 
5  35  -11.81        0.07           73.27 
10  35  -5.88        0.26           72.08 
15  35  -2.50        0.56           69.69 
20  35  -0.21        0.95           66.81 
25  35  1.38        1.37           63.25 
30  35  2.41        1.74           59.34 
35  35  2.91        1.95           55.24 
40  35  2.87        1.94           50.88 
45  35  2.24        1.67           45.68 
50  35  1.09        1.29           40.55 
55  35  -0.70        0.85           37.63 
60  35  -2.76        0.53           30.42 
65  35  -4.41        0.36           33.35 
70  35  -4.81        0.33           42.97 
75  35  -3.46        0.45           53.92 
80  35  -1.52        0.70           60.46 
85  35  -0.08        0.98           63.25 
90  35  0.43        1.10           64.02 
95  35  -0.09        0.98           63.34 
100  35  -1.53        0.70           60.64 
105  35  -3.48        0.45           54.19 
110  35  -4.85        0.33           43.28 
115  35  -4.45        0.36           33.59 
120  35  -2.80        0.52           30.62 
125  35  -0.73        0.85           37.82 
130  35  1.06        1.28           40.73 
135  35  2.21        1.66           45.87 
140  35  2.84        1.92           51.10 
145  35  2.89        1.95           55.49 
150  35  2.38        1.73           59.65 
155  35  1.35        1.36           63.64 
160  35  -0.24        0.95           67.30 
165  35  -2.54        0.56           70.37 
170  35  -5.93        0.26           73.11 
175  35  -11.89        0.06           75.35 
180  35  -46.33        0.00           179.77 
0  40  -46.33        0.00           -0.23 
5  40  -11.81        0.07           73.27 
10  40  -5.88        0.26           72.08 
15  40  -2.50        0.56           69.69 
20  40  -0.21        0.95           66.81 
25  40  1.38        1.37           63.25 
30  40  2.41        1.74           59.34 
35  40  2.91        1.95           55.24 
40  40  2.87        1.94           50.88 
45  40  2.24        1.67           45.68 
50  40  1.09        1.29           40.55 
55  40  -0.70        0.85           37.63 
60  40  -2.76        0.53           30.42 
65  40  -4.41        0.36           33.35 
70  40  -4.81        0.33           42.97 
75  40  -3.46        0.45           53.92 
80  40  -1.52        0.70           60.46 
85  40  -0.08        0.98           63.25 
90  40  0.43        1.10           64.02 
95  40  -0.09        0.98           63.34 
100  40  -1.53        0.70           60.64 
105  40  -3.48        0.45           54.19 
110  40  -4.85        0.33           43.28 
115  40  -4.45        0.36           33.59 
120  40  -2.80        0.52           30.62 
