freq : 333.33 MHz
SWR : 4.53
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -60.03        0.00           3.91 
5  0  -23.02        0.00           -54.51 
10  0  -17.06        0.02           -56.31 
15  0  -13.58        0.04           -58.83 
20  0  -11.11        0.08           -62.20 
25  0  -9.17        0.12           -66.34 
30  0  -7.55        0.18           -71.10 
35  0  -6.11        0.24           -76.27 
40  0  -4.78        0.33           -81.63 
45  0  -3.53        0.44           -86.93 
50  0  -2.36        0.58           -91.94 
55  0  -1.27        0.75           -96.45 
60  0  -0.27        0.94           100.37 
65  0  0.60        1.15           103.67 
70  0  1.34        1.36           106.32 
75  0  1.93        1.56           108.33 
80  0  2.36        1.72           109.76 
85  0  2.62        1.83           110.60 
90  0  2.71        1.87           110.88 
95  0  2.62        1.83           110.61 
100  0  2.36        1.72           109.77 
105  0  1.93        1.56           108.36 
110  0  1.35        1.36           106.35 
115  0  0.61        1.15           103.71 
120  0  -0.27        0.94           100.43 
125  0  -1.26        0.75           -96.53 
130  0  -2.35        0.58           -92.04 
135  0  -3.53        0.44           -87.06 
140  0  -4.78        0.33           -81.80 
145  0  -6.11        0.24           -76.48 
150  0  -7.55        0.18           -71.34 
155  0  -9.18        0.12           -66.63 
160  0  -11.13        0.08           -62.57 
165  0  -13.61        0.04           -59.32 
170  0  -17.12        0.02           -57.02 
175  0  -23.15        0.00           -55.90 
180  0  -60.03        0.00           176.09 
0  5  -60.03        0.00           3.91 
5  5  -23.02        0.00           -54.51 
10  5  -17.06        0.02           -56.31 
15  5  -13.58        0.04           -58.83 
20  5  -11.11        0.08           -62.20 
25  5  -9.17        0.12           -66.34 
30  5  -7.55        0.18           -71.10 
35  5  -6.11        0.24           -76.27 
40  5  -4.78        0.33           -81.63 
45  5  -3.53        0.44           -86.93 
50  5  -2.36        0.58           -91.94 
55  5  -1.27        0.75           -96.45 
60  5  -0.27        0.94           100.37 
65  5  0.60        1.15           103.67 
70  5  1.34        1.36           106.32 
75  5  1.93        1.56           108.33 
80  5  2.36        1.72           109.76 
85  5  2.62        1.83           110.60 
90  5  2.71        1.87           110.88 
95  5  2.62        1.83           110.61 
100  5  2.36        1.72           109.77 
105  5  1.93        1.56           108.36 
110  5  1.35        1.36           106.35 
115  5  0.61        1.15           103.71 
120  5  -0.27        0.94           100.43 
125  5  -1.26        0.75           -96.53 
130  5  -2.35        0.58           -92.04 
135  5  -3.53        0.44           -87.06 
140  5  -4.78        0.33           -81.80 
145  5  -6.11        0.24           -76.48 
150  5  -7.55        0.18           -71.34 
155  5  -9.18        0.12           -66.63 
160  5  -11.13        0.08           -62.57 
165  5  -13.61        0.04           -59.32 
170  5  -17.12        0.02           -57.02 
175  5  -23.15        0.00           -55.90 
180  5  -60.03        0.00           176.09 
0  10  -60.03        0.00           3.91 
5  10  -23.02        0.00           -54.51 
10  10  -17.06        0.02           -56.31 
15  10  -13.58        0.04           -58.83 
20  10  -11.11        0.08           -62.20 
25  10  -9.17        0.12           -66.34 
30  10  -7.55        0.18           -71.10 
35  10  -6.11        0.24           -76.27 
40  10  -4.78        0.33           -81.63 
45  10  -3.53        0.44           -86.93 
50  10  -2.36        0.58           -91.94 
55  10  -1.27        0.75           -96.45 
60  10  -0.27        0.94           100.37 
65  10  0.60        1.15           103.67 
70  10  1.34        1.36           106.32 
75  10  1.93        1.56           108.33 
80  10  2.36        1.72           109.76 
85  10  2.62        1.83           110.60 
90  10  2.71        1.87           110.88 
95  10  2.62        1.83           110.61 
100  10  2.36        1.72           109.77 
105  10  1.93        1.56           108.36 
110  10  1.35        1.36           106.35 
115  10  0.61        1.15           103.71 
120  10  -0.27        0.94           100.43 
125  10  -1.26        0.75           -96.53 
130  10  -2.35        0.58           -92.04 
135  10  -3.53        0.44           -87.06 
140  10  -4.78        0.33           -81.80 
145  10  -6.11        0.24           -76.48 
150  10  -7.55        0.18           -71.34 
155  10  -9.18        0.12           -66.63 
160  10  -11.13        0.08           -62.57 
165  10  -13.61        0.04           -59.32 
170  10  -17.12        0.02           -57.02 
175  10  -23.15        0.00           -55.90 
180  10  -60.03        0.00           176.09 
0  15  -60.03        0.00           3.91 
5  15  -23.02        0.00           -54.51 
10  15  -17.06        0.02           -56.31 
15  15  -13.58        0.04           -58.83 
20  15  -11.11        0.08           -62.20 
25  15  -9.17        0.12           -66.34 
30  15  -7.55        0.18           -71.10 
35  15  -6.11        0.24           -76.27 
40  15  -4.78        0.33           -81.63 
45  15  -3.53        0.44           -86.93 
