freq : 250.00 MHz
SWR : 3.23
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -70.74        0.00           0.50 
5  0  -22.70        0.01           -59.42 
10  0  -16.63        0.02           -59.99 
15  0  -13.03        0.05           -60.78 
20  0  -10.41        0.09           -61.79 
25  0  -8.34        0.15           -62.97 
30  0  -6.60        0.22           -64.27 
35  0  -5.11        0.31           -65.61 
40  0  -3.80        0.42           -66.96 
45  0  -2.64        0.54           -68.26 
50  0  -1.61        0.69           -69.50 
55  0  -0.71        0.85           -70.65 
60  0  0.07        1.02           -71.67 
65  0  0.73        1.18           -72.55 
70  0  1.27        1.34           -73.27 
75  0  1.69        1.48           -73.84 
80  0  1.99        1.58           -74.25 
85  0  2.18        1.65           -74.49 
90  0  2.24        1.67           -74.57 
95  0  2.18        1.65           -74.50 
100  0  1.99        1.58           -74.26 
105  0  1.69        1.48           -73.84 
110  0  1.27        1.34           -73.27 
115  0  0.72        1.18           -72.56 
120  0  0.06        1.01           -71.69 
125  0  -0.71        0.85           -70.67 
130  0  -1.61        0.69           -69.52 
135  0  -2.64        0.54           -68.29 
140  0  -3.80        0.42           -66.99 
145  0  -5.11        0.31           -65.65 
150  0  -6.61        0.22           -64.32 
155  0  -8.34        0.15           -63.04 
160  0  -10.42        0.09           -61.88 
165  0  -13.04        0.05           -60.90 
170  0  -16.65        0.02           -60.19 
175  0  -22.74        0.01           -59.82 
180  0  -70.74        0.00           179.50 
0  5  -70.74        0.00           0.50 
5  5  -22.70        0.01           -59.42 
10  5  -16.63        0.02           -59.99 
15  5  -13.03        0.05           -60.78 
20  5  -10.41        0.09           -61.79 
25  5  -8.34        0.15           -62.97 
30  5  -6.60        0.22           -64.27 
35  5  -5.11        0.31           -65.61 
40  5  -3.80        0.42           -66.96 
45  5  -2.64        0.54           -68.26 
50  5  -1.61        0.69           -69.50 
55  5  -0.71        0.85           -70.65 
60  5  0.07        1.02           -71.67 
65  5  0.73        1.18           -72.55 
70  5  1.27        1.34           -73.27 
75  5  1.69        1.48           -73.84 
80  5  1.99        1.58           -74.25 
85  5  2.18        1.65           -74.49 
90  5  2.24        1.67           -74.57 
95  5  2.18        1.65           -74.50 
100  5  1.99        1.58           -74.26 
105  5  1.69        1.48           -73.84 
110  5  1.27        1.34           -73.27 
115  5  0.72        1.18           -72.56 
120  5  0.06        1.01           -71.69 
125  5  -0.71        0.85           -70.67 
130  5  -1.61        0.69           -69.52 
135  5  -2.64        0.54           -68.29 
140  5  -3.80        0.42           -66.99 
145  5  -5.11        0.31           -65.65 
150  5  -6.61        0.22           -64.32 
155  5  -8.34        0.15           -63.04 
160  5  -10.42        0.09           -61.88 
165  5  -13.04        0.05           -60.90 
170  5  -16.65        0.02           -60.19 
175  5  -22.74        0.01           -59.82 
180  5  -70.74        0.00           179.50 
0  10  -70.74        0.00           0.50 
5  10  -22.70        0.01           -59.42 
10  10  -16.63        0.02           -59.99 
15  10  -13.03        0.05           -60.78 
20  10  -10.41        0.09           -61.79 
25  10  -8.34        0.15           -62.97 
30  10  -6.60        0.22           -64.27 
35  10  -5.11        0.31           -65.61 
40  10  -3.80        0.42           -66.96 
45  10  -2.64        0.54           -68.26 
50  10  -1.61        0.69           -69.50 
55  10  -0.71        0.85           -70.65 
60  10  0.07        1.02           -71.67 
65  10  0.73        1.18           -72.55 
70  10  1.27        1.34           -73.27 
75  10  1.69        1.48           -73.84 
80  10  1.99        1.58           -74.25 
85  10  2.18        1.65           -74.49 
90  10  2.24        1.67           -74.57 
95  10  2.18        1.65           -74.50 
100  10  1.99        1.58           -74.26 
105  10  1.69        1.48           -73.84 
110  10  1.27        1.34           -73.27 
115  10  0.72        1.18           -72.56 
120  10  0.06        1.01           -71.69 
125  10  -0.71        0.85           -70.67 
130  10  -1.61        0.69           -69.52 
135  10  -2.64        0.54           -68.29 
140  10  -3.80        0.42           -66.99 
145  10  -5.11        0.31           -65.65 
150  10  -6.61        0.22           -64.32 
155  10  -8.34        0.15           -63.04 
160  10  -10.42        0.09           -61.88 
165  10  -13.04        0.05           -60.90 
170  10  -16.65        0.02           -60.19 
175  10  -22.74        0.01           -59.82 
180  10  -70.74        0.00           179.50 
0  15  -70.74        0.00           0.50 
5  15  -22.70        0.01           -59.42 
10  15  -16.63        0.02           -59.99 
15  15  -13.03        0.05           -60.78 
20  15  -10.41        0.09           -61.79 
25  15  -8.34        0.15           -62.97 
30  15  -6.60        0.22           -64.27 
35  15  -5.11        0.31           -65.61 
40  15  -3.80        0.42           -66.96 
45  15  -2.64        0.54           -68.26 
50  15  -1.61        0.69           -69.50 
55  15  -0.71        0.85           -70.65 
60  15  0.07        1.02           -71.67 
65  15  0.73        1.18           -72.55 
70  15  1.27        1.34           -73.27 
75  15  1.69        1.48           -73.84 
80  15  1.99        1.58           -74.25 
85  15  2.18        1.65           -74.49 
90  15  2.24        1.67           -74.57 
95  15  2.18        1.65           -74.50 
100  15  1.99        1.58           -74.26 
105  15  1.69        1.48           -73.84 
110  15  1.27        1.34           -73.27 
115  15  0.72        1.18           -72.56 
120  15  0.06        1.01           -71.69 
125  15  -0.71        0.85           -70.67 
130  15  -1.61        0.69           -69.52 
135  15  -2.64        0.54           -68.29 
140  15  -3.80        0.42           -66.99 
145  15  -5.11        0.31           -65.65 
150  15  -6.61        0.22           -64.32 
155  15  -8.34        0.15           -63.04 
160  15  -10.42        0.09           -61.88 
165  15  -13.04        0.05           -60.90 
170  15  -16.65        0.02           -60.19 
175  15  -22.74        0.01           -59.82 
180  15  -70.74        0.00           179.50 
0  20  -70.74        0.00           0.50 
5  20  -22.70        0.01           -59.42 
10  20  -16.63        0.02           -59.99 
15  20  -13.03        0.05           -60.78 
20  20  -10.41        0.09           -61.79 
25  20  -8.34        0.15           -62.97 
30  20  -6.60        0.22           -64.27 
35  20  -5.11        0.31           -65.61 
40  20  -3.80        0.42           -66.96 
45  20  -2.64        0.54           -68.26 
50  20  -1.61        0.69           -69.50 
55  20  -0.71        0.85           -70.65 
60  20  0.07        1.02           -71.67 
65  20  0.73        1.18           -72.55 
70  20  1.27        1.34           -73.27 
75  20  1.69        1.48           -73.84 
80  20  1.99        1.58           -74.25 
85  20  2.18        1.65           -74.49 
90  20  2.24        1.67           -74.57 
95  20  2.18        1.65           -74.50 
100  20  1.99        1.58           -74.26 
105  20  1.69        1.48           -73.84 
110  20  1.27        1.34           -73.27 
115  20  0.72        1.18           -72.56 
120  20  0.06        1.01           -71.69 
125  20  -0.71        0.85           -70.67 
130  20  -1.61        0.69           -69.52 
135  20  -2.64        0.54           -68.29 
140  20  -3.80        0.42           -66.99 
145  20  -5.11        0.31           -65.65 
150  20  -6.61        0.22           -64.32 
155  20  -8.34        0.15           -63.04 
160  20  -10.42        0.09           -61.88 
165  20  -13.04        0.05           -60.90 
170  20  -16.65        0.02           -60.19 
175  20  -22.74        0.01           -59.82 
180  20  -70.74        0.00           179.50 
0  25  -70.74        0.00           0.50 
5  25  -22.70        0.01           -59.42 
10  25  -16.63        0.02           -59.99 
15  25  -13.03        0.05           -60.78 
20  25  -10.41        0.09           -61.79 
25  25  -8.34        0.15           -62.97 
30  25  -6.60        0.22           -64.27 
35  25  -5.11        0.31           -65.61 
40  25  -3.80        0.42           -66.96 
45  25  -2.64        0.54           -68.26 
50  25  -1.61        0.69           -69.50 
55  25  -0.71        0.85           -70.65 
60  25  0.07        1.02           -71.67 
65  25  0.73        1.18           -72.55 
70  25  1.27        1.34           -73.27 
75  25  1.69        1.48           -73.84 
80  25  1.99        1.58           -74.25 
85  25  2.18        1.65           -74.49 
90  25  2.24        1.67           -74.57 
95  25  2.18        1.65           -74.50 
100  25  1.99        1.58           -74.26 
105  25  1.69        1.48           -73.84 
110  25  1.27        1.34           -73.27 
115  25  0.72        1.18           -72.56 
120  25  0.06        1.01           -71.69 
125  25  -0.71        0.85           -70.67 
130  25  -1.61        0.69           -69.52 
135  25  -2.64        0.54           -68.29 
140  25  -3.80        0.42           -66.99 
145  25  -5.11        0.31           -65.65 
150  25  -6.61        0.22           -64.32 
155  25  -8.34        0.15           -63.04 
160  25  -10.42        0.09           -61.88 
165  25  -13.04        0.05           -60.90 
170  25  -16.65        0.02           -60.19 
175  25  -22.74        0.01           -59.82 
180  25  -70.74        0.00           179.50 
0  30  -70.74        0.00           0.50 
5  30  -22.70        0.01           -59.42 
10  30  -16.63        0.02           -59.99 
15  30  -13.03        0.05           -60.78 
20  30  -10.41        0.09           -61.79 
25  30  -8.34        0.15           -62.97 
30  30  -6.60        0.22           -64.27 
35  30  -5.11        0.31           -65.61 
40  30  -3.80        0.42           -66.96 
45  30  -2.64        0.54           -68.26 
50  30  -1.61        0.69           -69.50 
55  30  -0.71        0.85           -70.65 
60  30  0.07        1.02           -71.67 
65  30  0.73        1.18           -72.55 
70  30  1.27        1.34           -73.27 
75  30  1.69        1.48           -73.84 
80  30  1.99        1.58           -74.25 
85  30  2.18        1.65           -74.49 
90  30  2.24        1.67           -74.57 
95  30  2.18        1.65           -74.50 
100  30  1.99        1.58           -74.26 
105  30  1.69        1.48           -73.84 
110  30  1.27        1.34           -73.27 
115  30  0.72        1.18           -72.56 
120  30  0.06        1.01           -71.69 
125  30  -0.71        0.85           -70.67 
130  30  -1.61        0.69           -69.52 
135  30  -2.64        0.54           -68.29 
140  30  -3.80        0.42           -66.99 
145  30  -5.11        0.31           -65.65 
150  30  -6.61        0.22           -64.32 
155  30  -8.34        0.15           -63.04 
160  30  -10.42        0.09           -61.88 
165  30  -13.04        0.05           -60.90 
170  30  -16.65        0.02           -60.19 
175  30  -22.74        0.01           -59.82 
180  30  -70.74        0.00           179.50 
0  35  -70.74        0.00           0.50 
5  35  -22.70        0.01           -59.42 
10  35  -16.63        0.02           -59.99 
15  35  -13.03        0.05           -60.78 
20  35  -10.41        0.09           -61.79 
25  35  -8.34        0.15           -62.97 
30  35  -6.60        0.22           -64.27 
35  35  -5.11        0.31           -65.61 
40  35  -3.80        0.42           -66.96 
45  35  -2.64        0.54           -68.26 
50  35  -1.61        0.69           -69.50 
55  35  -0.71        0.85           -70.65 
60  35  0.07        1.02           -71.67 
65  35  0.73        1.18           -72.55 
70  35  1.27        1.34           -73.27 
75  35  1.69        1.48           -73.84 
80  35  1.99        1.58           -74.25 
85  35  2.18        1.65           -74.49 
90  35  2.24        1.67           -74.57 
95  35  2.18        1.65           -74.50 
100  35  1.99        1.58           -74.26 
105  35  1.69        1.48           -73.84 
110  35  1.27        1.34           -73.27 
115  35  0.72        1.18           -72.56 
120  35  0.06        1.01           -71.69 
125  35  -0.71        0.85           -70.67 
130  35  -1.61        0.69           -69.52 
135  35  -2.64        0.54           -68.29 
140  35  -3.80        0.42           -66.99 
145  35  -5.11        0.31           -65.65 
150  35  -6.61        0.22           -64.32 
155  35  -8.34        0.15           -63.04 
160  35  -10.42        0.09           -61.88 
165  35  -13.04        0.05           -60.90 
170  35  -16.65        0.02           -60.19 
175  35  -22.74        0.01           -59.82 
180  35  -70.74        0.00           179.50 
0  40  -70.74        0.00           0.50 
5  40  -22.70        0.01           -59.42 
10  40  -16.63        0.02           -59.99 
15  40  -13.03        0.05           -60.78 
20  40  -10.41        0.09           -61.79 
25  40  -8.34        0.15           -62.97 
30  40  -6.60        0.22           -64.27 
35  40  -5.11        0.31           -65.61 
40  40  -3.80        0.42           -66.96 
45  40  -2.64        0.54           -68.26 
50  40  -1.61        0.69           -69.50 
55  40  -0.71        0.85           -70.65 
60  40  0.07        1.02           -71.67 
65  40  0.73        1.18           -72.55 
70  40  1.27        1.34           -73.27 
75  40  1.69        1.48           -73.84 
80  40  1.99        1.58           -74.25 
85  40  2.18        1.65           -74.49 
90  40  2.24        1.67           -74.57 
95  40  2.18        1.65           -74.50 
100  40  1.99        1.58           -74.26 
105  40  1.69        1.48           -73.84 
110  40  1.27        1.34           -73.27 
115  40  0.72        1.18           -72.56 
120  40  0.06        1.01           -71.69 
125  40  -0.71        0.85           -70.67 
130  40  -1.61        0.69           -69.52 
135  40  -2.64        0.54           -68.29 
140  40  -3.80        0.42           -66.99 
145  40  -5.11        0.31           -65.65 
150  40  -6.61        0.22           -64.32 
155  40  -8.34        0.15           -63.04 
160  40  -10.42        0.09           -61.88 
165  40  -13.04        0.05           -60.90 
170  40  -16.65        0.02           -60.19 
175  40  -22.74        0.01           -59.82 
180  40  -70.74        0.00           179.50 
0  45  -70.74        0.00           0.50 
5  45  -22.70        0.01           -59.42 
10  45  -16.63        0.02           -59.99 
15  45  -13.03        0.05           -60.78 
20  45  -10.41        0.09           -61.79 
25  45  -8.34        0.15           -62.97 
30  45  -6.60        0.22           -64.27 
35  45  -5.11        0.31           -65.61 
40  45  -3.80        0.42           -66.96 
45  45  -2.64        0.54           -68.26 
50  45  -1.61        0.69           -69.50 
55  45  -0.71        0.85           -70.65 
60  45  0.07        1.02           -71.67 
65  45  0.73        1.18           -72.55 
70  45  1.27        1.34           -73.27 
75  45  1.69        1.48           -73.84 
80  45  1.99        1.58           -74.25 
85  45  2.18        1.65           -74.49 
90  45  2.24        1.67           -74.57 
95  45  2.18        1.65           -74.50 
100  45  1.99        1.58           -74.26 
105  45  1.69        1.48           -73.84 
110  45  1.27        1.34           -73.27 
115  45  0.72        1.18           -72.56 
120  45  0.06        1.01           -71.69 
125  45  -0.71        0.85           -70.67 
130  45  -1.61        0.69           -69.52 
135  45  -2.64        0.54           -68.29 
140  45  -3.80        0.42           -66.99 
145  45  -5.11        0.31           -65.65 
150  45  -6.61        0.22           -64.32 
155  45  -8.34        0.15           -63.04 
160  45  -10.42        0.09           -61.88 
165  45  -13.04        0.05           -60.90 
170  45  -16.65        0.02           -60.19 
175  45  -22.74        0.01           -59.82 
180  45  -70.74        0.00           179.50 
0  50  -70.74        0.00           0.50 
5  50  -22.70        0.01           -59.42 
10  50  -16.63        0.02           -59.99 
15  50  -13.03        0.05           -60.78 
20  50  -10.41        0.09           -61.79 
25  50  -8.34        0.15           -62.97 
30  50  -6.60        0.22           -64.27 
35  50  -5.11        0.31           -65.61 
40  50  -3.80        0.42           -66.96 
45  50  -2.64        0.54           -68.26 
50  50  -1.61        0.69           -69.50 
55  50  -0.71        0.85           -70.65 
60  50  0.07        1.02           -71.67 
65  50  0.73        1.18           -72.55 
70  50  1.27        1.34           -73.27 
75  50  1.69        1.48           -73.84 
80  50  1.99        1.58           -74.25 
85  50  2.18        1.65           -74.49 
90  50  2.24        1.67           -74.57 
95  50  2.18        1.65           -74.50 
100  50  1.99        1.58           -74.26 
105  50  1.69        1.48           -73.84 
110  50  1.27        1.34           -73.27 
115  50  0.72        1.18           -72.56 
120  50  0.06        1.01           -71.69 
125  50  -0.71        0.85           -70.67 
130  50  -1.61        0.69           -69.52 
135  50  -2.64        0.54           -68.29 
140  50  -3.80        0.42           -66.99 
145  50  -5.11        0.31           -65.65 
150  50  -6.61        0.22           -64.32 
155  50  -8.34        0.15           -63.04 
160  50  -10.42        0.09           -61.88 
165  50  -13.04        0.05           -60.90 
170  50  -16.65        0.02           -60.19 
175  50  -22.74        0.01           -59.82 
180  50  -70.74        0.00           179.50 
0  55  -70.74        0.00           0.50 
5  55  -22.70        0.01           -59.42 
10  55  -16.63        0.02           -59.99 
15  55  -13.03        0.05           -60.78 
20  55  -10.41        0.09           -61.79 
25  55  -8.34        0.15           -62.97 
30  55  -6.60        0.22           -64.27 
35  55  -5.11        0.31           -65.61 
40  55  -3.80        0.42           -66.96 
45  55  -2.64        0.54           -68.26 
50  55  -1.61        0.69           -69.50 
55  55  -0.71        0.85           -70.65 
60  55  0.07        1.02           -71.67 
65  55  0.73        1.18           -72.55 
70  55  1.27        1.34           -73.27 
75  55  1.69        1.48           -73.84 
80  55  1.99        1.58           -74.25 
85  55  2.18        1.65           -74.49 
90  55  2.24        1.67           -74.57 
