freq : 883.33 MHz
SWR : 6.76
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -44.75        0.00           4.09 
5  0  -11.06        0.08           99.50 
10  0  -5.17        0.30           98.92 
15  0  -1.98        0.63           97.32 
20  0  0.15        1.04           94.91 
25  0  1.72        1.49           91.71 
30  0  2.42        1.75           87.88 
35  0  3.00        2.00           83.20 
40  0  2.70        1.86           77.63 
45  0  2.70        1.86           74.11 
50  0  -0.13        0.97           63.57 
55  0  -0.44        0.90           54.89 
60  0  -1.76        0.67           49.30 
65  0  -3.11        0.49           49.27 
70  0  -3.81        0.42           58.51 
75  0  -3.14        0.49           73.38 
80  0  -1.58        0.70           85.07 
85  0  -0.28        0.94           91.09 
90  0  0.20        1.05           92.88 
95  0  -0.28        0.94           91.18 
100  0  -1.59        0.69           85.26 
105  0  -3.16        0.48           73.67 
110  0  -3.84        0.41           58.85 
115  0  -3.15        0.48           49.62 
120  0  -1.79        0.66           49.64 
125  0  -0.46        0.90           55.24 
130  0  -0.15        0.97           63.97 
135  0  2.69        1.86           74.44 
140  0  2.69        1.86           77.98 
145  0  2.99        1.99           83.57 
150  0  2.42        1.75           88.31 
155  0  1.72        1.49           92.20 
160  0  0.15        1.04           95.52 
165  0  -1.97        0.64           98.12 
170  0  -5.16        0.30           100.10 
175  0  -11.02        0.08           101.84 
180  0  -44.75        0.00           175.91 
0  5  -44.75        0.00           4.09 
5  5  -11.06        0.08           99.50 
10  5  -5.17        0.30           98.92 
15  5  -1.98        0.63           97.32 
20  5  0.15        1.04           94.91 
25  5  1.72        1.49           91.71 
30  5  2.42        1.75           87.88 
35  5  3.00        2.00           83.20 
40  5  2.70        1.86           77.63 
45  5  2.70        1.86           74.11 
50  5  -0.13        0.97           63.57 
55  5  -0.44        0.90           54.89 
60  5  -1.76        0.67           49.30 
65  5  -3.11        0.49           49.27 
70  5  -3.81        0.42           58.51 
75  5  -3.14        0.49           73.38 
80  5  -1.58        0.70           85.07 
85  5  -0.28        0.94           91.09 
90  5  0.20        1.05           92.88 
95  5  -0.28        0.94           91.18 
100  5  -1.59        0.69           85.26 
105  5  -3.16        0.48           73.67 
110  5  -3.84        0.41           58.85 
115  5  -3.15        0.48           49.62 
120  5  -1.79        0.66           49.64 
125  5  -0.46        0.90           55.24 
130  5  -0.15        0.97           63.97 
135  5  2.69        1.86           74.44 
140  5  2.69        1.86           77.98 
145  5  2.99        1.99           83.57 
150  5  2.42        1.75           88.31 
155  5  1.72        1.49           92.20 
160  5  0.15        1.04           95.52 
165  5  -1.97        0.64           98.12 
170  5  -5.16        0.30           100.10 
175  5  -11.02        0.08           101.84 
180  5  -44.75        0.00           175.91 
0  10  -44.75        0.00           4.09 
5  10  -11.06        0.08           99.50 
10  10  -5.17        0.30           98.92 
15  10  -1.98        0.63           97.32 
20  10  0.15        1.04           94.91 
25  10  1.72        1.49           91.71 
30  10  2.42        1.75           87.88 
35  10  3.00        2.00           83.20 
40  10  2.70        1.86           77.63 
45  10  2.70        1.86           74.11 
50  10  -0.13        0.97           63.57 
55  10  -0.44        0.90           54.89 
60  10  -1.76        0.67           49.30 
65  10  -3.11        0.49           49.27 
70  10  -3.81        0.42           58.51 
75  10  -3.14        0.49           73.38 
80  10  -1.58        0.70           85.07 
85  10  -0.28        0.94           91.09 
90  10  0.20        1.05           92.88 
95  10  -0.28        0.94           91.18 
100  10  -1.59        0.69           85.26 
105  10  -3.16        0.48           73.67 
110  10  -3.84        0.41           58.85 
115  10  -3.15        0.48           49.62 
120  10  -1.79        0.66           49.64 
125  10  -0.46        0.90           55.24 
130  10  -0.15        0.97           63.97 
135  10  2.69        1.86           74.44 
140  10  2.69        1.86           77.98 
145  10  2.99        1.99           83.57 
150  10  2.42        1.75           88.31 
155  10  1.72        1.49           92.20 
160  10  0.15        1.04           95.52 
165  10  -1.97        0.64           98.12 
