freq : 483.33 MHz
SWR : 3.52
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -58.68        0.00           2.88 
5  0  -14.45        0.04           -82.52 
10  0  -8.52        0.14           -83.28 
15  0  -5.15        0.31           -84.31 
20  0  -2.89        0.51           -85.70 
25  0  -1.28        0.74           -87.44 
30  0  -0.14        0.97           -89.57 
35  0  0.62        1.15           -92.23 
40  0  1.05        1.27           -95.58 
45  0  1.16        1.31           -99.79 
50  0  0.99        1.26           105.21 
55  0  0.58        1.14           112.27 
60  0  0.03        1.01           121.33 
65  0  -0.49        0.89           132.53 
70  0  -0.79        0.83           144.98 
75  0  -0.76        0.84           156.85 
80  0  -0.51        0.89           166.19 
85  0  -0.25        0.94           171.96 
90  0  -0.14        0.97           173.87 
95  0  -0.24        0.95           171.96 
100  0  -0.50        0.89           166.19 
105  0  -0.75        0.84           156.87 
110  0  -0.78        0.84           145.01 
115  0  -0.49        0.89           132.58 
120  0  0.04        1.01           121.40 
125  0  0.58        1.14           112.35 
130  0  0.99        1.26           105.29 
135  0  1.16        1.31           -99.88 
140  0  1.05        1.27           -95.68 
145  0  0.62        1.15           -92.34 
150  0  -0.14        0.97           -89.69 
155  0  -1.28        0.74           -87.58 
160  0  -2.89        0.51           -85.88 
165  0  -5.15        0.31           -84.55 
170  0  -8.52        0.14           -83.63 
175  0  -14.46        0.04           -83.22 
180  0  -58.68        0.00           177.12 
0  5  -58.68        0.00           2.88 
5  5  -14.45        0.04           -82.52 
10  5  -8.52        0.14           -83.28 
15  5  -5.15        0.31           -84.31 
20  5  -2.89        0.51           -85.70 
25  5  -1.28        0.74           -87.44 
30  5  -0.14        0.97           -89.57 
35  5  0.62        1.15           -92.23 
40  5  1.05        1.27           -95.58 
45  5  1.16        1.31           -99.79 
50  5  0.99        1.26           105.21 
55  5  0.58        1.14           112.27 
60  5  0.03        1.01           121.33 
65  5  -0.49        0.89           132.53 
70  5  -0.79        0.83           144.98 
75  5  -0.76        0.84           156.85 
80  5  -0.51        0.89           166.19 
85  5  -0.25        0.94           171.96 
90  5  -0.14        0.97           173.87 
95  5  -0.24        0.95           171.96 
100  5  -0.50        0.89           166.19 
105  5  -0.75        0.84           156.87 
110  5  -0.78        0.84           145.01 
115  5  -0.49        0.89           132.58 
120  5  0.04        1.01           121.40 
125  5  0.58        1.14           112.35 
130  5  0.99        1.26           105.29 
135  5  1.16        1.31           -99.88 
140  5  1.05        1.27           -95.68 
145  5  0.62        1.15           -92.34 
150  5  -0.14        0.97           -89.69 
155  5  -1.28        0.74           -87.58 
160  5  -2.89        0.51           -85.88 
165  5  -5.15        0.31           -84.55 
170  5  -8.52        0.14           -83.63 
175  5  -14.46        0.04           -83.22 
180  5  -58.68        0.00           177.12 
0  10  -58.68        0.00           2.88 
5  10  -14.45        0.04           -82.52 
10  10  -8.52        0.14           -83.28 
15  10  -5.15        0.31           -84.31 
20  10  -2.89        0.51           -85.70 
25  10  -1.28        0.74           -87.44 
30  10  -0.14        0.97           -89.57 
35  10  0.62        1.15           -92.23 
40  10  1.05        1.27           -95.58 
45  10  1.16        1.31           -99.79 
50  10  0.99        1.26           105.21 
55  10  0.58        1.14           112.27 
60  10  0.03        1.01           121.33 
65  10  -0.49        0.89           132.53 
70  10  -0.79        0.83           144.98 
75  10  -0.76        0.84           156.85 
80  10  -0.51        0.89           166.19 
85  10  -0.25        0.94           171.96 
90  10  -0.14        0.97           173.87 
95  10  -0.24        0.95           171.96 
100  10  -0.50        0.89           166.19 
105  10  -0.75        0.84           156.87 
110  10  -0.78        0.84           145.01 
115  10  -0.49        0.89           132.58 
120  10  0.04        1.01           121.40 
125  10  0.58        1.14           112.35 
130  10  0.99        1.26           105.29 
135  10  1.16        1.31           -99.88 
140  10  1.05        1.27           -95.68 
145  10  0.62        1.15           -92.34 
150  10  -0.14        0.97           -89.69 
155  10  -1.28        0.74           -87.58 
160  10  -2.89        0.51           -85.88 
165  10  -5.15        0.31           -84.55 
170  10  -8.52        0.14           -83.63 
175  10  -14.46        0.04           -83.22 
180  10  -58.68        0.00           177.12 
0  15  -58.68        0.00           2.88 
5  15  -14.45        0.04           -82.52 
10  15  -8.52        0.14           -83.28 
15  15  -5.15        0.31           -84.31 
20  15  -2.89        0.51           -85.70 
25  15  -1.28        0.74           -87.44 
30  15  -0.14        0.97           -89.57 
35  15  0.62        1.15           -92.23 
40  15  1.05        1.27           -95.58 
45  15  1.16        1.31           -99.79 
50  15  0.99        1.26           105.21 
55  15  0.58        1.14           112.27 
60  15  0.03        1.01           121.33 
65  15  -0.49        0.89           132.53 
70  15  -0.79        0.83           144.98 
75  15  -0.76        0.84           156.85 
80  15  -0.51        0.89           166.19 
85  15  -0.25        0.94           171.96 
90  15  -0.14        0.97           173.87 
95  15  -0.24        0.95           171.96 
100  15  -0.50        0.89           166.19 
105  15  -0.75        0.84           156.87 
110  15  -0.78        0.84           145.01 
115  15  -0.49        0.89           132.58 
120  15  0.04        1.01           121.40 
125  15  0.58        1.14           112.35 
130  15  0.99        1.26           105.29 
135  15  1.16        1.31           -99.88 
140  15  1.05        1.27           -95.68 
145  15  0.62        1.15           -92.34 
150  15  -0.14        0.97           -89.69 
155  15  -1.28        0.74           -87.58 
160  15  -2.89        0.51           -85.88 
165  15  -5.15        0.31           -84.55 
170  15  -8.52        0.14           -83.63 
175  15  -14.46        0.04           -83.22 
180  15  -58.68        0.00           177.12 
0  20  -58.68        0.00           2.88 
5  20  -14.45        0.04           -82.52 
10  20  -8.52        0.14           -83.28 
15  20  -5.15        0.31           -84.31 
20  20  -2.89        0.51           -85.70 
25  20  -1.28        0.74           -87.44 
30  20  -0.14        0.97           -89.57 
35  20  0.62        1.15           -92.23 
40  20  1.05        1.27           -95.58 
45  20  1.16        1.31           -99.79 
50  20  0.99        1.26           105.21 
55  20  0.58        1.14           112.27 
60  20  0.03        1.01           121.33 
65  20  -0.49        0.89           132.53 
70  20  -0.79        0.83           144.98 
75  20  -0.76        0.84           156.85 
80  20  -0.51        0.89           166.19 
85  20  -0.25        0.94           171.96 
90  20  -0.14        0.97           173.87 
95  20  -0.24        0.95           171.96 
100  20  -0.50        0.89           166.19 
105  20  -0.75        0.84           156.87 
110  20  -0.78        0.84           145.01 
115  20  -0.49        0.89           132.58 
120  20  0.04        1.01           121.40 
125  20  0.58        1.14           112.35 
130  20  0.99        1.26           105.29 
135  20  1.16        1.31           -99.88 
140  20  1.05        1.27           -95.68 
145  20  0.62        1.15           -92.34 
150  20  -0.14        0.97           -89.69 
155  20  -1.28        0.74           -87.58 
160  20  -2.89        0.51           -85.88 
165  20  -5.15        0.31           -84.55 
170  20  -8.52        0.14           -83.63 
175  20  -14.46        0.04           -83.22 
180  20  -58.68        0.00           177.12 
0  25  -58.68        0.00           2.88 
5  25  -14.45        0.04           -82.52 
10  25  -8.52        0.14           -83.28 
15  25  -5.15        0.31           -84.31 
20  25  -2.89        0.51           -85.70 
25  25  -1.28        0.74           -87.44 
30  25  -0.14        0.97           -89.57 
35  25  0.62        1.15           -92.23 
40  25  1.05        1.27           -95.58 
45  25  1.16        1.31           -99.79 
50  25  0.99        1.26           105.21 
55  25  0.58        1.14           112.27 
60  25  0.03        1.01           121.33 
65  25  -0.49        0.89           132.53 
70  25  -0.79        0.83           144.98 
75  25  -0.76        0.84           156.85 
80  25  -0.51        0.89           166.19 
85  25  -0.25        0.94           171.96 
90  25  -0.14        0.97           173.87 
95  25  -0.24        0.95           171.96 
100  25  -0.50        0.89           166.19 
105  25  -0.75        0.84           156.87 
110  25  -0.78        0.84           145.01 
115  25  -0.49        0.89           132.58 
120  25  0.04        1.01           121.40 
125  25  0.58        1.14           112.35 
130  25  0.99        1.26           105.29 
135  25  1.16        1.31           -99.88 
140  25  1.05        1.27           -95.68 
145  25  0.62        1.15           -92.34 
150  25  -0.14        0.97           -89.69 
155  25  -1.28        0.74           -87.58 
160  25  -2.89        0.51           -85.88 
165  25  -5.15        0.31           -84.55 
170  25  -8.52        0.14           -83.63 
175  25  -14.46        0.04           -83.22 
180  25  -58.68        0.00           177.12 
0  30  -58.68        0.00           2.88 
5  30  -14.45        0.04           -82.52 
10  30  -8.52        0.14           -83.28 
15  30  -5.15        0.31           -84.31 
20  30  -2.89        0.51           -85.70 
25  30  -1.28        0.74           -87.44 
30  30  -0.14        0.97           -89.57 
35  30  0.62        1.15           -92.23 
40  30  1.05        1.27           -95.58 
45  30  1.16        1.31           -99.79 
50  30  0.99        1.26           105.21 
55  30  0.58        1.14           112.27 
60  30  0.03        1.01           121.33 
65  30  -0.49        0.89           132.53 
70  30  -0.79        0.83           144.98 
75  30  -0.76        0.84           156.85 
80  30  -0.51        0.89           166.19 
85  30  -0.25        0.94           171.96 
90  30  -0.14        0.97           173.87 
95  30  -0.24        0.95           171.96 
100  30  -0.50        0.89           166.19 
105  30  -0.75        0.84           156.87 
110  30  -0.78        0.84           145.01 
115  30  -0.49        0.89           132.58 
120  30  0.04        1.01           121.40 
125  30  0.58        1.14           112.35 
130  30  0.99        1.26           105.29 
135  30  1.16        1.31           -99.88 
140  30  1.05        1.27           -95.68 
145  30  0.62        1.15           -92.34 
150  30  -0.14        0.97           -89.69 
155  30  -1.28        0.74           -87.58 
160  30  -2.89        0.51           -85.88 
165  30  -5.15        0.31           -84.55 
170  30  -8.52        0.14           -83.63 
175  30  -14.46        0.04           -83.22 
180  30  -58.68        0.00           177.12 
0  35  -58.68        0.00           2.88 
5  35  -14.45        0.04           -82.52 
10  35  -8.52        0.14           -83.28 
15  35  -5.15        0.31           -84.31 
20  35  -2.89        0.51           -85.70 
25  35  -1.28        0.74           -87.44 
30  35  -0.14        0.97           -89.57 
35  35  0.62        1.15           -92.23 
40  35  1.05        1.27           -95.58 
45  35  1.16        1.31           -99.79 
50  35  0.99        1.26           105.21 
55  35  0.58        1.14           112.27 
60  35  0.03        1.01           121.33 
65  35  -0.49        0.89           132.53 
70  35  -0.79        0.83           144.98 
75  35  -0.76        0.84           156.85 
80  35  -0.51        0.89           166.19 
85  35  -0.25        0.94           171.96 
90  35  -0.14        0.97           173.87 
95  35  -0.24        0.95           171.96 
100  35  -0.50        0.89           166.19 
105  35  -0.75        0.84           156.87 
110  35  -0.78        0.84           145.01 
115  35  -0.49        0.89           132.58 
120  35  0.04        1.01           121.40 
125  35  0.58        1.14           112.35 
130  35  0.99        1.26           105.29 
135  35  1.16        1.31           -99.88 
140  35  1.05        1.27           -95.68 
145  35  0.62        1.15           -92.34 
150  35  -0.14        0.97           -89.69 
155  35  -1.28        0.74           -87.58 
