freq : 983.33 MHz
SWR : 9.00
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -48.27        0.00           -1.70 
5  0  -12.35        0.06           52.54 
10  0  -6.40        0.23           50.79 
15  0  -2.99        0.50           47.94 
20  0  -0.69        0.85           44.62 
25  0  1.00        1.26           40.24 
30  0  2.12        1.63           36.06 
35  0  2.77        1.89           31.46 
40  0  2.79        1.90           27.27 
45  0  2.24        1.67           22.53 
50  0  1.10        1.29           17.13 
55  0  -0.61        0.87           12.24 
60  0  -3.59        0.44           8.62 
65  0  -4.62        0.35           7.76 
70  0  -5.20        0.30           17.79 
75  0  -3.82        0.41           29.70 
80  0  -1.72        0.67           36.82 
85  0  -0.17        0.96           39.81 
90  0  0.38        1.09           40.61 
95  0  -0.17        0.96           39.88 
100  0  -1.74        0.67           36.96 
105  0  -3.85        0.41           29.89 
110  0  -5.24        0.30           17.95 
115  0  -4.66        0.34           7.84 
120  0  -3.63        0.43           8.66 
125  0  -0.65        0.86           12.28 
130  0  1.07        1.28           17.18 
135  0  2.21        1.66           22.60 
140  0  2.76        1.89           27.37 
145  0  2.73        1.87           31.60 
150  0  2.08        1.61           36.25 
155  0  0.96        1.25           40.49 
160  0  -0.74        0.84           44.96 
165  0  -3.05        0.50           48.42 
170  0  -6.49        0.22           51.53 
175  0  -12.51        0.06           54.05 
180  0  -48.27        0.00           178.30 
0  5  -48.27        0.00           -1.70 
5  5  -12.35        0.06           52.54 
10  5  -6.40        0.23           50.79 
15  5  -2.99        0.50           47.94 
20  5  -0.69        0.85           44.62 
25  5  1.00        1.26           40.24 
30  5  2.12        1.63           36.06 
35  5  2.77        1.89           31.46 
40  5  2.79        1.90           27.27 
45  5  2.24        1.67           22.53 
50  5  1.10        1.29           17.13 
55  5  -0.61        0.87           12.24 
60  5  -3.59        0.44           8.62 
65  5  -4.62        0.35           7.76 
70  5  -5.20        0.30           17.79 
75  5  -3.82        0.41           29.70 
80  5  -1.72        0.67           36.82 
85  5  -0.17        0.96           39.81 
90  5  0.38        1.09           40.61 
95  5  -0.17        0.96           39.88 
100  5  -1.74        0.67           36.96 
105  5  -3.85        0.41           29.89 
110  5  -5.24        0.30           17.95 
115  5  -4.66        0.34           7.84 
120  5  -3.63        0.43           8.66 
125  5  -0.65        0.86           12.28 
130  5  1.07        1.28           17.18 
135  5  2.21        1.66           22.60 
140  5  2.76        1.89           27.37 
145  5  2.73        1.87           31.60 
150  5  2.08        1.61           36.25 
155  5  0.96        1.25           40.49 
160  5  -0.74        0.84           44.96 
165  5  -3.05        0.50           48.42 
170  5  -6.49        0.22           51.53 
175  5  -12.51        0.06           54.05 
180  5  -48.27        0.00           178.30 
0  10  -48.27        0.00           -1.70 
5  10  -12.35        0.06           52.54 
10  10  -6.40        0.23           50.79 
15  10  -2.99        0.50           47.94 
