freq : 1016.66 MHz
SWR : 9.79
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -48.77        0.00           -0.21 
5  0  -13.37        0.05           23.65 
10  0  -7.40        0.18           21.25 
15  0  -3.96        0.40           17.69 
20  0  -1.57        0.70           13.29 
25  0  0.38        1.09           8.01 
30  0  1.64        1.46           3.11 
35  0  2.56        1.80           -1.94 
40  0  2.74        1.88           -6.76 
45  0  2.14        1.64           -12.05 
50  0  0.71        1.18           -18.93 
55  0  -1.58        0.70           -28.91 
60  0  -4.59        0.35           -40.57 
65  0  -7.06        0.20           -64.07 
70  0  -8.84        0.13           -50.29 
75  0  -7.20        0.19           -19.39 
80  0  -3.15        0.48           -1.33 
85  0  -0.41        0.91           4.72 
90  0  0.50        1.12           6.16 
95  0  -0.41        0.91           4.77 
100  0  -3.17        0.48           -1.24 
105  0  -7.26        0.19           -19.35 
110  0  -8.90        0.13           -50.56 
115  0  -7.10        0.19           -64.44 
120  0  -4.63        0.34           -40.82 
125  0  -1.61        0.69           -29.09 
130  0  0.67        1.17           -19.05 
135  0  2.10        1.62           -12.12 
140  0  2.71        1.87           -6.79 
145  0  2.52        1.79           -1.95 
150  0  1.60        1.45           3.14 
155  0  0.33        1.08           8.07 
160  0  -1.64        0.69           13.41 
165  0  -4.06        0.39           17.91 
170  0  -7.54        0.18           21.62 
175  0  -13.64        0.04           24.46 
180  0  -48.77        0.00           179.79 
0  5  -48.77        0.00           -0.21 
5  5  -13.37        0.05           23.65 
10  5  -7.40        0.18           21.25 
15  5  -3.96        0.40           17.69 
20  5  -1.57        0.70           13.29 
25  5  0.38        1.09           8.01 
30  5  1.64        1.46           3.11 
35  5  2.56        1.80           -1.94 
40  5  2.74        1.88           -6.76 
45  5  2.14        1.64           -12.05 
50  5  0.71        1.18           -18.93 
55  5  -1.58        0.70           -28.91 
60  5  -4.59        0.35           -40.57 
65  5  -7.06        0.20           -64.07 
70  5  -8.84        0.13           -50.29 
75  5  -7.20        0.19           -19.39 
80  5  -3.15        0.48           -1.33 
85  5  -0.41        0.91           4.72 
90  5  0.50        1.12           6.16 
95  5  -0.41        0.91           4.77 
100  5  -3.17        0.48           -1.24 
105  5  -7.26        0.19           -19.35 
110  5  -8.90        0.13           -50.56 
115  5  -7.10        0.19           -64.44 
120  5  -4.63        0.34           -40.82 
125  5  -1.61        0.69           -29.09 
130  5  0.67        1.17           -19.05 
135  5  2.10        1.62           -12.12 
