freq : 700.00 MHz
SWR : 5.54
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -49.17        0.00           -0.39 
5  0  -17.94        0.02           160.64 
10  0  -11.92        0.06           157.83 
15  0  -8.50        0.14           152.87 
20  0  -6.09        0.25           146.10 
25  0  -4.13        0.39           138.05 
30  0  -2.38        0.58           129.46 
35  0  -0.78        0.84           121.21 
40  0  0.61        1.15           114.03 
45  0  1.69        1.48           108.11 
50  0  2.33        1.71           103.44 
55  0  2.35        1.72           99.75 
60  0  1.59        1.44           96.74 
65  0  -0.28        0.94           93.94 
70  0  -3.92        0.41           90.32 
75  0  -11.65        0.07           80.03 
80  0  -18.06        0.02           -50.48 
85  0  -8.82        0.13           -74.02 
90  0  -6.89        0.20           -76.39 
95  0  -8.82        0.13           -74.05 
100  0  -18.06        0.02           -50.73 
105  0  -11.67        0.07           80.21 
110  0  -3.93        0.40           90.46 
115  0  -0.28        0.94           94.08 
120  0  1.59        1.44           96.89 
125  0  2.36        1.72           99.93 
130  0  2.33        1.71           103.65 
135  0  1.71        1.48           108.36 
140  0  0.64        1.16           114.32 
145  0  -0.75        0.84           121.55 
150  0  -2.33        0.58           129.83 
155  0  -4.06        0.39           138.44 
160  0  -5.98        0.25           146.52 
165  0  -8.35        0.15           153.32 
170  0  -11.70        0.07           158.39 
175  0  -17.50        0.02           161.61 
180  0  -49.17        0.00           179.61 
0  5  -49.17        0.00           -0.39 
5  5  -17.94        0.02           160.64 
10  5  -11.92        0.06           157.83 
15  5  -8.50        0.14           152.87 
20  5  -6.09        0.25           146.10 
25  5  -4.13        0.39           138.05 
30  5  -2.38        0.58           129.46 
35  5  -0.78        0.84           121.21 
40  5  0.61        1.15           114.03 
45  5  1.69        1.48           108.11 
50  5  2.33        1.71           103.44 
55  5  2.35        1.72           99.75 
60  5  1.59        1.44           96.74 
65  5  -0.28        0.94           93.94 
70  5  -3.92        0.41           90.32 
75  5  -11.65        0.07           80.03 
80  5  -18.06        0.02           -50.48 
85  5  -8.82        0.13           -74.02 
90  5  -6.89        0.20           -76.39 
95  5  -8.82        0.13           -74.05 
100  5  -18.06        0.02           -50.73 
105  5  -11.67        0.07           80.21 
110  5  -3.93        0.40           90.46 
115  5  -0.28        0.94           94.08 
120  5  1.59        1.44           96.89 
125  5  2.36        1.72           99.93 
130  5  2.33        1.71           103.65 
135  5  1.71        1.48           108.36 
140  5  0.64        1.16           114.32 
145  5  -0.75        0.84           121.55 
150  5  -2.33        0.58           129.83 
155  5  -4.06        0.39           138.44 
160  5  -5.98        0.25           146.52 
165  5  -8.35        0.15           153.32 
170  5  -11.70        0.07           158.39 
175  5  -17.50        0.02           161.61 
180  5  -49.17        0.00           179.61 
0  10  -49.17        0.00           -0.39 
5  10  -17.94        0.02           160.64 
10  10  -11.92        0.06           157.83 
15  10  -8.50        0.14           152.87 
20  10  -6.09        0.25           146.10 
25  10  -4.13        0.39           138.05 
30  10  -2.38        0.58           129.46 
35  10  -0.78        0.84           121.21 
40  10  0.61        1.15           114.03 
45  10  1.69        1.48           108.11 
50  10  2.33        1.71           103.44 
55  10  2.35        1.72           99.75 
60  10  1.59        1.44           96.74 
65  10  -0.28        0.94           93.94 
70  10  -3.92        0.41           90.32 
75  10  -11.65        0.07           80.03 
80  10  -18.06        0.02           -50.48 
85  10  -8.82        0.13           -74.02 
90  10  -6.89        0.20           -76.39 
95  10  -8.82        0.13           -74.05 
100  10  -18.06        0.02           -50.73 
105  10  -11.67        0.07           80.21 
110  10  -3.93        0.40           90.46 
115  10  -0.28        0.94           94.08 
120  10  1.59        1.44           96.89 
125  10  2.36        1.72           99.93 
130  10  2.33        1.71           103.65 
135  10  1.71        1.48           108.36 
140  10  0.64        1.16           114.32 
145  10  -0.75        0.84           121.55 
150  10  -2.33        0.58           129.83 
155  10  -4.06        0.39           138.44 
160  10  -5.98        0.25           146.52 
165  10  -8.35        0.15           153.32 
170  10  -11.70        0.07           158.39 
175  10  -17.50        0.02           161.61 
180  10  -49.17        0.00           179.61 
0  15  -49.17        0.00           -0.39 
5  15  -17.94        0.02           160.64 
10  15  -11.92        0.06           157.83 
15  15  -8.50        0.14           152.87 
20  15  -6.09        0.25           146.10 
25  15  -4.13        0.39           138.05 
30  15  -2.38        0.58           129.46 
35  15  -0.78        0.84           121.21 
40  15  0.61        1.15           114.03 
45  15  1.69        1.48           108.11 
50  15  2.33        1.71           103.44 
55  15  2.35        1.72           99.75 
60  15  1.59        1.44           96.74 
65  15  -0.28        0.94           93.94 
70  15  -3.92        0.41           90.32 
75  15  -11.65        0.07           80.03 
80  15  -18.06        0.02           -50.48 
85  15  -8.82        0.13           -74.02 
90  15  -6.89        0.20           -76.39 
95  15  -8.82        0.13           -74.05 
100  15  -18.06        0.02           -50.73 
105  15  -11.67        0.07           80.21 
110  15  -3.93        0.40           90.46 
115  15  -0.28        0.94           94.08 
120  15  1.59        1.44           96.89 
125  15  2.36        1.72           99.93 
130  15  2.33        1.71           103.65 
135  15  1.71        1.48           108.36 
140  15  0.64        1.16           114.32 
145  15  -0.75        0.84           121.55 
150  15  -2.33        0.58           129.83 
155  15  -4.06        0.39           138.44 
160  15  -5.98        0.25           146.52 
165  15  -8.35        0.15           153.32 
170  15  -11.70        0.07           158.39 
175  15  -17.50        0.02           161.61 
180  15  -49.17        0.00           179.61 
0  20  -49.17        0.00           -0.39 
5  20  -17.94        0.02           160.64 
10  20  -11.92        0.06           157.83 
15  20  -8.50        0.14           152.87 
20  20  -6.09        0.25           146.10 
25  20  -4.13        0.39           138.05 
30  20  -2.38        0.58           129.46 
35  20  -0.78        0.84           121.21 
40  20  0.61        1.15           114.03 
45  20  1.69        1.48           108.11 
50  20  2.33        1.71           103.44 
55  20  2.35        1.72           99.75 
60  20  1.59        1.44           96.74 
65  20  -0.28        0.94           93.94 
70  20  -3.92        0.41           90.32 
75  20  -11.65        0.07           80.03 
80  20  -18.06        0.02           -50.48 
85  20  -8.82        0.13           -74.02 
90  20  -6.89        0.20           -76.39 
95  20  -8.82        0.13           -74.05 
100  20  -18.06        0.02           -50.73 
105  20  -11.67        0.07           80.21 
110  20  -3.93        0.40           90.46 
115  20  -0.28        0.94           94.08 
120  20  1.59        1.44           96.89 
125  20  2.36        1.72           99.93 
130  20  2.33        1.71           103.65 
135  20  1.71        1.48           108.36 
140  20  0.64        1.16           114.32 
145  20  -0.75        0.84           121.55 
150  20  -2.33        0.58           129.83 
155  20  -4.06        0.39           138.44 
160  20  -5.98        0.25           146.52 
165  20  -8.35        0.15           153.32 
170  20  -11.70        0.07           158.39 
175  20  -17.50        0.02           161.61 
180  20  -49.17        0.00           179.61 
0  25  -49.17        0.00           -0.39 
5  25  -17.94        0.02           160.64 
10  25  -11.92        0.06           157.83 
15  25  -8.50        0.14           152.87 
20  25  -6.09        0.25           146.10 
25  25  -4.13        0.39           138.05 
30  25  -2.38        0.58           129.46 
35  25  -0.78        0.84           121.21 
40  25  0.61        1.15           114.03 
45  25  1.69        1.48           108.11 
50  25  2.33        1.71           103.44 
55  25  2.35        1.72           99.75 
60  25  1.59        1.44           96.74 
65  25  -0.28        0.94           93.94 
70  25  -3.92        0.41           90.32 
75  25  -11.65        0.07           80.03 
80  25  -18.06        0.02           -50.48 
85  25  -8.82        0.13           -74.02 
90  25  -6.89        0.20           -76.39 
95  25  -8.82        0.13           -74.05 
100  25  -18.06        0.02           -50.73 
105  25  -11.67        0.07           80.21 
110  25  -3.93        0.40           90.46 
115  25  -0.28        0.94           94.08 
120  25  1.59        1.44           96.89 
125  25  2.36        1.72           99.93 
130  25  2.33        1.71           103.65 
135  25  1.71        1.48           108.36 
140  25  0.64        1.16           114.32 
145  25  -0.75        0.84           121.55 
150  25  -2.33        0.58           129.83 
155  25  -4.06        0.39           138.44 
160  25  -5.98        0.25           146.52 
165  25  -8.35        0.15           153.32 
170  25  -11.70        0.07           158.39 
175  25  -17.50        0.02           161.61 
180  25  -49.17        0.00           179.61 
0  30  -49.17        0.00           -0.39 
5  30  -17.94        0.02           160.64 
10  30  -11.92        0.06           157.83 
15  30  -8.50        0.14           152.87 
20  30  -6.09        0.25           146.10 
25  30  -4.13        0.39           138.05 
30  30  -2.38        0.58           129.46 
35  30  -0.78        0.84           121.21 
40  30  0.61        1.15           114.03 
45  30  1.69        1.48           108.11 
50  30  2.33        1.71           103.44 
55  30  2.35        1.72           99.75 
60  30  1.59        1.44           96.74 
65  30  -0.28        0.94           93.94 
70  30  -3.92        0.41           90.32 
75  30  -11.65        0.07           80.03 
80  30  -18.06        0.02           -50.48 
85  30  -8.82        0.13           -74.02 
90  30  -6.89        0.20           -76.39 
95  30  -8.82        0.13           -74.05 
100  30  -18.06        0.02           -50.73 
105  30  -11.67        0.07           80.21 
110  30  -3.93        0.40           90.46 
115  30  -0.28        0.94           94.08 
120  30  1.59        1.44           96.89 
125  30  2.36        1.72           99.93 
130  30  2.33        1.71           103.65 
135  30  1.71        1.48           108.36 
140  30  0.64        1.16           114.32 
145  30  -0.75        0.84           121.55 
150  30  -2.33        0.58           129.83 
155  30  -4.06        0.39           138.44 
160  30  -5.98        0.25           146.52 
165  30  -8.35        0.15           153.32 
170  30  -11.70        0.07           158.39 
175  30  -17.50        0.02           161.61 
180  30  -49.17        0.00           179.61 
0  35  -49.17        0.00           -0.39 
5  35  -17.94        0.02           160.64 
10  35  -11.92        0.06           157.83 
15  35  -8.50        0.14           152.87 
20  35  -6.09        0.25           146.10 
25  35  -4.13        0.39           138.05 
30  35  -2.38        0.58           129.46 
35  35  -0.78        0.84           121.21 
40  35  0.61        1.15           114.03 
45  35  1.69        1.48           108.11 
50  35  2.33        1.71           103.44 
55  35  2.35        1.72           99.75 
60  35  1.59        1.44           96.74 
65  35  -0.28        0.94           93.94 
70  35  -3.92        0.41           90.32 
75  35  -11.65        0.07           80.03 
80  35  -18.06        0.02           -50.48 
85  35  -8.82        0.13           -74.02 
90  35  -6.89        0.20           -76.39 
95  35  -8.82        0.13           -74.05 
100  35  -18.06        0.02           -50.73 
105  35  -11.67        0.07           80.21 
110  35  -3.93        0.40           90.46 
115  35  -0.28        0.94           94.08 
120  35  1.59        1.44           96.89 
125  35  2.36        1.72           99.93 
130  35  2.33        1.71           103.65 
135  35  1.71        1.48           108.36 
140  35  0.64        1.16           114.32 
145  35  -0.75        0.84           121.55 
150  35  -2.33        0.58           129.83 
155  35  -4.06        0.39           138.44 
160  35  -5.98        0.25           146.52 
165  35  -8.35        0.15           153.32 
170  35  -11.70        0.07           158.39 
175  35  -17.50        0.02           161.61 
180  35  -49.17        0.00           179.61 
0  40  -49.17        0.00           -0.39 
5  40  -17.94        0.02           160.64 
10  40  -11.92        0.06           157.83 
15  40  -8.50        0.14           152.87 
20  40  -6.09        0.25           146.10 
25  40  -4.13        0.39           138.05 
30  40  -2.38        0.58           129.46 
35  40  -0.78        0.84           121.21 
40  40  0.61        1.15           114.03 
45  40  1.69        1.48           108.11 
50  40  2.33        1.71           103.44 
55  40  2.35        1.72           99.75 
60  40  1.59        1.44           96.74 
65  40  -0.28        0.94           93.94 
70  40  -3.92        0.41           90.32 
75  40  -11.65        0.07           80.03 
80  40  -18.06        0.02           -50.48 
85  40  -8.82        0.13           -74.02 
90  40  -6.89        0.20           -76.39 
95  40  -8.82        0.13           -74.05 
100  40  -18.06        0.02           -50.73 
105  40  -11.67        0.07           80.21 
110  40  -3.93        0.40           90.46 
115  40  -0.28        0.94           94.08 
120  40  1.59        1.44           96.89 
125  40  2.36        1.72           99.93 
130  40  2.33        1.71           103.65 
135  40  1.71        1.48           108.36 
140  40  0.64        1.16           114.32 
145  40  -0.75        0.84           121.55 
150  40  -2.33        0.58           129.83 
155  40  -4.06        0.39           138.44 
160  40  -5.98        0.25           146.52 
165  40  -8.35        0.15           153.32 
170  40  -11.70        0.07           158.39 
175  40  -17.50        0.02           161.61 
180  40  -49.17        0.00           179.61 
0  45  -49.17        0.00           -0.39 
5  45  -17.94        0.02           160.64 
10  45  -11.92        0.06           157.83 
15  45  -8.50        0.14           152.87 
20  45  -6.09        0.25           146.10 
25  45  -4.13        0.39           138.05 
30  45  -2.38        0.58           129.46 
35  45  -0.78        0.84           121.21 
40  45  0.61        1.15           114.03 
45  45  1.69        1.48           108.11 
50  45  2.33        1.71           103.44 
55  45  2.35        1.72           99.75 
60  45  1.59        1.44           96.74 
65  45  -0.28        0.94           93.94 
70  45  -3.92        0.41           90.32 
75  45  -11.65        0.07           80.03 
80  45  -18.06        0.02           -50.48 
85  45  -8.82        0.13           -74.02 
90  45  -6.89        0.20           -76.39 
95  45  -8.82        0.13           -74.05 
100  45  -18.06        0.02           -50.73 
105  45  -11.67        0.07           80.21 
110  45  -3.93        0.40           90.46 
115  45  -0.28        0.94           94.08 
120  45  1.59        1.44           96.89 
125  45  2.36        1.72           99.93 
