freq : 383.33 MHz
SWR : 4.53
 Theta     Phi     Gain(dB)     Gain     Phase(deg) 
0  0  -57.49        0.00           3.69 
5  0  -19.56        0.01           -39.98 
10  0  -13.70        0.04           -41.34 
15  0  -10.39        0.09           -43.33 
20  0  -8.18        0.15           -46.13 
25  0  -6.59        0.22           -49.83 
30  0  -5.41        0.29           -54.53 
35  0  -4.48        0.36           -60.31 
40  0  -3.70        0.43           -67.21 
45  0  -2.97        0.50           -75.06 
50  0  -2.23        0.60           -83.47 
55  0  -1.43        0.72           -91.88 
60  0  -0.57        0.88           -99.71 
65  0  0.28        1.07           106.52 
70  0  1.08        1.28           112.04 
75  0  1.76        1.50           116.26 
80  0  2.27        1.69           119.19 
85  0  2.58        1.81           120.91 
90  0  2.69        1.86           121.49 
95  0  2.59        1.82           120.92 
100  0  2.27        1.69           119.21 
105  0  1.76        1.50           116.29 
110  0  1.08        1.28           112.09 
115  0  0.29        1.07           106.58 
120  0  -0.57        0.88           -99.80 
125  0  -1.42        0.72           -91.99 
130  0  -2.23        0.60           -83.62 
135  0  -2.98        0.50           -75.23 
140  0  -3.71        0.43           -67.40 
145  0  -4.49        0.36           -60.52 
150  0  -5.43        0.29           -54.75 
155  0  -6.62        0.22           -50.08 
160  0  -8.21        0.15           -46.42 
165  0  -10.44        0.09           -43.70 
170  0  -13.78        0.04           -41.87 
175  0  -19.72        0.01           -41.00 
180  0  -57.49        0.00           176.31 
0  5  -57.49        0.00           3.69 
5  5  -19.56        0.01           -39.98 
10  5  -13.70        0.04           -41.34 
15  5  -10.39        0.09           -43.33 
20  5  -8.18        0.15           -46.13 
25  5  -6.59        0.22           -49.83 
30  5  -5.41        0.29           -54.53 
35  5  -4.48        0.36           -60.31 
40  5  -3.70        0.43           -67.21 
45  5  -2.97        0.50           -75.06 
50  5  -2.23        0.60           -83.47 
55  5  -1.43        0.72           -91.88 
60  5  -0.57        0.88           -99.71 
65  5  0.28        1.07           106.52 
70  5  1.08        1.28           112.04 
75  5  1.76        1.50           116.26 
80  5  2.27        1.69           119.19 
85  5  2.58        1.81           120.91 
90  5  2.69        1.86           121.49 
95  5  2.59        1.82           120.92 
100  5  2.27        1.69           119.21 
105  5  1.76        1.50           116.29 
110  5  1.08        1.28           112.09 
115  5  0.29        1.07           106.58 
120  5  -0.57        0.88           -99.80 
125  5  -1.42        0.72           -91.99 
130  5  -2.23        0.60           -83.62 
135  5  -2.98        0.50           -75.23 
140  5  -3.71        0.43           -67.40 
145  5  -4.49        0.36           -60.52 
150  5  -5.43        0.29           -54.75 
155  5  -6.62        0.22           -50.08 
160  5  -8.21        0.15           -46.42 
165  5  -10.44        0.09           -43.70 
170  5  -13.78        0.04           -41.87 
